일시,장소,"대상
인원수",금액
"2022-04-20
11:44","홈플러스(샤브정)
(동대문구고산자로133)",4,"44,000"
"2022-04-20
12:13","반달식당
(동대문구천호대로27길711층)",4,"32,000"
"2022-04-20
12:19","경성농장
(왕산로28길19)",8,"130,000"
"2022-04-20
16:34","피자소그로
(동대문구고산자로415)",15,"139,500"
"2022-04-21
12:15","반달식당
(동대문구천호대로27길71)",5,"40,000"
"2022-04-21
12:35","나주곰탕 나주전
(동대문구고산자로428)",4,"45,000"
"2022-04-22
12:34","청마루
(동대문구왕산로28길15)",5,"75,000"
"2022-05-04
20:34","참숯갈비화로촌
(고산자로391-8)",10,"144,000"
"2022-05-06
15:42","매일유통
(전농로4길30)",11,"90,000"
"2022-05-09
15:58","홈플러스
(천호대로)",12,"128,780"
"2022-05-11
11:19","방앗간
(동대문구용두동39-843)",8,"120,000"
"2022-05-12
12:31","반하다카페
(동대문구고산자로34가길31)",4,"72,600"
"2022-05-12
12:54","참숯갈비화로촌
(고산자로391-8)",10,"105,000"
"2022-05-13
12:36","경북칼국수
(동대문구왕산로41길4)",4,"31,000"
"2022-05-17
13:06","경성농장
(용두1동26-12)",8,"95,000"
"2022-05-18
08:05","GS25 동대문구청점
(동대문구고산자로28길39)",9,"11,400"
"2022-05-18
08:07","피에니
(동대문구고산자로28길42)",9,"100,000"
"2022-05-18
11:53","천호낙지
(동대문구사가정로207,1층)",9,"108,000"
"2022-05-19
12:52","참숯갈비화로촌
(고산자로391-8)",10,"125,000"
"2022-05-19
13:06","조가네 부대찌개
(동대문구천호대로126)",3,"26,000"
"2022-05-20
12:18","최강낙지
(동대문구고산자로28길21)",12,"150,000"
"2022-05-20
12:25","통나무집
(동대문구고산자로28가길27)",3,"22,000"
2022-05-21,경조사,1,"50,000"
"2022-05-23
13:07","경성농장
(용두1동26-12)",7,"63,000"
"2022-05-23
16:50","홈플러스
(천호대로133)",10,"38,700"
"2022-05-24
10:17","매일유통
(전농로4길30)",9,"78,000"
"2022-05-24
12:49","참숯갈비화로촌
(고산자로391-8)",10,"90,000"
"2022-05-24
12:54","나주곰탕 나주전
(동대문구고산자로428)",3,"26,000"
"2022-06-02
12:16","우리식당
(고산자로28가길21)",6,"66,000"
"2022-06-02
12:35","남원추어탕
(동대문구고산자로28길25-1)",4,"34,000"
"2022-06-03
11:54","옥돌
(천호대로31길5)",7,"75,000"
"2022-06-03
13:06","찜마을
(동대문구왕산로28길37)",4,"34,000"
"2022-06-03
15:53","홈플러스
(천호대로133)",7,"40,020"
"2022-06-03
16:31","홈플러스 동대문점
(동대문구천호대로133)","민원인
등","18,000"
"2022-06-07
12:21","평양냉면
(동대문구왕산로29길4)",3,"33,000"
"2022-06-07
12:30","청마루
(왕산로28길15)",6,"54,000"
"2022-06-07
17:49","홈플러스 동대문점
(천호대로133)",,"38,800"
"2022-06-08
12:16","전주콩나물국밥
(고산자로397)",6,"56,000"
"2022-06-08
12:20","뉴세로나
(동대문구왕산로32길43)",4,"30,000"
"2022-06-08
12:31","남원추어탕
(동대문구고산자로28길25-1,1
층)",17,"221,000"
"2022-06-08
13:00","화로촌
(동대문구고산자로391-8)",10,"120,000"
"2022-06-09
12:06","경성농장
(용두1동26-12)",6,"74,000"
"2022-06-09
12:27","용두동동태탕,동태찜
(동대문구왕산로32길99)",4,"40,000"
"2022-06-09
12:28","화로촌
(동대문구고산자로391-8)",4,"59,000"
"2022-06-10
12:17","우리식당
(고산자로28가길21)",5,"63,000"
"2022-06-13
12:11","홍가네 부대찌개
(고산자로34길5)",5,"48,000"
"2022-06-13
17:03","홈플러스
(천호대로133)",7,"43,770"
"2022-06-14
12:39","미강
(동대문구천호대로2762)",4,"42,000"
"2022-06-14
14:00","홈플러스
(동대문구천호대로133)",-,"88,470"
"2022-06-15
12:25","통나무집
(고산자로28가길27)",6,"42,000"
"2022-07-01
20:25","왕순대
(동대문구고산자로426)",4,"34,000"
"2022-07-04
10:45","메가커피 촬영소사거리점
(동대문구답십리로233)",12,"34,700"
"2022-07-04
12:07","경성농장
(동대문구왕산로28길19)",12,"120,000"
"2022-07-04
20:58","만나네 마라탕
(동대문구고산자로28길25-1)",4,"52,400"
"2022-07-06
12:12","뉴세로나
(동대문구왕산로32길43)",4,"50,000"
"2022-07-06
15:19","홈플러스
(천호대로133)",7,"57,950"
"2022-07-06
21:11","서파넓적갈비
(동대문구천호대로31길16)",10,"228,000"
