사용일자(일시),사용장소,"사용
금액(원)","대상
인원(명)"
2022-03-11 12:23,서초 김치찌개 외1,"39,000",3
2022-03-11 15:45,쌀마루,"99,400",44
2022-03-11 19:14,한우촌,"203,600",6
2022-04-01 8:10,마티스커피,"51,500",8
2022-04-01 12:26,더맛있는스테이크,"240,000",8
2022-04-01 12:31,딘타이펑,"336,800",12
2022-04-01 12:31,스타벅스,"88,000",17
2022-04-01 12:47,설마중,"188,000",6
2022-04-01 19:18,한우촌,"117,730",5
2022-04-04 13:03,쌀마루 외1,"257,700",28
2022-04-04 14:38,커피빈,"100,000",20
2022-04-04 19:12,제주은갈치,"50,000",3
2022-04-05 12:21,라그릴리아,"219,500",8
2022-04-05 14:03,더맛있는스테이크,"246,000",9
2022-04-05 19:26,한상차림코다리명가,"138,200",7
2022-04-06 12:24,강촌원조쭈꾸미 외1,"142,600",5
2022-04-06 16:12,홍팥집,"40,000",4
2022-04-12 18:27,자맛풍,"200,000",7
2022-04-18 8:02,스미스바니,"150,000",18
2022-04-18 12:09,도화 외1,"70,000",4
2022-04-19 13:39,문바리문어세상,"200,000",8
2022-04-29 11:58,소호정 외1,"111,500",5
2022-05-01 13:50,홍팥집,"40,000",5
2022-05-02 12:06,사천루,"153,000",6
2022-05-02 19:24,한우촌,"162,820",6
2022-05-03 7:55,마티스커피,"43,000",4
2022-05-03 12:10,나오키 외1,"82,500",3
2022-05-03 16:53,양지수제샌드위치,"212,000",21
2022-05-03 18:34,프리츠,"80,000",9
2022-05-03 8:01,스미스바니,"200,000",15
2022-05-04 12:05,진대감 외1,"74,000",4
2022-05-04 13:47,이삭토스트,"100,000",32
2022-05-04 19:14,장항복아구전문,"106,000",4
2022-05-09 12:23,나오키 외1,"342,600",12
2022-05-09 19:03,진대감 외1,"148,500",6
2022-05-10 11:59,신수사 외1,"56,500",3
2022-05-10 19:01,하오차이,"59,000",4
2022-05-11 12:05,명정루 외1,"72,000",3
2022-05-11 20:54,난랑,"214,000",8
2022-05-12 12:10,고창식당 외1,"149,500",6
2022-05-12 16:47,라크렘,"108,000",5
2022-05-12 20:13,언노운카페다이너,"379,000",13
2022-05-13 13:51,신수사,"170,000",8
2022-05-16 8:18,마티스커피,"45,500",4
2022-05-16 12:48,신수사,"152,000",7
2022-05-17 12:34,명선헌,"210,000",8
2022-05-17 19:23,진대감,"415,000",15
2022-05-17 21:49,플랜B,"197,400",7
2022-05-18 10:19,코코호도,"33,970",4
2022-05-18 10:56,장꼬방,"142,500",5
2022-05-19 19:13,램하우스,"216,000",8
2022-05-20 12:02,명정루 외1,"57,500",4
2022-05-20 14:50,스타벅스,"63,000",12
2022-05-23 18:56,서귀포오분작뚝배기,"240,000",8
2022-05-24 8:27,마티스커피,"31,000",4
2022-05-24 13:10,난랑,"109,000",5
2022-05-25 14:42,홍팥집,"84,000",5
2022-05-25 18:51,하오차이,"90,900",6
2022-05-26 8:11,마티스커피,"88,500",7
2022-05-26 11:45,나오키,"54,000",3
2022-05-26 19:50,서귀포오분작뚝배기,"375,000",14
2022-05-27 8:23,마티스커피,"56,500",6
2022-05-27 11:59,고창식당,"32,000",3
2022-05-27 13:06,브라하 외1,"60,600",4
2022-05-28 8:39,마티스커피,"50,000",3
2022-05-30 8:08,마티스커피,"67,500",5
2022-05-31 19:29,부안애서 외1,"125,000",7
2022-06-01 12:44,봉피양 외1,"313,000",12
2022-06-01 15:43,홍팥집,"140,000",8
2022-06-01 16:42,파파존즈,"256,940",30
2022-06-02 20:36,관악산한우촌,"275,220",10
2022-06-03 14:22,갈비사랑 외1,"240,200",8
2022-06-13 19:51,우디가스트로,"106,000",6
2022-06-14 7:59,마티스커피,"50,000",4
2022-06-20 13:38,홍팥집,"90,000",5
2022-06-20 19:34,아웃백스테이크,"183,800",6
2022-06-27 19:45,스미스바니,"21,600",
2022-07-01 12:24,갈비사랑,"506,000",20
