2022년 12월 홍보과 업무추진비 사용내역,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  (단위 : 원)
연번,사용자,사용일,시간,장소,집행목적,대상인원수,금액,결제방법,비목
1,담당자,2022-12-01,12:21:34,신의주찹쌀순대,양천 꿈나무 어린이 소식지 제작 관련 간담회비,12,"200,000 ",제로페이,시책추진업무추진비
2,담당자,2022-12-02,20:05:42,킴스치킨,취학통지서 온라인 제출서비스 운영 등 구정 홍보 간담회,4,"63,500 ",법인카드,시책추진업무추진비
3,담당자,2022-12-05,12:51:43,등촌샤브칼국수,어린이 교통안전 교육장 새단장 등 구정 홍보 간담회,8,"98,000 ",법인카드,시책추진업무추진비
4,담당자,2022-12-05,20:08:55,족발신선생　목동점,양천구 청년인턴제 운영 등 구정 홍보 간담회,4,"83,000 ",법인카드,시책추진업무추진비
5,담당자,2022-12-07,12:44:17,섬어부밥상,양천디지털미디어센터 행사 대관 등 운영 관련 업무협의 간담회,9,"210,000 ",제로페이,시책추진업무추진비
6,담당자,2022-12-07,12:52:06,참숯골,건설공사 공정하도급 추진실태 평가 자치구 유일 최우수구 선정 등 구정 홍보 간담회,7,"126,000 ",법인카드,시책추진업무추진비
7,담당자,2022-12-07,14:48:23,（주）이마트목동점,양천디지털미디어센터 기획영상 출연자 간식용 다과,다과류,"97,260 ",법인카드,시책추진업무추진비
8,담당자,2022-12-07,15:57:05,그로잉,구정홍보실 비치용 원두커피,다과류,"24,000 ",법인카드,시책추진업무추진비
9,담당자,2022-12-07,20:17:54,육화식당,스마트 건강기기로 비대면 건강관리사업 서울시 우수기관상 수상 등 구정 홍보 간담회,9,"201,000 ",법인카드,시책추진업무추진비
10,담당자,2022-12-08,12:16:03,우리네코다리,"다가구 밀집지역, 유흥가 중심 범죄예방 시스템 집중 도입 등 구정 홍보 간담회",4,"62,000 ",법인카드,시책추진업무추진비
11,담당자,2022-12-09,21:04:59,삿뽀로　목동점（주）,장애인 맞춤형 통합 재활서비스 상시 운영 등 구정홍보 간담회,5,"100,000 ",법인카드,시책추진업무추진비
12,담당자,2022-12-12,12:24:18,우리네코다리,2023년 상반기 안심일자리 200명 모집 등 구정 홍보 간담회,9,"147,000 ",법인카드,시책추진업무추진비
13,담당자,2022-12-12,12:29:31,마싯는끼니 목동직영점,양천 꿈나무 어린이 소식지 제작 관련 간담회비,12,"150,000 ",제로페이,시책추진업무추진비
14,담당자,2022-12-13,12:15:03,섬어부밥상,양천디지털미디어센터 시설 유지 관리 등 운영 관련 업무협의 간담회,13,"198,000 ",제로페이,시책추진업무추진비
15,담당자,2022-12-13,13:12:08,생어거스틴,VR로 만나는 안양천 체험부스 운영 등 구정 홍보 간담회,10,"178,000 ",법인카드,시책추진업무추진비
16,담당자,2022-12-14,12:25:51,김밥천국,양천 꿈나무 어린이 소식지 제작 관련 간담회,12,"140,000 ",제로페이,시책추진업무추진비
17,담당자,2022-12-14,12:43:48,충무횟집,신정네거리역 주변 걷고 싶은 거리 본격개통 등 구정홍보 간담회,4,"42,000 ",법인카드,시책추진업무추진비
18,담당자,2022-12-14,21:30:02,나주곰탕５７년,불법유동광고물 수거보상제 운영 등 구정 홍보 간담회,7,"121,000 ",법인카드,시책추진업무추진비
19,담당자,2022-12-16,12:14:22,마실,어르신소식지 명예기자 간담회,12,"236,400 ",제로페이,시책추진업무추진비
