2022년 7월  업무추진비 사용내역,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  (단위 : 원)
연번,사용자,사용일,시간,장소,집행목적,대상인원수,금액,결제방법,비목
1,담당자,2022-07-01,12:30:17,해미가,장마철 수해 취약지역 점검 홍보 기자 간담회,6,"96,000 ",법인카드,시책
2,담당자,2022-07-01,13:40:57,컴포즈커피 양천구청점,구청장 취임식 촬영 및 행사 중계 관계자 간담회,6,"10,500 ",제로페이,시책
3,담당자,2022-07-04,12:22:31,낙지와볼테기,교통유발부담금 부과대상 시설물 조사 홍보 기자 간담회,8,"70,000 ",법인카드,시책
4,담당자,2022-07-05,16:27:14,（주）이마트목동점,양천디지털미디어센터 영상 출연자 간식용 다과 구매,다과류,"97,100 ",법인카드,시책
5,담당자,2022-07-06,12:09:51,온정손만두,청소년대상 진학나침반 운영 홍보 기자 간담회,6,"78,000 ",제로페이,시책
6,담당자,2022-07-06,20:01:51,육감만족 양천구청점,양천TV 영상크리에이터 간담회,8,"152,000 ",제로페이,시책
7,담당자,2022-07-07,11:45:43,테디랩,홈페이지 업무 관계자 간담회,4,"54,000 ",법인카드,시책
8,담당자,2022-07-07,12:34:13,우리네코다리,"폐형광등,폐건전지 수거함 전수조사 홍보 기자 간담회",4,"39,000 ",법인카드,시책
9,담당자,2022-07-07,19:30:42,마초갈비,진로상담 참여 청소년 모집 홍보 기자 간담회,4,"73,000 ",법인카드,시책
10,담당자,2022-07-08,16:43:26,파리바게뜨（양천구청,민선8기 기자 인터뷰 추진 직원 격려 다과비,10,"61,700 ",법인카드,시책
11,담당자,2022-07-12,12:02:34,선식당　목동점,취업박람회 '양천 플렉스 잡(JOB)다!' 개최 홍보 기자 간담회,6,"83,700 ",법인카드,시책
12,담당자,2022-07-15,12:15:53,미소참치,2023 대입 수시전형 대비 1:1 집중상담 운영 홍보 기자 간담회,4,"75,000 ",법인카드,시책
13,담당자,2022-07-18,12:39:16,우리네코다리,가스안전 체험교실 홍보 기자 간담회,6,"98,000 ",법인카드,시책
14,담당자,2022-07-18,15:34:24,쿠스치노커피,제2기 양천 어르신소식지 명예기자 위촉식 다과비,13,"110,000 ",법인카드,시책
15,담당자,2022-07-18,18:19:47,조선화로구이,초등학생 대상 여름방학 특강 운영 홍보 기자 간담회,11,"250,000 ",법인카드,시책
16,담당자,2022-07-19,09:45:48,마닐다닐,민선8기 캐치프레이즈 기획 브레인스토밍 간담회,14,"175,000 ",법인카드,시책
19,담당자,2022-07-25,12:23:13,장용재두부갤러리,조직리더 청렴교육 실시 홍보 기자 간담회,7,"111,000 ",법인카드,시책
20,담당자,2022-07-26,12:24:35,낙지와볼테기,스마트 지킴이 사업 우수행정·정책사례 선발대회 우수상 홍보 기자 간담회,6,"90,000 ",법인카드,시책
21,담당자,2022-07-26,20:21:47,족발신선생　목동점,"민선8기 구정운영, 현안사항 홍보 인터뷰 및 기자 간담회",5,"79,000 ",법인카드,시책
22,담당자,2022-07-27,12:10:45,왕뼈감자탕고척점,구청장 직통 문자전용 휴대전화 운영 홍보 기자 간담회,5,"45,000 ",법인카드,시책
23,담당자,2022-07-28,20:58:33,둥근바다,구청장 직통 문자전용 휴대전화 운영 홍보 기자 간담회,8,"172,000 ",법인카드,시책
24,담당자,2022-07-29,12:21:18,락앤웍,노후 골목계단 '화강석 아트타일'로 리모델링 홍보 기자 간담회,4,"90,000 ",법인카드,시책
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
