2022년 10월 홍보과 업무추진비 사용내역,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  (단위 : 원)
연번,사용자,사용일,시간,장소,집행목적,대상인원수,금액,결제방법,비목
1,담당자,2022-10-04,12:22:57,바톤루즈,공항소음대책지역 장학생 선발 등 구정홍보를 위한 간담회,8,"144,000 ",법인카드,시책추진업무추진비
2,담당자,2022-10-04,19:19:24,반포식스　목동점,주요 구정운영 및 현안사항 홍보를 위한 인터뷰 추진 관계자와 간담회,5,"101,000 ",법인카드,시책추진업무추진비
3,담당자,2022-10-06,12:13:05,우리네코다리,공항소음피해지역 재산세 감면 등 구정홍보를 위한 간담회,4,"49,000 ",법인카드,시책추진업무추진비
4,담당자,2022-10-06,12:55:56,마싯는끼니,SNS 오프라인 이벤트 추진을 위한 간담회,13,"230,000 ",법인카드,시책추진업무추진비
5,담당자,2022-10-06,16:29:07,ＳＳＧ．ＣＯＭ,구정홍보실 비치용 다과,다과류,"89,520 ",법인카드,시책추진업무추진비
6,담당자,2022-10-06,21:13:31,축산이야기,유아 숲 가족축제 개최 등 구정홍보를 위한 간담회,13,"260,000 ",법인카드,시책추진업무추진비
7,담당자,2022-10-07,12:20:27,해미가,주민이 직접 가꾸는 정원도시 축제 개최 등 구정홍보를 위한 간담회,7,"106,000 ",법인카드,시책추진업무추진비
8,담당자,2022-10-11,12:31:36,놀부부대찌개＆철판구이,4차 산업 체험형 교육축제 한마당 개최 등 구정홍보를 위한 간담회,8,"95,800 ",법인카드,시책추진업무추진비
9,담당자,2022-10-12,12:56:05,대복,복지 사각지대 발굴 및 지원 강화를 위한 찾아가는 양천형 돌봄SOS센터 운영 등 구정홍보를 위한 간담회,13,"221,000 ",법인카드,시책추진업무추진비
10,담당자,2022-10-13,12:16:19,육대장양천구청점,"안양천 목동교 하부 유휴공간, MZ세대 위한 트렌디한 놀이터로 변신 등 구정홍보를 위한 간담회",7,"78,000 ",법인카드,시책추진업무추진비
11,담당자,2022-10-14,12:17:22,린궁즈,4차 산업 체험형 교육축제 한마당 개최 등 구정홍보를 위한 간담회,7,"74,000 ",법인카드,시책추진업무추진비
12,담당자,2022-10-14,20:26:18,월촌도야지,주요 구정운영 및 현안사항 홍보를 위한 특별대담 추진 등 구정홍보를 위한 간담회,14,"280,000 ",법인카드,시책추진업무추진비
13,담당자,2022-10-17,12:01:47,우리네코다리,어르신소식지 명예기자 간담회,12,"234,000 ",제로페이,시책추진업무추진비
14,담당자,2022-10-17,12:24:56,낙지와볼테기,합창뮤지컬 '당신의 어느 멋진 날에' 개최 등 구정홍보를 위한 간담회,6,"59,000 ",법인카드,시책추진업무추진비
15,담당자,2022-10-17,15:51:04,교보핫트랙스㈜,양천디지털미디어센터 영상 출연자 간식용 다과,다과류,"99,800 ",법인카드,시책추진업무추진비
16,담당자,2022-10-18,19:19:52,조선화로구이,주요 구정운영 및 현안사항 홍보를 위한 특별대담 추진 등 구정홍보를 위한 간담회,10,"218,000 ",법인카드,시책추진업무추진비
17,담당자,2022-10-19,12:36:05,서가앤쿡 목동점,홈페이지 개선 및 유지관리 업무 추진을 위한 간담회,12,"192,400 ",제로페이,시책추진업무추진비
18,담당자,2022-10-20,19:48:00,이태원천상여의도점,청소년 직접 기획 ‘진로·미래 축제’ 개최 등 구정홍보를 위한 간담회,9,"174,000 ",법인카드,시책추진업무추진비
19,담당자,2022-10-21,12:07:03,북창동순두부,SNS 오프라인 이벤트 추진을 위한 간담회,13,"220,000 ",제로페이,시책추진업무추진비
20,담당자,2022-10-25,12:12:58,능이오리백숙,청년 주도 환경보호 에코 양천 그린 축제 개최 등 구정 홍보를 위한 간담회,6,"56,000 ",법인카드,시책추진업무추진비
21,담당자,2022-10-25,18:37:59,조선화로구이,"양천구, 10월의 마지막 주말 풍성한 공원 프로그램 개최 등 구정홍보를 위한 간담회",14,"248,000 ",법인카드,시책추진업무추진비
22,담당자,2022-10-27,21:53:45,장성,가을철 맞이 길거리 특별 환경정비 등 구정 현안사항 홍보를 위한 간담회,12,"260,000 ",법인카드,시책추진업무추진비
23,담당자,2022-10-28,11:59:31,두성전주콩나물국밥,취약계층 아동 오감놀이 프로그램 운영 등 구정 홍보를 위한 간담회,4,"43,500 ",법인카드,시책추진업무추진비
24,담당자,2022-10-28,13:12:14,두성전주콩나물국밥,상징조형물 관련 기획회의,11,"210,000 ",제로페이,시책추진업무추진비
