2022년 2월  업무추진비 사용내역,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  (단위 : 원)
연번,사용자,사용일,시간,장소,집행목적,대상인원수,금액,결제방법,비목
1,언론팀장,2022-02-03,12:53:31,우리네코다리,종량제봉투 디자인 통합 사용 관련 기자간담회,5인,"80,000 ",법인카드,시책
2,언론팀장,2022-02-04,12:28:15,소담,중소도시 스마트도시 공모사업 관련 기자간담회,5인,"40,000 ",법인카드,시책
3,언론팀장,2022-02-07,12:54:28,해미가,신정산 둘레길 개통 관련 기자간담회,6인,"110,000 ",법인카드,시책
4,언론팀장,2022-02-07,18:42:27,양촌마을　목동점,중소기업 육성기금 융자 지원 관련 기자간담회,6인,"175,000 ",법인카드,시책
5,담당자,2022-02-08,12:40:34,미꼬담 부천까치울점,미디어방송 운영 업무 협의,5인,"80,000 ",제로페이,시책
6,홍보과장,2022-02-09,12:28:47,고씨네,어린이급식관리지원센터 서비스 확대 관련 기자간담회,4인,"30,500 ",법인카드,시책
7,언론팀장,2022-02-09,19:32:08,양촌마을　목동점,2022년 비전 및 주요사업 인터뷰 추진 간담회,6인,"150,000 ",법인카드,시책
8,담당자,2022-02-09,16:50:03,ＳＳＧ．ＣＯＭ,부서 방문객용 다과 등 구입,다과,"85,688 ",법인카드,시책
9,홍보과장,2022-02-10,19:41:47,나주곰탕５７년,다층보안 적용 재택근무 시스템 관련 기자간담회,6인,"106,000 ",법인카드,시책
10,담당자,2022-02-11,15:39:31,현대백목동점,구정 홍보 촬영 및 취재 지원 관련 업무 직원 격려,다과,"51,300 ",법인카드,기관
11,담당자,2022-02-15,14:31:27,（주）이마트목동점,양천디지털미디어센터 영상 출연자용 다과,다과,"69,100 ",법인카드,시책
12,담당자,2022-02-15,14:54:39,세계과자　할인점,양천디지털미디어센터 영상 출연자용 다과,다과,"30,500 ",법인카드,시책
13,담당자,2022-02-15,12:04:13,신의주찹쌀순대,양천디지털미디어센터 운영 관련 업무 협의,6인,"72,000 ",제로페이,시책
14,홍보과장,2022-02-16,12:05:59,광수사,불법촬영 시민감시단 관련 기자간담회,6인,"104,000 ",법인카드,시책
15,담당자,2022-02-18,12:43:24,만족오향족발,지방자치단체 ESG 수상 관련 기자간담회,6인,"102,000 ",법인카드,시책
16,담당자,2022-02-21,21:52:31,１４일의　설레임,코로나19 폐업 소상공인 지원 관련 기자간담회,6인,"120,000 ",법인카드,시책
17,담당자,2022-02-21,17:43:46,ＳＳＧ．ＣＯＭ,부서 방문객용 다과 등 구입,다과,"85,020 ",법인카드,시책
18,담당자,2022-02-22,12:10:43,옛날칼국수,2022년 3월호 양천구소식지 제작 기획회의,4인,"40,000 ",법인카드,시책
19,담당자,2022-02-23,20:13:05,화돌농장,구정 홍보영상물 제작 관련 업무 회의,4인,"47,000 ",제로페이,시책
20,담당자,2022-02-23,12:54:56,화돌농장,구정 홍보영상물 제작 관련 업무 회의,6인,"115,000 ",제로페이,시책
21,담당자,2022-02-24,12:22:11,해까득목동점,도시농업공원 양천장독대 홍보 관련 기자간담회,4인,"31,000 ",제로페이,시책
22,홍보과장,2022-02-25,12:18:16,오목집　목동점,다문화가정 자녀 대상 한글교실 운영 관련 기자간담회,4인,"39,000 ",법인카드,시책
23,언론팀장,2022-02-28,13:08:37,장성,언론사 인터뷰 추진 간담회,6인,"148,000 ",법인카드,시책
24,담당자,2022-02-28,11:37:31,(주)선도개발 목동식당,양천디지털미디어센터 운영 관련 간담회비 지출,6인,"50,000 ",제로페이,시책
