2022년 8월 홍보과 업무추진비 사용내역,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  (단위 : 원)
연번,사용자,사용일,시간,장소,집행목적,대상인원수,금액,결제방법,비목
1,담당자,2022-08-01,12:00:03,해까득목동점,2022년 9월호 양천구소식지 제작과 관련하여 기획회의 관계자 간담회,10,"286,000 ",제로페이,시책추진업무추진비
2,담당자,2022-08-01,12:18:33,우리네코다리,목2동 골목길 '용왕산 달빛거리' 조성 등 홍보 기자 간담회,7,"111,000 ",법인카드,시책추진업무추진비
3,담당자,2022-08-02,12:12:05,놀부부대찌개＆철판구,하반기 중소기업 육성기금 25억 원 지원 등 홍보 기자 간담회,8,"133,800 ",법인카드,시책추진업무추진비
4,담당자,2022-08-02,19:56:10,소담,힐링 프로그램 '여름 H학교' 운영 등 홍보 기자 간담회,5,"108,000 ",법인카드,시책추진업무추진비
5,담당자,2022-08-04,13:11:00,김재운초밥사랑,양천 장독대 발효 아카데미’ 교육생 모집 등 홍보 기자 간담회,5,"95,000 ",제로페이,시책추진업무추진비
6,담당자,2022-08-05,12:29:45,두성전주콩나물국밥 양천구청점,어르신소식지「시니어플러스」제작 관련 기획회의 관계자 간담회,5,"245,000 ",제로페이,시책추진업무추진비
7,담당자,2022-08-08,12:12:56,동심네토종꺼먹돼지,갈산공원 무장애숲길 3단계 구간 조성 완료 등 홍보 기자 간담회,6,"56,000 ",법인카드,시책추진업무추진비
8,담당자,2022-08-09,12:15:53,해미가,"‘빙(氷)고(GO)! 정성담GO, 효도하GO’ 홍보 기자 간담회",5,"90,000 ",제로페이,시책추진업무추진비
9,담당자,2022-08-10,12:49:56,㈜이마트,제18기 꿈나무 어린이기자단 체험학습 음료 구입비,다과류,"23,640 ",제로페이,시책추진업무추진비
10,담당자,2022-08-11,12:23:43,억조１９７８,신월빗물저류시설 운영 현황 인터뷰 관계자 간담회,10,"235,000 ",법인카드,시책추진업무추진비
11,담당자,2022-08-11,20:09:19,육화식당,2022년 주요 구정운영 및 현안사항 홍보 구청장 인터뷰 관계자 간담회,8,"162,000 ",법인카드,시책추진업무추진비
12,담당자,2022-08-12,12:11:02,억조１９７８,구정홍보를 위한 구청출입(광역·지역)기자 간담회,10,"150,000 ",법인카드,시책추진업무추진비
13,담당자,2022-08-12,12:40:58,㈜이마트,양천디지털미디어센터 영상 출연자 간식용 다과 구매,다과류,"94,760 ",제로페이,시책추진업무추진비
14,담당자,2022-08-17,08:01:44,홍루이젠 양천구청점,제18기 꿈나무 어린이기자단 체험학습 간식 구입비,다과류,"127,200 ",제로페이,시책추진업무추진비
15,담당자,2022-08-17,12:28:27,선식당　목동점,추석맞이 자동차 무상점검 실시 홍보 기자 간담회,6,"70,700 ",법인카드,시책추진업무추진비
16,담당자,2022-08-18,12:59:04,놀부부대찌개&철판구이,양천TV 기획영상 제작과 관련하여 업무 협의 간담회,6,"65,300 ",제로페이,시책추진업무추진비
17,담당자,2022-08-18,21:13:24,치킨매니아　양천구청,"신월3동시장, 양천구 두 번째 '골목형상점가' 등록 등 기자 간담회",10,"207,800 ",법인카드,시책추진업무추진비
18,담당자,2022-08-19,13:25:51,북창동순두부,어르신소식지「시니어플러스」제작 관련 기획회의 관계자 간담회,10,"180,000 ",법인카드,시책추진업무추진비
19,담당자,2022-08-19,20:43:19,소풍화로,2022년 주요 구정운영 및 현안사항 홍보를 위한 구청장 인터뷰 추진 관계자 간담회,12,"291,000 ",법인카드,시책추진업무추진비
20,담당자,2022-08-22,12:15:25,아재식당,파리·넘은들공원 '여름 특별 문화 프로그램' 운영 등 홍보 기자 간담회,5,"55,000 ",법인카드,시책추진업무추진비
21,담당자,2022-08-24,19:03:30,조선화로구이,초등학생 현장 체험 ‘우리동네 탐험대’ 운영 재개 등 홍보 기자 간담회,13,"263,000 ",법인카드,시책추진업무추진비
22,담당자,2022-08-25,10:22:56,좋은아침,민선8기 주요 역점 사업 홍보 등 기자 간담회 개최를 위한 다과류 구매,다과류,"360,000 ",법인카드,시책추진업무추진비
23,담당자,2022-08-26,08:45:27,두성전주콩나물국밥 양천구청점,양천TV 기획영상 제작과 관련하여 업무 협의 간담회,7,"51,500 ",제로페이,시책추진업무추진비
24,담당자,2022-08-26,12:18:10,열빈(광화문점),주민(청소년)참여예산 온라인 투표 실시 등 홍보 기자 간담회,12,"287,000 ",제로페이,시책추진업무추진비
25,담당자,2022-08-26,18:40:14,조선화로구이,2022년 주요 구정운영 및 현안사항 홍보를 위한 구청장 인터뷰 추진 관계자 간담회,8,"182,000 ",법인카드,시책추진업무추진비
26,담당자,2022-08-29,12:29:26,대복,양천디지털미디어센터 유지 관리 등 운영 관련 업무협의 간담회,6,"102,000 ",법인카드,시책추진업무추진비
27,담당자,2022-08-29,18:28:47,열빈(광화문점),청렴도시 선포식 개최 등 홍보 기자 간담회,12,"273,000 ",제로페이,시책추진업무추진비
28,담당자,2022-08-30,11:38:24,우리네코다리,홈페이지 개선 및 유지관리 업무 관련 간담회,6,"78,000 ",법인카드,시책추진업무추진비
29,담당자,2022-08-30,21:22:32,조선화로구이,"양천구, '민관 찾아가는 복지상담소' 운영 등 홍보 기자 간담회",12,"285,000 ",법인카드,시책추진업무추진비
