2022년 9월 홍보과 업무추진비 사용내역,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  (단위 : 원)
연번,사용자,사용일,시간,장소,집행목적,대상인원수,금액,결제방법,비목
1,담당자,2022-09-01,13:13:38,대복,추석 명절 대비 전통시장 주변도로 한시적 주차 허용 등 구정홍보를 위한 간담회,4,"69,000 ",법인카드,시책추진업무추진비
2,담당자,2022-09-01,20:17:02,금정,구청장 직통 문자 민원 서비스 정책브리핑 추진 등 구정홍보를 위한 간담회,7,"127,500 ",법인카드,시책추진업무추진비
3,담당자,2022-09-02,11:57:00,소담,‘2022년 추석종합대책’ 추진 등 구정홍보를 위한 간담회,5,"70,000 ",법인카드,시책추진업무추진비
4,담당자,2022-09-02,12:58:30,호호반점목동직영점,양천TV 기획영상 제작 관련 간담회,7,"82,000 ",법인카드,시책추진업무추진비
5,담당자,2022-09-02,20:53:54,１４일의　설레임,제23회 사회복지의 날 기념행사 개최 등 구정홍보를 위한 간담회,6,"127,000 ",법인카드,시책추진업무추진비
6,담당자,2022-09-06,09:15:49,ＳＳＧ．ＣＯＭ,구정홍보실 운영 및 언론사 기자 간담회 추진을 위한 다과류 구입비,다과류,"92,900 ",법인카드,시책추진업무추진비
7,담당자,2022-09-06,19:58:01,장성,청년의 날 맞이 '청년이 그린 토크쇼' 개최 등 구정홍보를 위한 간담회,10,"241,000 ",법인카드,시책추진업무추진비
8,담당자,2022-09-07,16:15:45,알리,국회대로 지하차도 건설공사 현장취재 등 구정홍보를 위한 간담회,5,"24,500 ",법인카드,시책추진업무추진비
9,담당자,2022-09-13,12:44:03,우리네코다리,IoT센서 접목 스마트 공유주차면 추가설치 등 구정홍보를 위한 간담회,6,"98,000 ",법인카드,시책추진업무추진비
10,담당자,2022-09-15,12:12:25,항아리보쌈,양천TV 기획영상 제작 관련 간담회,8,"140,000 ",제로페이,시책추진업무추진비
11,담당자,2022-09-16,12:27:37,장성,학부모 진로코치 프로그램 교육 수강생 모집 등 구정홍보를 위한 간담회,6,"100,000 ",법인카드,시책추진업무추진비
12,담당자,2022-09-16,12:53:30,소담,어르신소식지「시니어플러스」제작 관련 기획회의,12,"180,000 ",제로페이,시책추진업무추진비
13,담당자,2022-09-19,10:48:36,㈜이마트,양천디지털미디어센터 영상 출연자 간식용 다과,다과류,"99,770 ",제로페이,시책추진업무추진비
14,담당자,2022-09-20,12:03:38,본가설렁탕,신월빗물저류배수시설 촬영 등 구정홍보를 위한 간담회,8,"178,000 ",법인카드,시책추진업무추진비
15,담당자,2022-09-22,11:00:28,까페위드,구정홍보실 운영 및 언론사 기자 간담회 추진을 위한 다과류 구입비,다과류,"20,000 ",법인카드,시책추진업무추진비
16,담당자,2022-09-22,11:18:24,홈플러스㈜익스프레스,구정홍보실 운영 및 언론사 기자 간담회 추진을 위한 다과류 구입비,다과류,"70,060 ",법인카드,시책추진업무추진비
17,담당자,2022-09-23,12:57:58,배꼽집 목동점,취약계층 아동 가정 방역서비스 제공 등 구정홍보를 위한 간담회,8,"149,000 ",법인카드,시책추진업무추진비
18,담당자,2022-09-26,12:18:04,우리네코다리,목동로데오패션거리 문화축제 개최 등 구정홍보,5,"65,000 ",법인카드,시책추진업무추진비
19,담당자,2022-09-26,12:49:26,당산마루,취약계층 아동 거주 가구 대상 무료 방역서비스 제공 등 구정홍보 간담회,5,"68,000 ",법인카드,시책추진업무추진비
20,담당자,2022-09-27,12:44:24,린궁즈,사랑의 기부나눔 박스 전달식 개최 등 구정 홍보 간담회,4,"47,000 ",법인카드,시책추진업무추진비
21,담당자,2022-09-27,12:49:43,아그라,온수공원-2지구 '열린 공원'으로 조성 등 구정홍보 간담회,7,"149,400 ",법인카드,시책추진업무추진비
22,담당자,2022-09-28,12:13:11,남원추어탕,사랑의 기부나눔 박스 전달식 현장행정 추진 간담회,8,"121,000 ",제로페이,시책추진업무추진비
22,담당자,2022-09-28,14:57:53,양천구청,캐치프레이즈 아이디어 회의 추진 다과 구입,다과류,"12,000 ",법인카드,시책추진업무추진비
23,담당자,2022-09-28,14:58:17,양천구청,구정홍보실 비치 음료 구입,다과류,"60,700 ",법인카드,시책추진업무추진비
24,담당자,2022-09-29,19:33:29,현경목동점,주요 구정운영 및 현안사항 홍보 간담회,8,"186,000 ",법인카드,시책추진업무추진비
25,담당자,2022-09-30,12:05:18,낙지와볼테기,보건소 일반 민원업무 전면재개 등 구정홍보 간담회,4,"36,000 ",법인카드,시책추진업무추진비
26,담당자,2022-09-30,12:44:40,항아리보쌈,양천TV 기획영상 제작 관련 간담회,10,"36,000 ",제로페이,시책추진업무추진비
