업무추진비 집행내역 공개,,,,,,,
(시책추진업무추진비),,,,,,,
민원감사담당관,(단위 : 원),,,,,,
"연
번",사용자,일시,장소,집행목적,"대상
인원수",금액,결제방법
계,,,총 12건,,,"948,410",
1,"조사팀
주무관","6. 2.(목)
20:14","수뿌레닭갈비
(시흥대로 71길 44)","조사업무 관련 업무협의
간담회",3,"80,000",제로페이
2,"통합민원
지원센터팀
주무관","6. 9.(목)
14:59","쿠팡(주)
(송파구 송파대로 570)","통합민원지원센터 내방객
응대 관련 다과
구매비용 지급",-,"149,810",신용카드
3,"심사평가팀
주무관","6. 10. (금)
12:15","속초코다리
(삼성산길 11)","주요성과평가 추진 관련
간담회 비용 지급",5,"80,000",제로페이
4,"감사팀
주무관","6. 14.(화)
12:07","남도상차림
(시흥대로92길 4)","주민참여 감사 활성화
간담회",4,"88,000",제로페이
5,"조사팀
주무관","6. 15.(수)
12:31","두루치기
(안양시 석수동 378-7)","공직자 재산등록 심의
관련 관계자 간담회",7,"63,000",신용카드
6,"조사팀
주무관","6. 17.(금)
15:07","만랩커피 서초법원점
(서초구 서초중앙로 146)",인권보호 활동,3,"13,400",제로페이
7,"조사팀
주무관","6. 23.(목)
19:37","산골녹두파전
(시흥대로62길 31)","조사업무 관련 업무협의
간담회",4,"52,000",신용카드
8,"조사팀
주무관","6. 24.(금)
12:21","부뚜막청국장
(독산로 242)","공직자 재산등록 심의
관련 관계자 간담회",8,"104,000",제로페이
9,"조사팀
주무관","6. 28.(화)
16:20","더카페 가산 노블루체
(가산로9길 17)",인권보호 활동,3,"11,200",제로페이
10,"감사팀
주무관","6. 28.(화)
12:21","본가집가마솥설렁탕
(시흥대로 269)","청렴해피콜 사업 관계자
간담회",8,"227,000",신용카드
11,"심사평가팀
주무관","6. 30.(목)
12:15","서대문김치찜
(두산로 70)",계약심사 관련 간담회,5,"42,000",제로페이
12,"조사팀
주무관","6. 30.(목)
19:05","분짜하노이
(시흥대로291)","조사업무 관련 업무협의
간담회",4,"38,000",제로페이
