업무추진비 집행내역 공개,,,,,,,
(시책추진업무추진비),,,,,,,
민원감사담당관,(단위 : 원),,,,,,
"연
번",사용자,일시,장소,집행목적,"대상
인원수",금액,결제방법
계,,,총 14건,,,"1,589,270",
1,"인권조사팀
주무관","11. 3.(목)
16:54","롯데마트금천점
(금천구 시흥대로291)","2022년 금천구 주민 인권
배움터 수료식 다과 구매",15,"7,960",제로페이
2,"인권조사팀
주무관","11. 3.(목)
17:06","뉴달하브레드
(금천구 시흥대로291)","2022년 금천구 주민
인권 배움터 운영",15,"78,200",제로페이
3,"열린민원팀
주무관","11. 7.(월)
12:51","채선당
(금천구 시흥대로 277)","구민 민원만족도 제고
관련 간담회 개최",3,"38,700",제로페이
4,"인권조사팀
주무관","11. 7.(월)
12:33","소명생고기
(금천구 시흥대로 264)","조사업무 관련
업무협의 간담회",7,"105,000",제로페이
5,"인권조사팀
주무관","11. 9.(수)
20:50","춘천옥
(금천구 디지털로 12길 19)","조사업무 관련
업무협의 간담회",5,"144,000",신용카드
6,"감사팀
주무관","11.10.(목)
20:31","강강술래
(금천구 시흥대로 193)",청렴도 향상 시책 간담회,4,"148,000",신용카드
7,"인권조사팀
주무관","11. 11.(금)
12:20","신원휘생태탕
(금천구 삼성산길3)","2022년 금천구 주민 인권
배움터 결과보고 간담회",8,"137,000",제로페이
8,"열린민원팀
주무관","11. 15.(화)
10:40","쿠팡(주)
(송파구 송파대로 570)","열린민원실 내방객 응대
관련 다과 구매",-,"149,510",신용카드
9,"인권조사팀
주무관","11. 15.(화)
20:53","구포국수
(금천구 시흥대로 291)","직원 인권교육 추진
관련 간담회",7,"110,000",제로페이
10,"인권조사팀
주무관","11. 17.(목)
12:22","보승회관
(금천구 시흥대로 268)","조사업무 관련
업무협의 간담회",4,"34,000",제로페이
11,"인권조사팀
주무관","11. 16.(수)
11:12","에그셀런트
(금천구 시흥대로56길 8)","공직자 재산신고 심의
관련 간담회 다과비",6,"34,700",제로페이
12,"인권조사팀
주무관","11. 25.(금)
11:44","우리동네청년초밥
(금천구 시흥대로 315)","2023년 정기재산신고
실시 준비 관련 간담회",6,"87,200",제로페이
13,"감사팀
주무관","11. 25.(금)
12:45","실크로드
(금천구 가산로 147-5)","시민감사관 역량강화
워크숍 간담회",16,"433,000",신용카드
14,"감사팀
주무관","11. 30.(수)
12:39","무교동낙지샤브칼국수
(금천구 시흥동 890-7)",계약심사 관련 간담회,4,"82,000",신용카드
