업무추진비 집행내역 공개,,,,,,,
(시책추진업무추진비),,,,,,,
민원감사담당관,(단위 : 원),,,,,,
"연
번",사용자,일시,장소,집행목적,"대상
인원수",금액,결제방법
계,,,총 10건,,,"688,300",
1,"조사팀
주무관","5. 3.(화)
14:49","달쓰브릿지
(금천구 벚꽃로 30, 234호)",인권보호 활동,2,"16,600",제로페이
2,"조사팀
주무관","5. 3.(수)
21:20","막회무침나라
(금천구 시흥대로71길 40)","조사업무 관련 업무협의
간담회",5,"165,000",제로페이
3,"조사팀
주무관","5. 11.(수)
19:00","고봉민김밥
(금천구 시흥대로 291)","공직기강 확립을 위한
조사업무 관련 간담회",3,"29,000",제로페이
4,"조사팀
주무관","5. 12.(목)
12:09","구구함박
(금천구 시흥대로 291)",인권정책실행계획 간담회,6,"73,500",제로페이
5,"조사팀
주무관","5. 12.(목)
19:09","소명생고기
(금천구 시흥대로 264)","조사업무 관련
업무협의 간담회",4,"36,000",제로페이
6,"조사팀
주무관","5. 17.(화)
11:41","귀빈
(금천구 시흥대로 334)","공직자 재산등록사항
심의 관련 관계자 간담회",6,"48,000",제로페이
7,"감사팀
주무관","5. 19.(목)
12:30","생선명가거북명태
(광명시 범안로 856)","주민참여 감사 활성화
간담회",4,"40,000",신용카드
8,"조사팀
주무관","5. 24.(화)
18:49","소명생고기
(금천구 시흥대로 264)","조사업무 관련 업무협의
간담회",5,"130,000",제로페이
9,"조사팀
주무관","5. 26.(목)
12:04","국수나무
(금천구 벚꽃로 40)",인권정책실행계획 간담회,4,"30,200",제로페이
10,"심사평가팀
주무관","5. 27.(금)
12:22","강강술래
(금천구 시흥대로 193)",계약심사 관련 간담회,5,"120,000",제로페이
