업무추진비 집행내역 공개,,,,,,,
(시책추진업무추진비),,,,,,,
민원감사담당관,(단위 : 원),,,,,,
"연
번",사용자,일시,장소,집행목적,"대상
인원수",금액,결제방법
계,,,총 14건,,,"1,284,000",
1,"민원감사
담당관","3. 4.(금)
21:30","삼은식당
(금천구 독산동 293-29)","주민참여 감사 활성화
간담회",4,"124,000",
2,"조사팀
주무관","3. 7.(월)
19:03","분짜하노이 금천롯데캐슬점
(금천구 시흥대로 291)","조사업무 관련 업무협의
간담회",3,"28,500",
3,"민원감사
담당관","3. 10.(목)
12:23","㈜소명생고기
(금천구 시흥대로 264)",청렴도 향상 시책 간담회,6,"60,000",
4,"조사팀
주무관","3. 11.(금)
12:23","청평민물매운탕
(경기 광명시 밤일안로14번길 5)","도시안전 환경순찰활동
관련 간담회",6,"99,000",
5,"심사평가팀
주무관","3. 8.(화)
12:15","오고또오고
(금천구 시흥대로64길 9)",계약심사 관련 간담회,5,"57,000",
6,"민원감사
담당관","3. 14.(월)
12:24","예소담
(광명시 밤일로 33-1)","주민참여 감사 활성화
간담회",5,"61,000",
7,"조사팀
주무관","3. 15.(화)
12:16","보승회관 금천구청점
(서울시 금천구 시흥대로 268)","공직기강 확립을 위한
조사업무 관련 간담회",4,"33,000",
8,"감사팀
주무관","3. 16.(수)
12:20","카오룽
(금천구 시흥대로 291)",청렴도 향상 시책 간담회,6,"86,500",
9,"민원감사
담당관","3. 18.(금)
13:54","양천골흑염소요리전문점
(금천구 두산로 70
현대지식산업센터)",청렴도 향상 시책 간담회,6,"124,000",
10,"민원감사
담당관","3. 18.(금)
20:31","보영정육식당
(금천구 시흥대로 315)","주민참여 감사 활성화
간담회",6,"164,000",
11,"민원감사
담당관","3. 22.(화)
20:03","㈜소명생고기
(서울시 금천구 시흥대로
264)","조사업무 관련 업무협의
간담회",6,"168,000",
12,"심사평가팀
주무관","3. 25. (금)
12:01","본가집가마솥설렁탕
(금천구 시흥대로 269)","주요성과평가 추진 관련
간담회",6,"64,000",
13,"조사팀
주무관","3. 28.(월)
21:29","오가네정육점식당
(서울시 금천구 시흥대로
349)","조사업무 관련 업무협의
간담회",3,"88,000",
14,"심사평가팀
주무관","3. 29.(화)
12:22","이레향
(광명시 하안동 499-26)",계약심사 관련 간담회,5,"127,000",
