업무추진비 집행내역 공개,,,,,,,
(시책추진업무추진비),,,,,,,
민원감사담당관,(단위 : 원),,,,,,
"연
번",사용자,일시,장소,집행목적,"대상
인원수",금액,결제방법
계,,,총 9건,,,"879,300",
1,"조사팀
주무관","2. 8.(화)
12:41","소명생고기
(금천구 시흥대로 264)","조사업무 관련
업무협의 간담회",6,"90,000",제로페이
2,"조사팀
주무관","2. 10.(목)
12:21","보승회관
(금천구 시흥대로 268)","공직기강 확립을 위한
조사업무 관련 간담회",5,"42,000",제로페이
3,"감사팀
주무관","2. 15.(화)
12:10","항아리식당
(금천구 시흥대로76길 9)","주민참여 감사
활성화 간담회",4,"34,000",제로페이
4,"조사팀
주무관","2. 16.(수)
12:18","소원가정식
(금천구 시흥대로73길 67)","2022년 정기 재산신고
실시 관련 간담회",6,"72,000",제로페이
5,"조사팀
주무관","2. 18.(금)
20:42","탐나종합어시장 가산점
(금천구 가산로 156)","조사업무 관련
업무협의 간담회",4,"132,000",제로페이
6,"조사팀
주무관","2. 22.(화)
18:54","구포국수
(금천구 시흥대로 291)","조사업무 관련
업무협의 간담회",3,"37,000",제로페이
7,"조사팀
주무관","2. 25.(금)
12:16","신원휘생태탕
(금천구 삼성산길 3)","2022년 정기 재산변동
신고 관련 간담회",6,"96,000",제로페이
8,"민원감사
담당관","2. 25.(금)
20:13","㈜금관한우
(관악구 남부순환로 1369)","청렴도 향상
시책 간담회",6,"207,910",신용카드
9,"민원감사
담당관","2. 28.(월)
13:54","㈜쿠팡
(송파구 송파대로 570)","기업지원센터 전문가
무료상담실 운영
다과 구매비용 지급",-,"168,390",신용카드
