업무추진비 집행내역 공개,,,,,,,
(시책추진업무추진비),,,,,,,
민원감사담당관,(단위 : 원),,,,,,
"연
번",사용자,일시,장소,집행목적,"대상
인원수",금액,결제방법
계,,,총 18건,,,"2,525,490",
1,"감사팀
주무관","9. 2.(금)
21:06","고기원칙
(금천구 시흥대로 291)",청렴도 향상 시책 간담회,10,"341,500",제로페이
2,"감사팀
주무관","9. 5.(월)
12:32","강강술래 시흥점
(금천구 시흥대로 193)",계약심사 관련 간담회,5,"167,000",제로페이
3,"현장구청장실
주무관","9. 2.(금)
12:36","원주옻닭전문점
(안양시 만안구 삼막로 51-9)","전문가 무료 상담 만족도
제고 관련 간담회",12,"270,000",신용카드
4,"현장구청장실
주무관","9. 5.(화)
13:05","롯데마트
(송파구 올림픽로269 6)",상담실 운영 필요물품 구매,-,"181,630",신용카드
5,"현장구청장실
주무관","9. 6.(화)
12:43","카오룽
(금천구 시흥대로 291)","도시안전 환경순찰활동
관련 간담회",6,"76,000",제로페이
6,"감사팀
주무관","9. 7.(수)
20:27","깡통삼겹살
(금천구 시흥대로63길 25)",청렴도 향상 시책 간담회,6,"165,000",신용카드
7,"현장구청장실
주무관","9. 8.(목)
12:14","동우황태북어국
(서울 금천구 가산동 429-1)","전문가 무료 상담 만족도
제고 관련 간담회 개최",8,"68,000",신용카드
8,"인권조사팀
주무관","9. 15.(목)
12:13","롯데마트 금천점
(금천구 시흥대로291)","주민 인권 배움터 운영을
위한 다과 구매",25,"77,360",제로페이
9,"현장구청장실
주무관","9. 15.(목)
12:37","이화순대국
(금천구 시흥대로 237-12","도시안전 환경순찰활동
관련 간담회",4,"32,000",신용카드
10,"현장구청장실
주무관","9. 22.(목)
12:50","소용궁
(금천구 시흥대로 291)","전문가 무료 상담 만족도
제고 관련 간담회 개최",6,"73,000",제로페이
11,"감사팀
주무관","9. 22.(목)
19:29","깡통삼겹살
(금천구 시흥대로71길 45)",청렴도 향상 시책 간담회,5,"135,000",제로페이
12,"감사팀
주무관","9. 23.(금)
16:09","피자헛
(금천구 은행나무로 43)",청렴도 향상 시책 간담회,38,"386,200",신용카드
13,"감사팀
주무관","9. 23.(금)
16:33","도미노피자
(금천구 독산로 3)",청렴도 향상 시책 간담회,23,"213,800",신용카드
14,"인권조사팀
주무관","9. 28.(수)
12:34","본가집가마솥설렁탕
(금천구 시흥대로 269)","조사업무 관련 업무협의
간담회",6,"96,000",제로페이
15,"감사팀
주무관","9. 29.(목)
12:38","분짜하노이
(금천구 시흥대로 291)",청렴도 향상 시책 간담회,6,"78,000",제로페이
16,"현장구청장실
주무관","9. 29.(목)
12:38","신원휘생태탕
(금천구 삼성산길3)","도시안전 환경순찰활동
관련 간담회",6,"68,000",제로페이
17,"인권조사팀
주무관","9. 29.(목)
17:38","고봉민김밥
(금천구 시흥대로 291)","2022년 금천구 주민 인권
배움터 운영",5,"22,500",제로페이
18,"인권조사팀
주무관","9. 30.(금)
12:24","보승회관
(금천구 시흥대로 268)","2022년 금천구 주민 인권
배움터 운영",7,"74,500",제로페이
