일시,장소,금액(원),"대상
인원"
6월,(주)비스테까녹사,"33,000",4
6월,"주식회사 엘크로컴퍼
니 꾸띠자르당","73,000",3
6월,"주식회사 명동교자
(이태원지점)","55,000",5
6월,댓잎갈비,"84,000",7
6월,가마솥식당,"32,000",4
6월,"주식회사
비티엘플러스","24,200",4
6월,이태원곰탕,"27,000",3
6월,경리단578,"70,000",3
6월,이태원숯불구이,"60,000",5
6월,이태원면사무소,"49,000",4
6월,리지트커피,"15,000",4
6월,쏭타이,"60,000",4
6월,리지트커피,"12,000",4
6월,청송식당,"50,000",2
7월,아톤브루어리,"86,000",4
7월,식도락,"119,000",4
7월,말죽거리꽈배기,"168,000",15
7월,원미정,"30,000",4
7월,포 하우스,"59,000",5
7월,카페다디오,"40,000",5
7월,남도복국 삼각지점,"92,000",4
7월,일거양득,"120,000",5
7월,카페다디오,"30,000",3
7월,복지매점 현주상사,"38,600",3
7월,유진막국수,"53,000",4
7월,구름식탁,"41,700",3
7월,리지트커피,"16,000",4
7월,단풍나무 이태원점,"105,750",6
7월,리지트커피,"18,000",6
7월,이태원미8군부대찌개,"130,000",6
7월,원할머니보쌈 남영점,"71,000",4
7월,굴마을낙지촌,"68,000",6
7월,원조보리밥수제비,"45,000",5
7월,옛날국시,"52,000",7
7월,구름식탁,"57,600",4
7월,쏭타이,"60,800",4
7월,리지트커피,"11,500",4
7월,쏭타이,"55,200",4
7월,단풍나무 이태원점,"66,150",5
8월,중국관,"35,000",4
8월,댓잎갈비,"36,000",3
8월,쏭타이,"97,600",5
8월,단풍나무 이태원점,"53,700",4
8월,오페뜨 후암점,"15,000",3
8월,해방촌방앗간,"27,000",3
8월,가마솥족발,"18,000",3
8월,면마루,"23,000",3
8월,투원투,"15,000",3
8월,경리단578,"33,000",3
8월,후암돈까스,"45,000",3
8월,바스버거,"32,900",3
8월,쏭타이,"47,200",3
8월,동천홍,"39,000",3
8월,ISBY(이즈비),"89,000",4
8월,가마솥족발,"25,000",3
8월,충무칼국수,"17,000",3
8월,마린씨,"93,000",4
8월,쏭타이,"48,800",3
8월,무진장,"14,600",3
8월,레트로,"55,000",5
8월,홈볼트,"58,500",6
