사용일자,장소,집 행 액,인원
2022-08-30,"오플비（Ａ
ｏｆｌｂｅ","24,000",8
2022-08-31,더 온세,"23,000",5
2022-09-01,카페몽타주,"10,500",3
2022-09-02,"카페지금여기
４５６","15,900",3
2022-09-02,코페이,"43,000",5
2022-09-05,아쿠아마트,"84,000",6
2022-09-05,아쿠아마트,"56,000",5
2022-09-06,어전,"189,000",7
2022-09-08,토팡가,"16,000",4
2022-09-13,토팡가,"25,000",6
2022-09-14,"서울진우동덮
밥","51,200",4
2022-09-15,카페몽타주,"16,000",4
2022-09-15,오륜정,"65,000",5
2022-09-15,"비사벌
전주콩나물국","40,000",5
2022-09-16,"주식회사
브랜뉴하이","26,250",4
2022-09-19,"브로일링커피
강동점","40,300",8
2022-09-19,바비베이글,"14,300",3
2022-09-20,"지호한방삼계
탕","34,000",3
2022-09-21,오륜정,"50,000",3
2022-09-21,포르마레,"13,000",3
2022-09-21,"카페
트리플러스","11,000",3
2022-09-22,"보 타이
（Ｂｏ Ｔ","78,000",5
2022-09-23,화진포막국수,"118,500",7
2022-09-28,더 온세,"38,500",8
2022-09-28,라라브레드,"25,600",4
2022-09-29,성내굼터,"34,000",4
2022-09-29,"흑돼지생고기
구이","142,000",5
2022-10-21,먼데이블루스,"58,000",4
2022-10-24,소담,"24,000",3
2022-10-27,토팡가,"16,000",4
2022-10-27,순정키친,"33,900",4
2022-10-28,아마렐로,"13,500",4
2022-10-28,"파리크라상
키친올림픽","98,000",7
2022-10-28,더 온세,"87,000",8
2022-10-31,전주가,"53,000",6
2022-10-04,카츠탐,"31,000",3
2022-10-05,"가마솥밥
명품추어탕","20,000",2
2022-10-06,토팡가,"12,500",3
2022-10-06,토팡가,"25,000",5
2022-10-07,오륜정,"22,000",2
2022-10-11,토팡가,"22,000",4
2022-10-12,"셰프의
돈까스","43,000",4
2022-10-12,"방이샤브샤
브칼국수","62,000",7
2022-10-13,신단설렁탕,"45,000",4
2022-10-14,행복한식탁,"48,000",5
2022-10-17,"브로일링커피
강동점","29,500",6
2022-10-18,방콕．그집,"32,000",3
2022-10-18,"버거킹
길동사거리점","23,700",3
2022-10-18,"전광수커피
에스프레소","11,100",3
2022-10-18,키츠네,"26,000",3
2022-10-19,소담,"47,000",5
2022-10-19,해전해물탕,"75,000",5
2022-10-19,카페항상,"17,500",4
2022-10-20,"뚝배기
손칼국수","32,000",4
2022-10-20,묵호,"160,000",5
2022-10-20,"송강제면소
강동구청","40,000",5
2022-10-21,"토담골
멸치국수","22,000",3
2022-11-17,묵호,"28,000",4
2022-11-18,카페항상,"45,000",6
2022-11-18,묵호,"56,000",4
2022-11-21,온누리마트,"65,000",8
2022-11-21,묵호,"100,000",6
2022-11-22,벌스커피,"25,500",6
2022-11-22,오륜정,"39,000",3
2022-11-23,"의정부
부대찌개","24,000",3
2022-11-24,벌스커피,"17,500",4
2022-11-24,통통김치찌개,"50,000",4
2022-11-24,카페항상,"55,000",7
2022-11-25,해브어그린,"15,500",2
2022-11-25,묵호,"53,000",4
2022-11-28,"장터순대국
감자탕","36,000",4
2022-11-29,카페항상,"23,500",5
2022-11-29,타짜,"70,000",5
2022-11-29,방콕．그집,"120,000",6
2022-11-30,더 온세,"34,500",7
2022-11-30,선남ｓｅａ,"160,000",8
2022-11-01,방콕．그집,"32,000",3
2022-11-02,더 온세,"18,000",4
2022-11-02,"아이갓
에브리띵","50,000",6
2022-11-03,"마곡
닭한마리","60,000",4
2022-11-04,참치락,"91,000",6
2022-11-07,카페몽타주,"16,000",4
2022-11-08,"아이갓
에브리띵","61,000",6
2022-11-08,명동찌개마을,"104,000",7
2022-11-09,오륜정,"52,000",4
2022-11-09,카페항상,"55,000",8
2022-11-10,타짜,"92,000",6
2022-11-10,해브어그린,"46,000",6
2022-11-11,"아이갓
에브리띵","43,000",8
2022-11-11,"양철북
강동구청점","80,500",7
2022-11-14,참치락,"59,000",4
2022-11-14,"파리바게뜨
강동구청점","81,300",9
2022-11-14,묵호,"98,000",7
2022-11-15,묵호,"91,000",7
2022-11-16,팔선생,"65,000",5
2022-11-16,"아이갓
에브리띵","20,860",3
2022-11-17,"영커피
강동구청점","17,000",5
2022-11-17,"홍콩반점０
４１０ 강","98,000",7
2022-12-26,스시꽃피다,"34,000",3
2022-12-26,이쁜연어,"50,800",4
2022-12-28,어전,"178,000",9
2022-12-01,선남sea,"40,000",4
2022-12-01,"큰맘할매
순대국","101,000",6
2022-12-02,더온세,"62,000",7
2022-12-02,"의정부부대
찌개","40,000",5
2022-12-02,"스타벅스
코리아","28,600",5
2022-12-05,메차쿠차,"37,000",4
2022-12-06,카페항상,"71,000",6
2022-12-07,"교촌치킨
성내점","47,000",4
2022-12-08,통통김치찌개,"31,000",3
2022-12-09,"의정부부대
찌개","16,000",2
2022-12-09,고석정,"185,000",7
2022-12-13,태양옥김빠,"92,500",7
2022-12-13,카페항상,"79,740",8
2022-12-15,고석정,"183,000",7
2022-12-15,아마렐로,"21,500",7
2022-12-15,어전,"72,000",4
2022-12-15,더 온세,"101,400",8
2022-12-16,"방콕, 그집","43,000",3
2022-12-16,스시꽃피다,"108,500",7
2022-12-19,내일또오리,"90,000",4
2022-12-19,온누리마트,"14,100",3
2022-12-20,수라연,"147,000",7
2022-12-22,스시꽃피다,"68,000",4
2022-12-22,카페몽타주,"31,000",6
2022-12-23,"큰맘할매
순대국","32,850",4
