사용일,사용장소,인원,사용금액
2022.11.23.,하누소,5,80000
2022.11.24.,도나도나,4,28000
2022.11.30.,박대박,6,56000
2022.12.1.,청춘남원추어탕,4,"32,000"
2022.12.2.,포메인(노원점),6,85500
2022.12.8.,명품장어구이,7,"140,000"
2022.12.9.,항도,4,68000
2022.12.20.,논골집,12,210000
2022.12.23.,평강슈퍼,10,18000
2022.12.23.,청춘남원추어탕,19,145000
2022.12.26.,롯데쇼핑(주)노원점,5,75000
2022.12.26.,노원어르신행복 주식,12,60000
2022.12.27.,항도,11,290000
2022.12.28.,논골집,8,150000
2022.12.29.,북경2,6,120000
