"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  6월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상 인원수,금액,결제방법,비목
1,기획재정국장,2022.06.02.12:01:04,이웃집샤브,민선8기 주요 공약사업 검토 보고회 준비 업무,5,"77,400",신용카드,시책
2,기획재정국장,2022.06.02.12:04:13,카페뮬,민선8기 주요 공약사업 검토 보고회 준비 업무,5,"21,870",신용카드,시책
3,법제통계팀장,2022.06.02.12:12:49,현참치,법률자문업무 관련 업무추진,6,"93,000",제로페이,시책
4,기획예산과장,2022.06.02.19:46:45,미우,민선8기 주요 공약사업 관련 업무협의,5,"118,000",신용카드,시책
5,기획팀장,2022.06.03.12:06:21,고려한방삼계탕,성과관리 체계 개선 관련 업무,7,"90,000",신용카드,시책
6,기획팀장,2022.06.03.12:09:20,달달커피,성과관리 체계 개선 관련 업무,7,"26,300",신용카드,시책
7,혁신경영지원팀장,2022.06.03.12:18:29,녕화식당,재단 인사규정 관련 업무 회의,4,"66,000",제로페이,시책
8,혁신경영지원팀장,2022.06.03.12:20:05,스노우문,재단 인사규정 관련 업무 회의,4,"10,000",제로페이,시책
9,예산팀장,2022.06.03.12:25:37,조비스그릴,특교 사업 추진상황 점검 업무회의,3,"78,000",신용카드,시책
10,통계 담당 주무관,2022.06.03.12:35:42,스패뉴,광업제조업조사 조사원 교육 관련 업무추진,3,"39,900",제로페이,시책
11,통계 담당 주무관,2022.06.03.12:42:10,루트비커피,광업제조업조사 조사원 교육 관련 업무추진,3,"6,700",제로페이,시책
12,기획예산과장,2022.06.03.19:52:58,영석이네,민선8기 공약사업 및 하반기 과제체계 연계 관련 업무,4,"69,000",신용카드,시책
13,동북4구 담당 주무관,2022.06.03.20:37:34,마전터,민선8기 동북4구 행정협의회 운영 관련 업무 협의,5,"118,000",신용카드,시책
14,기획재정국장,2022.06.07.,직원경조사비,소속 직원 경조사비,2,"100,000",현금,기관
15,기획팀장,2022.06.07.11:55:15,소일,민선8기 공약사업 및 하반기 과제체계 연계 관련 업무,4,"22,000",신용카드,시책
16,대외재정 담당 주무관,2022.06.07.12:01:13,달달커피,대외재정 확보 관련 간담회,5,"26,000",제로페이,시책
17,법제통계팀장,2022.06.07.12:08:24,제주고깃집,과업제조업조사 관련 업무추진,5,"34,000",제로페이,시책
18,동북4구 담당 주무관,2022.06.07.15:54:21,파리바게뜨,민선8기 동북4구 행정협의회 운영 관련 업무 협의,12,"70,000",신용카드,시책
