"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  7월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상 인원수,금액,결제방법,비목
1,기획예산과장,2022.07.01.12:04:46,안식당,현안정책회의 운영 관련 업무 추진,7,"98,000",신용카드,시책
2,기획예산과장,2022.07.01.12:06:10,소일,현안정책회의 운영 관련 업무 추진,7,"32,500",신용카드,시책
3,법제통계팀장,2022.07.01.12:15:12,신의주찹쌀순대,법률자문업무 관련 업무추진,5,"39,000",제로페이,시책
4,과제체계 담당 주무관,2022.07.01.12:30:24,포앤시드니,민선 8기 과제체계 수립 관련 업무추진,3,"38,000",신용카드,시책
5,과제체계 담당 주무관,2022.07.01.12:36:35,메가커피,민선 8기 과제체계 수립 관련 업무추진,2,"4,000",신용카드,시책
6,법제담당,2022.07.04.11:48:32,낙지사랑,법률자문업무 관련 업무추진,7,"85,000",제로페이,시책
7,미래성북팀장,2022.07.04.11:52:28,구월,도시공간조정 TFT 심의 관련 협의,4,"16,500",신용카드,시책
8,기획예산과장,2022.07.04.12:18:11,성신초밥,제2차 추경 편성 관련 업무회의,5,"68,000",신용카드,시책
9,기획팀장,2022.07.04.12:26:06,마늘과 올리브,신규 과제 발굴 및 하반기 성과 관리 개선 협의,7,"118,000",신용카드,시책
10,기획팀장,2022.07.04.12:29:38,어테이블,신규 과제 발굴 및 하반기 성과 관리 개선 협의,7,"29,300",신용카드,시책
11,예산팀장,2022.07.04.19:36:15,샌드위치하우스,국시비 주요사업 추진 관련 간담회,14,"100,000",신용카드,시책
12,기획팀장,2022.07.05.09:33:17,커피로드,공약사업 보고회 관련 업무추진,4,"21,200",신용카드,시책
13,특교 담당 주무관,2022.07.05.10:38:50,네이버파이낸셜,특교 대상 사업 발굴 간담회 음료 구입,15,"100,100",신용카드,시책
14,기획예산과장,2022.07.05.12:17:09,녕화식당,대외재정 확보 관련 업무회의,7,"104,000",신용카드,시책
15,법제통계팀장,2022.07.05.12:17:23,가정쌈밥,마을기록화 사업 업무관련 협의,7,"80,000",제로페이,시책
16,법제통계팀장,2022.07.05.12:24:00,웰컴카페,마을기록화 사업 업무관련 협의,7,"35,000",제로페이,시책
17,보조금 담당 주무관,2022.07.05.12:25:53,카르페디엠,지방재정공시 관련 업무회의,4,"19,300",제로페이,시책
18,신속집행 담당 주무관,2022.07.05.21:51:02,코리안슟불바베큐,하반기 신속집행 추진 관련 업무회의,4,"40,500",신용카드,시책
19,기획재정국장,2022.07.05.22:25:20,강원축산식당,사회적경제 및 마을만들기 사업 관련 업무추진,10,"260,000",신용카드,시책
20,혁신경영지원팀장,2022.07.06.11:34:20,오늘김밥,재단 경영실적 현장평가 관련 협의,4,"59,000",제로페이,시책
21,예산팀장,2022.07.06.12:18:10,어테이블,중앙투자심사 의뢰 관련 업무추진,5,"23,500",신용카드,시책
22,기획예산과장,2022.07.06.12:19:43,포앤시드니,공공데이터플랫폼 운영 관련 업무추진,8,"87,000",제로페이,시책
23,법제통계팀장,2022.07.06.12:24:33,카페희다,공공데이터플랫폼 운영 관련 업무추진,7,"33,900",신용카드,시책
24,기획예산과장,2022.07.07.10:52:08,동우정,구정 신규정책 발굴 관련 업무추진,5,"62,000",신용카드,시책
25,혁신경영지원팀장,2022.07.07.12:01:00,가부,재단 신규 채용 관련 업무협의,4,"72,000",제로페이,시책
26,기획예산과장,2022.07.07.12:06:56,소일,구정 신규정책 발굴 관련 업무추진,5,"17,550",신용카드,시책
27,투자심사 담당 주무관,2022.07.07.12:27:41,카페어거스티,하반기 자체투자심사 관련 업무추진,6,"31,500",신용카드,시책
28,대외재정 담당 주무관,2022.07.07.13:32:48,현대백화점 미아점,대외재정 확보 관련 간담회 다과 구입,20,"140,000",신용카드,시책
29,투자사업 담당 주무관,2022.07.07.14:46:03,식자재유통센타,대규모 투자사업 추진 점검 간담회 다과 구입,15,"60,000",신용카드,시책
30,기획예산과장,2022.07.07.19:37:11,히스토리,대외평가자료 발굴 관련 업무추진,3,"57,000",신용카드,시책
31,신속집행 담당 주무관,2022.07.08.11:41:33,라라면가,하반기 신속집행 추진 관련 간담회,3,"41,000",제로페이,시책
32,혁신경영지원팀장,2022.07.08.12:05:25,해송,비상임이사 임명식 관련 업무추진,14,"350,000",신용카드,시책
33,통계담당 주무관,2022.07.08.12:06:37,도쿄커틀릿,광업제조업 조사 관련 업무추진,4,"34,000",제로페이,시책
34,통계담당 주무관,2022.07.08.12:08:58,소일,광업제조업 조사 관련 업무추진,4,"16,500",제로페이,시책
35,미래성북팀장,2022.07.08.12:19:04,옛날불고기,도시공간조정 TFT 심의 관련 협의,4,"44,000",신용카드,시책
36,기획팀장,2022.07.08.12:31:18,쎄오쎄오,지시사항 이행 관련 업무추진,7,"68,500",신용카드,시책
37,예산팀장,2022.07.08.20:06:05,비스트로,시비 사업 보고회 개최 관련 업무회의,7,"90,000",신용카드,시책
38,예산 총괄 담당 주무관,2022.07.11.09:08:28,쿠팡㈜,제2차 추경 편성 관련 업무회의 음료구입,15,"93,000",신용카드,시책
39,예산팀장,2022.07.11.12:02:42,카페희다,지방재정공시 관련 간담회,4,"15,500",신용카드,시책
40,기획예산과장,2022.07.11.12:19:29,성북동함박스테이크,성과관리 체계 개선 관련 업무추진,7,"108,000",신용카드,시책
41,기획예산과장,2022.07.11.12:24:38,블랑제메종,성과관리 체계 개선 관련 업무추진,7,"55,800",신용카드,시책
42,투자심사 담당 주무관,2022.07.11.19:13:29,성신초밥,투자사업심사 관련 업무추진,3,"27,000",신용카드,시책
43,법제업무담당,2022.07.12.12:01:53,명동칼국수,자치법규 정비 관련 업무추진,5,"35,000",제로페이,시책
44,기획예산과장,2022.07.12.12:09:42,키작은아저씨,중앙투자심사 의뢰 관련 업무추진,6,"80,000",제로페이,시책
45,공시담당 주무관,2022.07.12.12:16:33,어테이블,재정공시 관련 업무추진,7,"35,500",신용카드,시책
46,기획예산과장,2022.07.12.19:43:44,꿈꾸는 이상,대외평가자료 발굴 관련 업무추진,12,"200,000",신용카드,시책
47,예산팀장,2022.07.12.20:04:36,히스토리,서울시 추경 시비 사업 관련 업무추진,20,"320,000",신용카드,시책
48,기획팀장,2022.07.12.22:42:07,치킨매니아,과제관리 체계 개선 관련 업무추진,5,"80,000",신용카드,시책
49,과제관리 담당 주무관,2022.07.13.12:08:35,혜화면옥,신규 과제 발굴 및 하반기 성과 관리 개선 관련 업무추진,6,"56,000",신용카드,시책
50,기획예산과장,2022.07.13.12:12:49,제주고깃집,자치법규 정비 관련 업무추진,7,"68,000",제로페이,시책
51,법제통계팀장,2022.07.13.12:18:50,플랜비카페,자치법규 정비 관련 업무추진,7,"30,500",제로페이,시책
52,예산팀장,2022.07.13.12:21:54,카페희다,하반기 자체투자심사 관련 업무추진,4,"19,000",신용카드,시책
53,대외재정 담당 주무관,2022.07.13.19:22:01,샌드위치하우스,국 시비 확보 관련 업무추진,7,"100,000",신용카드,시책
54,법제통계팀장,2022.07.14.11:36:27,브라운돈까스,법률자문 업무 관련 업무추진,7,"48,500",제로페이,시책
55,기획예산과장,2022.07.14.12:44:01,장어세상,서울시 본예산 시비 사업 관련 업무추진,11,"266,000",신용카드,시책
56,기획팀장,2022.07.14.22:36:20,코리안슟불바베큐,주요 현안사업 보고회 관련 업무추진,7,"93,000",신용카드,시책
57,법제통계팀장,2022.07.15.12:02:07,청기와,공공데이터플랫폼 운영 관련 업무추진,7,"90,000",신용카드,시책
58,법제통계팀장,2022.07.15.12:03:29,웰컴카페,법률자문 업무 관련 업무추진,7,"17,800",제로페이,시책
59,자치분권 담당 주무관,2022.07.15.12:06:41,한우설렁탕,자치분권 활성화 관련 업무추진,4,"44,000",제로페이,시책
60,미래성북팀장,2022.07.15.12:12:16,구월,공공시설 관리체계 구축 관련 업무추진,4,"16,800",신용카드,시책
61,대외재정 담당 주무관,2022.07.15.14:40:07,현대백화점 미아점,시비 사업 보고회 개최 관련 업무추진,20,"59,500",신용카드,시책
62,대외재정 담당 주무관,2022.07.18.09:18:29,쿠팡㈜,시비 사업 보고회 개최 관련 업무추진,20,"69,940",신용카드,시책
63,공공시설 관리체계 담당 주무관,2022.07.18.11:52:18,그집밥,공공시설 관리체계 구축 관련 관계자 회의,4,"32,000",신용카드,시책
64,공공시설 관리체계 담당 주무관,2022.07.18.11:53:52,라브리사커피,공공시설 관리체계 구축 관련 관계자 회의,4,"14,000",신용카드,시책
65,법제담당,2022.07.18.11:56:35,크림탑커피,법률자문 업무 관련 업무추진,5,"15,600",제로페이,시책
66,기획예산과장,2022.07.18.12:12:28,까쉬,공약사업 이행방안 발굴 관련 업무추진,5,"23,600",신용카드,시책
67,투자심사 담당 주무관,2022.07.18.12:18:07,커피내림,투자사업심사 관련 업무추진,4,"15,000",신용카드,시책
68,기획재정국장,2022.07.18.12:56:49,마스터빈스커피,도시공간 조정 관련 업무추진,5,"75,000",신용카드,시책
