"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  3월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상 인원수,금액,결제방법,비목
46,편성 총괄 주무관,2022-03-17 19:14:43,저스트텐동성신여대점,제1회 추경 예산 편성 관련 업무추진,6,"62,700",신용카드,시책
47,시민청 건립지원 담당 주무관,2022-03-17 19:18:45,미우,시민청 건립 지연 관련 업무 협의,4,"95,000",신용카드,시책
48,투자심사 담당 주무관,2022-03-17 12:21:30,동선식당,국시비 주요 투자사업 점검 간담회,6,"120,000",신용카드,시책
49,기획재정국장,2022-03-17 15:24:25,꿈꾸는이상   （주）갈,4차 핵심기술 활용 업무혁신 관련 업무 협의,5,"150,000",신용카드,시책
50,기획재정국장,2022-03-17 21:19:59,더하녹（Ｔｈｅ   Ｈａ,공공시설 관리 시스템 구축 추진 관련 업무,6,"180,000",신용카드,시책
51,연구용역 담당 주무관,2022-03-18 12:03:16,비나케이크（Ｂｉｎａ,학술연구용역 심의 관련 업무,5,"23,000",신용카드,시책
52,기획예산과장,2022-03-18 19:31:45,광명수산,동북4구 발전을 위한 새로운 안건 발굴 업무협의,6,"110,000",신용카드,시책
53,회의 담당 주무관,2022-03-21 10:44:32,웰컴카페,구청장 영상회의 관련 업무,4,"2,500",신용카드,시책
54,과제체계 담당 주무관,2022-03-21 12:41:44,만리동커피,중장기 발전계획 최종보고회 관련 업무,3,"17,500",신용카드,시책
55,공공시설 관리 담당 주무관,2022-03-21 12:22:37,김태완의   초밥좋은날,공공시설 관리체계 구축 관련 관계자 회의,5,"38,000",신용카드,시책
56,대외재정 담당 주무관,2022-03-21 12:16:57,코다리양반,재난안전 특별교부세 사업 발굴 업무추진,4,"64,000",신용카드,시책
57,혁신경영지원팀장,2022-03-21 19:52:59,그집밥,소통행정 업무추진,4,"102,000",신용카드,시책
58,과제체계 담당 주무관,2022-03-21 12:39:44,녕화식당,중장기 발전계획 최종보고회 관련 업무,6,"106,000",신용카드,시책
59,업무조정 담당 주무관,2022-03-22 11:51:48,우리할매떡볶이,신규 정책 검토 관련 간담회,4,"18,200",신용카드,시책
60,예산팀장,2022-03-22 12:04:49,폴라니포케   성신여대,제1회 추경 예산 편성 관련 업무추진,5,"23,900",신용카드,시책
61,학술연구용역 담당 주무관,2022-03-22 21:16:35,코젤다크하우스성신여,학술연구용역 관리 관련 업무,3,"51,000",신용카드,시책
62,기획재정국장,2022-03-22 20:05:01,족발야시장,민선7기 주요 사업 추진현황 확인 등 업무,3,"79,500",신용카드,시책
63,기획예산과장,2022-03-23 19:44:49,영석이네,성과관리 체계 개선 업무 협의,6,"8,000",신용카드,시책
64,미래성북팀장,2022-03-23 12:17:05,춘향골남원추어탕성북,공공시설 전산시스템 추진관련 회의,6,"33,000",신용카드,시책
65,기획팀장,2022-03-23 11:43:19,나의장어／디에스국제,동북4구 신규 사업 발굴 관련 업무,3,"52,000",신용카드,시책
66,기획예산과장,2022-03-23 11:09:20,어머니   대성집,구의회 상임위 관련 업무,3,"76,000",신용카드,시책
67,동북4구 담당 주무관,2022-03-24 22:07:40,돌쇠참나무장작구이,동북4구 신규 사업 발굴 관련 업무,3,"64,000",신용카드,시책
68,기획예산과장,2022-03-24 20:06:43,원조복집,우수부서 및 인센티브 확보 시상 관련 업무,2,"84,000",신용카드,시책
69,기획재정국장,2022-03-24 20:30:06,영석이네,2030 중장기발전계획 수립 관련 업무,3,"204,000",신용카드,시책
70,기획예사과장,2022-03-25 11:19:39,커피에반하다（용두Ｋ,구의회 본회의 관련 업무,3,"7,000",신용카드,시책
71,편성 총괄 주무관,2022-03-25 10:21:56,쿠팡（주）,"제1회 추경 의장단 설명회 음료, 다과 구입",5,"52,900",신용카드,시책
72,기획예산과장,2022-03-25 11:18:54,어머니   대성집,구의회 본회의 관련 업무,5,"76,000",신용카드,시책
73,기획팀장,2022-03-28 13:01:42,카페   위로．한모금,우수부서 포상 업무 개선 관련 협의,6,"13,600",신용카드,시책
74,예산성과금 담당 주무관,2022-03-28 18:38:08,우리할매떡볶이,예산성과금 지급 심사 준비 업무추진,3,"17,500",신용카드,시책
75,기획팀장,2022-03-28 11:20:48,본도시락   성신여대점,제3회 미래성북데이 운영 관련 업무,5,"74,900",신용카드,시책
76,기획재정국장,2022-03-28 12:05:02,폴라니포케   성신여대,대외재정 확보 관련 간담회,5,"99,200",신용카드,시책
77,협의회 담당 주무관,2022-03-29 12:04:04,메가엠지씨커피   성북,부구청장 영상회의 관련 업무,5,"10,100",신용카드,시책
78,협의회 담당 주무관,2022-03-29 08:13:26,크림탑커피（ｃｒｅａ,구청장협의회 관련 업무 협의,5,"16,100",신용카드,시책
79,특강 담당 주무관,2022-03-29 19:18:45,노랑통닭,기획예산 실무 특강 관련 업무 협의,5,"44,000",신용카드,시책
80,기획재정국장,2022-03-29 12:36:19,（주）성북동사람들,제1회 추경 의장단 설명회 관련 간담회,5,"89,000",신용카드,시책
81,예산팀장,2022-03-29 18:40:40,섭지코지   마씸,서울시 추경 관련 투자사업 추진 간담회,3,"200,000",신용카드,시책
82,기획팀장,2022-03-30 11:19:52,카페   위로．한모금,각종 외부평가 대응 사항 논의,5,"13,600",신용카드,시책
83,예산팀장,2022-03-30 12:25:23,비나케이크（Ｂｉｎａ,상반기 구 투자심사 사업 관련 간담회,5,"32,000",신용카드,시책
84,신속집행 담당 주무관,2022-03-30 12:22:19,옛날불고기,상반기 신속집행 관련 간담회,5,"56,000",신용카드,시책
85,예산팀장,2022-03-31 12:17:50,운치（ＷＮＣＨ）,국시비 주요 투자사업 점검 간담회,4,"97,000",신용카드,시책
86,신속집행 담당 주무관,2022-03-03 12:12:18,고씨네카레 성신여대점,신속집행 추진 관련 간담회,3,"27,500",제로페이,시책
87,법제 담당 주무관,2022-03-04 12:25:17,서도바지락칼국수,자치법규 정비 관련 업무추진,3,"25,000",제로페이,시책
88,법제 담당 주무관,2022-03-07 11:48:18,"카페 위로, 한모금",조례규칙심의회 개최 관련 업무추진,4,"41,000",제로페이,시책
89,혁신경영지원팀장,2022-03-10 12:00:12,성신초밥,창의행정 업무추진,3,"36,000",제로페이,시책
90,통계 담당 주무관,2022-03-10 12:17:32,"카페 위로, 한모금",주민기록단 운영 관련 업무추진,5,"44,000",제로페이,시책
91,법제통계팀장,2022-03-10 12:12:37,현참치,마을기록화 사업 업무관련 협의,5,"45,000",제로페이,시책
92,신속집행 담당 주무관,2022-03-11 12:06:55,라라면가,신속집행 추진 관련 간담회,3,"28,500",제로페이,시책
93,법제통계팀장,2022-03-11 12:00:30,포앤시드니,마을기록화 사업 업무관련 협의,5,"55,000",제로페이,시책
94,신속집행 담당 주무관,2022-03-16 12:05:54,대원칼국수,상반기 신속집행 관련 간담회,3,"26,000",제로페이,시책
95,법제통계팀장,2022-03-16 11:53:00,오늘김밥,자치법규 정비 관련 업무 추진,5,"55,000",제로페이,시책
96,법제담당,2022-03-17 11:50:22,샌드위치하우스,조례규칙심의회 개최 관련 업무추진,5,"35,000",제로페이,시책
97,기획예산과장,2022-03-17 12:11:02,녕화식당,창의행정 업무추진,4,"37,000",제로페이,시책
98,법제통계팀장,2022-03-18 11:49:03,안식당,자치법규 정비 관련 업무 추진,4,"42,000",제로페이,시책
99,법제통계팀장,2022-03-22 12:17:32,제주고깃집,자치법규 정비 관련 업무 추진,5,"32,000",제로페이,시책
100,법제담당,2022-03-22 12:28:16,크림탑커피,조례규칙심의회 개최 관련 업무추진,5,"40,000",제로페이,시책
101,법제통계팀장,2022-03-23 12:19:59,서도바지락칼국수,자치법규 정비 관련 업무 추진,4,"26,000",제로페이,시책
102,법제담당,2022-03-23 12:32:32,카페마노아 CAFE MANOA,조례규칙심의회 개최 관련 업무추진,4,"35,000",제로페이,시책
103,예산팀장,2022-03-24 12:12:43,72420 성신여대점,지역현안 특별교부세 사업 발굴 업무추진,5,"55,500",제로페이,시책
104,혁신경영지원팀장,2022-03-25 12:11:29,옛날불고기,소통행정 업무추진,3,"37,000",제로페이,시책
105,과제체계 담당 주무관,2022-03-25 11:57:58,성신초밥,중장기발전계획 활용 과제 연계 관련 업무 협의,5,"68,000",제로페이,시책
106,통계 담당 주무관,2022-03-29 11:32:11,뜸들이다,사업체조사 관련 업무추진,3,"21,200",제로페이,시책
107,투자심사 담당 주무관,2022-03-29 12:21:15,언앨리셰프,투자사업심사 준비 관련 업무추진,3,"30,300",제로페이,시책
108,법제통계팀장,2022-03-30 11:53:26,크림탑커피,사업체조사 관련 업무추진,5,"45,000",제로페이,시책
