"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  1월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상 인원수,금액,결제방법,비목
1,기획팀장,2022-01-04 11:56:28,이디야,구청장 지시사항 관련 업무,4,"21,000",신용카드,시책
2,자치분권 담당 주무관,2022-01-04 21:00:26,이자카,자치분권어워드 관련 업무,4,"34,000",신용카드,시책
3,기획재정국장,2022-01-04 19:38:26,영석이네,공공시설 관리 시스템 구축 관련 업무,4,"120,000",신용카드,시책
4,기획예산과장,2022-01-05 12:24:29,카페   위로．한모금,법률자문업무 관련 업무추진,3,"35,000",신용카드,시책
5,기획예산과장,2022-01-05 12:16:48,해송,법률자문업무 관련 업무추진,3,"48,000",신용카드,시책
6,기획예산과장,2022-01-05 21:06:01,보문골,소통행정 관련 업무추진,4,"81,000",신용카드,시책
7,기획재정국장,2022-01-06 12:06:02,카페   위로．한모금,사업체 조사 관련 조사원 채용 관련 업무,4,"9,900",신용카드,시책
8,회의 담당 주무관,2022-01-06 08:11:17,이디야,구청장협의회 영상회의 관련 업무,4,"29,600",신용카드,시책
9,기획재정국장,2022-01-06 12:04:49,（주）   이태리총각,사업체 조사 관련 조사원 채용 관련 업무,4,"96,000",신용카드,시책
10,기획팀장,2022-01-07 12:20:10,성신초밥,우수과제 발굴 관련 업무,4,"80,000",신용카드,시책
11,기획예산과장,2022-01-07 19:31:36,영석이네,민선7기 주요성과 보고호 ㅣ관련 업무,4,"120,000",신용카드,시책
12,기획팀장,2022-01-10 11:58:22,메가엠지씨커피   성북,2022 과제체계 관련 업무,3,"7,700",신용카드,시책
13,법제통계팀장,2022-01-10 18:48:55,신요리왕,무료법률상담 관련 업무추진,3,"39,500",신용카드,시책
14,동북4구 담당 주무관,2022-01-10 20:46:02,카르페디엠,동북4구 코로나 공동 대응 관련 업무 추진,4,"41,900",신용카드,시책
15,기획예산과장,2022-01-10 20:05:04,보문골,2022 성과관리 개선 관련 업무,4,"71,000",신용카드,시책
16,기획재정국장,2022-01-10 19:40:07,불타는   양대창,한예종 이전 관련 업무,4,"110,000",신용카드,시책
17,법제통계팀장,2022-01-11 11:50:07,맘스터치성신여대점,사업체 조사 관련 업무추진,3,"18,500",신용카드,시책
18,법제통계팀장,2022-01-11 12:37:23,카페마노아   ＣＡＦＥ,사업체 조사 관련 업무추진,3,"40,000",신용카드,시책
19,기획예산과장,2022-01-11 20:45:52,황해옥,미래성북과제 실행계획 보고 준비 업무,4,"68,000",신용카드,시책
20,대외재정 담당 주무관,2022-01-11 11:18:34,네이버파이낸셜（주）,대외재정 확보 관련 담당자 간담회(3회),20,"121,000",신용카드,시책
21,기획팀장,2022-01-12 14:39:40,파도의   숲,중장기 발전계획 용역 관련 간담회,4,"16,500",신용카드,시책
22,외부평가 담당 주무관,2022-01-12 12:02:18,할리스（ＨＯＬＬＹＳ,"외부평가, 공모 총괄 관련 업무",4,"18,000",신용카드,시책
23,기획팀장,2022-01-12 14:37:10,춘향골남원추어탕성북,중장기 발전계획 용역 관련 간담회,4,"44,000",신용카드,시책
24,기획팀장,2022-01-13 12:17:10,카페   위로．한모금,비대면 협업 활성화 추진 업무,3,"7,600",신용카드,시책
25,예산팀장,2022-01-13 12:13:22,다라온,주요사업 추진계획 보고회 관련 간담회,4,"13,500",신용카드,시책
26,기획팀장,2022-01-13 12:07:47,성신초밥,비대면 협업 활성화 추진 업무,3,"54,000",신용카드,시책
27,공공시설 담당 주무관,2022-01-13 18:44:48,혜화면옥,공공시설 관리체계 구축 관련 업무관계자 간담회,3,"70,000",신용카드,시책
28,대외재정 담당 주무관,2022-01-13 13:38:09,주식회사   압구정공주,대외재정 확보 관련 담당자 간담회(3회),20,"97,000",신용카드,시책
29,기회재정국장,2022-01-13 20:41:29,보문골,2022 사회적경제 활성화 관련 업무 협의,4,"116,000",신용카드,시책
30,회의 담당 주무관,2022-01-14 09:42:16,이디야,구청장 영상회의 관련 업무,2,"3,200",신용카드,시책
31,혁신경영지원팀장,2022-01-14 12:07:11,김태완의   초밥좋은날,소통행정 관련 업무추진,3,"34,000",신용카드,시책
32,총괄 담당 주무관,2022-01-14 11:52:41,옛날불고기,주요 이월사업 추진 관련 업무추진,4,"42,000",신용카드,시책
33,기획예산과장,2022-01-14 20:39:24,영석이네,2022 과제체계 관련 업무,4,"104,000",신용카드,시책
34,기금 담당 주무관,2022-01-17 12:10:33,카페   위로．한모금,기금관리 계획 수립 관련 업무추진,3,"10,500",신용카드,시책
35,동북4구 담당 주무관,2022-01-17 20:53:19,돌쇠참나무장작구이,동북4구 포스트코로나 대비 주요정책 발굴 등 업무,3,"19,000",신용카드,시책
36,창의 담당 주무관,2022-01-17 20:46:57,뉴멕시칸,창의행정 관련 업무추진,3,"30,000",신용카드,시책
37,기획예산과장,2022-01-17 19:38:24,두메산골,과제체계 및 성과평가 관련 업무,4,"62,000",신용카드,시책
38,기획재정국장,2022-01-17 12:27:24,（주）한스갤러리앤코,한예종 이전 관련 업무 협의,5,"143,000",신용카드,시책
39,예산팀장,2022-01-17 19:43:46,더하녹（Ｔｈｅ   Ｈａ,대외재정 확보 관련 업무추진,6,"150,000",신용카드,시책
40,기획재정국장,2022-01-17 20:36:15,홍어천국,공공시설 관리 시스템 구축 관련 업무,6,"180,000",신용카드,시책
41,기획팀장,2022-01-18 09:43:20,이디야,실행과제 보고회 관련 업무 추진,6,"19,700",신용카드,시책
42,보조금 담당 주무관,2022-01-18 19:35:26,이웃집   샤브,예산매뉴얼 작성 관련 업무추진,3,"23,800",신용카드,시책
43,예산팀장,2022-01-18 12:10:37,하루（ＨＡＬＵ）,주요사업 추진계획 보고회 관련 간담회,6,"27,700",신용카드,시책
44,미래성북팀장,2022-01-18 19:14:05,불타는   양대창,공공시설 관리체계 구축 관련 업무협의,3,"73,000",신용카드,시책
45,기획예산과장,2022-01-18 20:16:20,광명수산,국시비 주요사업 추진 관련 간담회,5,"97,000",신용카드,시책
46,편성 총괄 주무관,2022-01-19 16:35:57,파리바게뜨보문역점,2022 주요사업 추진계획 보고회 관련 업무추진,6,"14,000",신용카드,시책
47,편성 총괄 주무관,2022-01-19 16:49:44,파리바게뜨성신여대점,2022 주요사업 추진계획 보고회 관련 업무추진,6,"14,100",신용카드,시책
48,기획팀장,2022-01-19 09:37:13,이디야,실행과제 보고회 관련 업무 추진,6,"20,000",신용카드,시책
49,자치분권 담당 주무관,2022-01-19 19:45:59,신의주찹쌀순대,자치분권어워드 관련 업무 추진,3,"34,000",신용카드,시책
50,기획팀장,2022-01-19 11:34:11,맘스터치성신여대점,우수행정 인센티브 관련 업무,5,"39,100",신용카드,시책
51,대외재정 담당 주무관,2022-01-19 12:51:25,（주）   이태리총각,재난안전특별교부세 집행 관련 간담회,3,"59,000",신용카드,시책
52,기획예산과장,2022-01-19 21:01:30,귀한족발／주식회사,실행과제 지시사항 관련 업무,6,"149,000",신용카드,시책
53,동북4구 담당 주무관,2022-01-20 11:28:53,카페   위로．한모금,동북4구 포스트코로나 대비 주요정책 발굴 등 업무,4,"12,700",신용카드,시책
54,동북4구 담당 주무관,2022-01-20 11:23:33,김밥연구소   손끝,동북4구 포스트코로나 대비 주요정책 발굴 등 업무,4,"34,000",신용카드,시책
55,기획팀장,2022-01-20 13:37:53,이디야,실행과제 보고회 관련 업무 추진,6,"56,300",신용카드,시책
56,기획예산과장,2022-01-20 20:26:39,그집밥,2022 주요업무계획 관련 업무 협의,4,"88,000",신용카드,시책
57,편성 총괄 주무관,2022-01-21 08:33:44,이디야,2022 주요사업 추진계획 보고회 관련 업무추진,6,"24,500",신용카드,시책
