"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  8월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상 인원수,금액,결제방법,비목
1,대외평가 담당 주무관,2022.08.01.11:34:24,달리는커피,대외평가자료 제출 관련 업무추진,5,"43,900",신용카드,시책
2,통계담당 주무관,2022.08.01.11:46:04,카페어거스티,통계연보 제작 관련 업무추진,3,"7,500",제로페이,시책
3,기획예산과장,2022.08.01.12:15:34,전통평양만두,성과관리 시스템 구축 관련 업무추진,6,"101,000",신용카드,시책
4,기획예산과장,2022.08.01.12:16:49,소일,성과관리 시스템 구축 관련 업무추진,6,"35,100",신용카드,시책
5,예산팀장,2022.08.01.12:17:00,카페진,지방재정영향평과 관련 업무추진,5,"25,500",제로페이,시책
6,법제통계팀장,2022.08.02.12:12:45,낙지사랑,통계연보 제작 관련 업무추진,7,"62,000",제로페이,시책
7,통계담당 주무관,2022.08.02.12:16:03,커피로드,통계연보 제작 관련 업무추진,4,"11,400",제로페이,시책
8,기획예산과장,2022.08.02.12:16:55,안식당,기금 성과분석 관련 업무추진,7,"140,000",신용카드,시책
9,혁신경영지원팀장,2022.08.02.12:19:29,신의주찹쌀순대,공재단 예산편성지침 관련 업무추진,3,"27,000",제로페이,시책
10,기획예산과장,2022.08.02.12:21:34,카페뮬,길음7단지 중투심사 관련 업무추진,7,"27,800",신용카드,시책
11,대외재정 담당 주무관,2022.08.02.15:28:58,네이버파이낸셜,대외재정 확보 관련 업무추진,30,"164,400",신용카드,시책
12,기금 담당 주무관,2022.08.02.18:40:15,달리는커피,제2차 추경 편성 관련 업무추진,4,"52,500",신용카드,시책
13,예산팀장,2022.08.03.12:07:33,성신초밥,제2차 추경 편성 관련 업무추진,4,"49,000",신용카드,시책
14,예산팀장,2022.08.03.12:11:18,어테이블,지방재정투사심사 관련 업무추진,4,"18,600",신용카드,시책
15,기획예산과장,2022.08.03.12:14:56,밀밭손칼국수,구정인식조사 관련 업무추진,8,"98,000",제로페이,시책
16,과제 관리 담당 주무관,2022.08.03.12:19:53,비나케이크,과제체계 개선 및 성과관리 관련 업무추진,5,"41,500",신용카드,시책
17,기획팀장,2022.08.04.11:46:59,혜화면옥,구정 주요업무 체계개선 관련 업무추진,5,"74,000",신용카드,시책
18,기획예산과장,2022.08.04.12:24:11,금왕,상반기 과제별 성과평가 관련 업무추진,7,"92,500",신용카드,시책
19,기획예산과장,2022.08.04.12:28:33,우주제빵소,상반기 과제별 성과평가 관련 업무추진,7,"49,800",신용카드,시책
20,예산 총괄 담당 주무관,2022.08.04.12:54:28,꿈꾸는 이상,서울시 본예산 시비 사업 관련 업무추진,8,"192,000",신용카드,시책
21,보조금 담당 주무관,2022.08.04.13:34:48,카페위로한모금,지방보조금 관련 업무추진,12,"90,000",신용카드,시책
