"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  12월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상인원수,금액,결제방법,비목
15,대외평가 담당 주무관,"2022-12-07
11:35:50",카페럭키,구정 주요사업 대외평가 관련 업무추진,4,"15,800",신용카드,시책
16,기획예산과장,"2022-12-07
12:15:50",마늘과올리브,통계조사 지원 관련 업무추진,7,"79,000",제로페이,시책
17,기획예산과장,"2022-12-07
12:21:41",까쉬,2022 주요업무 추진현황 점검 관련 업무추진,5,"36,500",신용카드,시책
18,이월 담당 주무관,"2022-12-07
12:32:59",만복식당,이월 관련 업무추진,4,"57,000",신용카드,시책
19,법제통계팀장,"2022-12-07
15:15:55",웰컴카페,통계연보 제작 관련 업무추진,5,"30,130",제로페이,시책
20,기획재정국장,"2022-12-07
21:16:53",이상갈비,지방재정제도 개선 관련 업무추진,18,"499,000",신용카드,시책
21,미래성북 담당 주무관,"2022-12-08
10:04:44",오블롱,공공시설 조성방향 협의 관련 업무추진,3,"7,000",신용카드,시책
22,예산팀장,"2022-12-08
11:05:25",모던양갱집,시비보조금 확보 관련 업무추진,25,"482,600",신용카드,시책
23,기획팀장,"2022-12-08
11:32:44",일흥,2023 조직개편 관련 신규사업 발굴 관련 업무추진,2,"15,000",신용카드,시책
24,법제통계팀장,"2022-12-08
12:05:58",옛날불고기,구정인식조사 관련 업무추진,3,"27,000",제로페이,시책
25,예산 변경 담당 주무관,"2022-12-08
12:16:21",라라면가,예산 변경사용 관련 업무추진,4,"54,500",제로페이,시책
26,재단 담당 주무관,"2022-12-08
14:33:38",카페위로한모금,문화재단 조직개편 및 인사규정 개정 등 업무추진,5,"17,300",제로페이,시책
27,예산팀장,"2022-12-09
10:17:29",이오육,2023년 본예산 편성 관련 업무추진,3,"25,500",신용카드,시책
28,미래성북팀장,"2022-12-09
12:20:22",라운드테이블,도시공간 조정 관련 업무추진,4,"16,500",신용카드,시책
29,중기 담당 주무관,"2022-12-09
12:33:24",스펙스,2023~2027 중기지방재정계획 수립 관련 업무추진,4,"19,500",신용카드,시책
30,통계담당주무관,"2022-12-09
14:26:14",제주고깃집,공공데이터 플랫폼 운영 관련 업무추진,6,"70,000",제로페이,시책
31,통계담당주무관,"2022-12-09
14:35:07",마노아,구정인식조사 관련 업무추진,5,"21,950",제로페이,시책
32,대외평가 담당 주무관,"2022-12-09
16:27:31",빌리엔젤,구정 주요사업 대외평가 관련 업무추진,4,"31,000",신용카드,시책
33,평가 담당 주무관,"2022-12-12
12:01:21",명물부대찌게,지자체 합동평가 관련 업무추진,6,"73,260",신용카드,시책
34,미래성북 담당 주무관,"2022-12-12
12:06:57",투썸플레이스 성신여대점,신규정책 검토 관련 업무추진,4,"18,000",신용카드,시책
35,예산팀장,"2022-12-13
15:33:17",비나케이크,시비보조금 확보 관련 업무추진,15,"141,000",신용카드,시책
36,법제통계팀장,"2022-12-12
15:44:36",포앤시드니,법률자문업무 관련 업무추진,6,"58,000",제로페이,시책
37,법제 담당 주무관,"2022-12-12
15:53:05",낙지사랑,소송사무 관련 업무추진,5,"49,000",제로페이,시책
38,법제 담당 주무관,"2022-12-12
15:56:07",크림탑커피,법률자문업무 관련 업무추진,3,"10,140",제로페이,시책
39,기획재정국장,"2022-12-13
12:39:47",마늘과 올리브,구의회 2차 정례회 준비 관련 업무추진,8,"178,000",신용카드,기관
40,미래성북 담당 주무관,"2022-12-13
12:45:36",구월,가용부지 활용 유관부서 협의 관련 업무추진,3,"9,000",신용카드,시책
41,기획팀장,"2022-12-14
09:00:20",나무와 벽돌,구청장 협의회 관련 업무추진,3,"29,000",신용카드,시책
42,기획재정국장,"2022-12-14
11:57:22",동우정,2023 조직개편 관련 신규사업 발굴 관련 업무추진,5,"80,000",신용카드,시책
43,기획재정국장,"2022-12-14
11:59:07",와플앨리,2023 조직개편 관련 신규사업 발굴 관련 업무추진,5,"33,000",신용카드,시책
44,법제 담당 주무관,"2022-12-14
17:04:44",크림탑커피,조례규칙심의 관련 업무추진,3,"10,600",제로페이,시책
45,대외재정 담당 주무관,"2022-12-14
16:22:20",비에스유통,대외재정 확보 관련 업무추진,10,"106,550",신용카드,시책
46,법제통계팀장,"2022-12-14
12:09:33",현참치,자치법규 정비 관련 업무추진,5,"54,000",제로페이,시책
47,법제 담당 주무관,"2022-12-14
17:08:54",성북순두부,자치법규 정비 관련 업무추진,7,"82,000",제로페이,시책
48,기획예산과장,"2022-12-14
19:51:19",털보곱창,특별교부세 확보 관련 업무추진,8,"158,000",신용카드,시책
49,법제통계팀장,"2022-12-15
12:02:59",안식당,마을기록화 사업 관련 업무추진,4,"45,000",제로페이,시책
50,공재단 담당 주무관,"2022-12-15
12:20:40",생고기촌,경영혁신 및 조직개편 등 업무추진,9,"234,600",제로페이,시책
51,마을기록 담당 주무관,"2022-12-15
12:37:53",위로한모금,주민기록단 운영 관련 업무추진,5,"22,900",제로페이,시책
52,법제통계팀장,"2022-12-16
11:23:03",제주고깃집,주민기록단 운영 관련 업무추진,10,"184,000",제로페이,시책
53,마을기록 담당 주무관,"2022-12-16
11:28:34",현참치,마을기록화 사업 관련 업무추진,6,"71,000",제로페이,시책
54,기획예산과장,"2022-12-16
12:29:39",커피로드,2023~2027 중기지방재정계획 수립 관련 업무추진,5,"13,000",신용카드,시책
55,기획재정국장,"2022-12-19
12:05:53",생고기촌,대외재정 확보 관련 업무추진,15,"350,000",신용카드,시책
56,미래성북팀장,"2022-12-19
12:10:00",피스바이트,도시공간 조정 관련 업무추진,4,"17,400",신용카드,시책
57,중기 담당 주무관,"2022-12-19
12:38:58",성북동빵공장,2023~2027 중기지방재정계획 수립 관련 업무추진,5,"39,200",신용카드,시책
58,대외재정담당,"2022-12-19
12:31:19",성북동사람들,특별조정교부금 확보 관련 업무추진,5,"83,000",신용카드,시책
59,기획예산과장,"2022-12-20
12:05:33",혜화면옥,대외재정 확보 관련 업무추진,22,"322,000",신용카드,시책
60,기획예산과장,"2022-12-21
15:05:59",꿈꾸는 이상 주식회사,대외재정 확보 관련 업무추진,15,"236,000",신용카드,시책
61,미래성북 담당 주무관,"2022-12-22
08:33:24",오블롱,우수 공공시설 발굴 관련 업무추진,2,"6,000",신용카드,시책
62,중기 담당 주무관,"2022-12-22
12:05:20",라라면가,2023~2027 중기지방재정계획 수립 관련 업무추진,4,"54,500",신용카드,시책
63,기획예산과장,"2022-12-22
12:08:26",달달커피,2023 조직개편 관련 신규사업 발굴 관련 업무추진,4,"26,100",신용카드,시책
64,예산팀장,"2022-12-22
13:33:40",소일,2023~2027 중기지방재정계획 수립 관련 업무추진,6,"30,360",신용카드,시책
65,미래성북 담당 주무관,"2022-12-23
10:08:55",오블롱,공공시설 조성방향 협의 관련 업무추진,2,"3,500",신용카드,시책
66,기획재정국장,"2022-12-23
12:52:50",소마,시비보조금 확보 관련 업무추진,6,"33,500",신용카드,시책
67,동북4구 담당 주무관,"2022-12-23
22:02:41",인생전집,동북4구 행정협의회 운영 관련 사무용품 구입,8,"88,000",신용카드,시책
68,예산팀장,"2022-12-26
12:02:08",성신초밥,조직개편에 따른 이체 관련 업무추진,3,"39,000",신용카드,시책
69,미래성북 담당 주무관,"2022-12-26
12:14:43",루틴,공공시설 조성방향 협의 관련 업무추진,2,"2,000",신용카드,시책
70,예산팀장,"2022-12-26
12:15:37",로스디아스,대외재정 확보 관련 업무추진,7,"60,000",신용카드,시책
71,총괄 담당,"2022-12-27
09:18:36",한솔상사,2023년 본예산 편성 관련 업무추진,6,"90,000",신용카드,시책
72,동북4구 담당 주무관,"2022-12-27
11:56:14",낙지사랑,동북4구 협의회 운여을 위한 업무추진,6,"41,200",신용카드,시책
73,대외재정담당,"2022-12-27
12:02:21",카오산,특별교부세 관련 업무추진,5,"55,000",신용카드,시책
74,기금담당,"2022-12-27
14:24:12",오늘김밥,기금 운용 성과 분석 관련 업무추진,4,"25,120",신용카드,시책
75,미래성북 담당 주무관,"2022-12-27
15:17:22",파리바게뜨,가용부지 활용 유관부서 협의 관련 업무추진,4,"10,450",신용카드,시책
76,예산팀장,"2022-12-28
11:45:56",행복은간장밥,대외재정 확보 관련 업무추진,3,"30,100",신용카드,시책
77,기획재정국장,"2022-12-29
11:26:16",명동칼국수,국 주요업무추진현황 점검 관련 업무추진,5,"60,000",신용카드,기관
78,기획예산과장,"2022-12-29
11:30:04",웰컴카페,주요업무계획 수립 관련 업무추진비,10,"73,590",신용카드,시책
79,기획재정국장,"2022-12-29
18:18:06",신의주순대,국 재정집행현황 점검 관련 업무추진,5,"45,300",신용카드,기관
80,예산팀장,"2022-12-29
19:57:18",바닷속으로,시비보조금 확보 관련 업무추진,16,"436,000",신용카드,시책
81,과제관리 담당 주무관,"2022-12-30
11:24:33",성북손두부,하반기 과제 및 조직평가 관련 업무추진,5,"61,440",신용카드,시책
82,대외재정담당자,"2022-12-30
12:56:09",자미원,대외재정 확보 관련 업무추진,6,"100,000",신용카드,시책
83,예산팀장,"2022-12-30
13:34:35",웰컴카페,특별조정교부금 관련 업무추진,8,"49,850",신용카드,시책
계,,,,,,"6,977,140",,
