"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  10월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상인원수,금액,결제방법,비목
41,기획예산과장,2022.10.12.12:26:32,까쉬,2023 주요업무계획 보고회 개최 관련 업무추진,4,"15,440",신용카드,시책
42,대외재정 담당 주무관,2022.10.12.20:02:23,미우,재난안전 특별교부세 관련 업무추진,7,"135,000",신용카드,시책
43,기획재정국장,2022.10.12.21:43:54,신생,대외재정 확보 방안 모색 관련 업무추진,5,"120,000",신용카드,시책
44,기획 담당 주무관,2022.10.13.11:54:02,마늘떡볶이,2023 주요업무계획 수립 관련 업무추진,6,"37,500",제로페이,시책
45,기획 담당 주무관,2022.10.13.11:56:30,웰컴카페,2023 주요업무계획 수립 관련 업무추진,6,"32,800",제로페이,시책
46,재단 담당 주무관,2022.10.13.11:58:34,키작은 아저씨,공재단 예산안 관련 업무추진,4,"39,000",신용카드,시책
47,기획팀장,2022.10.13.12:16:07,동방,2023 신규사업 발굴 관련 업무추진,5,"80,000",신용카드,시책
48,미래성북 담당 주무관,2022.10.13.12:25:04,동방,공공시설 조성방향 협의 관련 업무추진,4,"32,500",신용카드,시책
49,예산 변경 담당 주무관,2022.10.13.19:11:43,신전떡복이,예산 변경 및 전용 관련 업무추진,6,"39,100",신용카드,시책
50,기획예산과장,2022.10.14.11:44:22,밥상의 힘,국시비 확보 관련 업무추진,6,"91,000",제로페이,시책
51,미래성북팀장,2022.10.14.12:04:24,왕쓰브,도시공간 조정 관련 업무추진,4,"36,000",신용카드,시책
52,기획재정국장,2022.10.14.12:04:49,행복한밥상,대외재정 확보 관련 업무추진,6,"60,000",제로페이,시책
53,미래성북팀장,2022.10.14.12:05:38,파도의숲,도시공간 조정 관련 업무추진,4,"12,000",신용카드,시책
54,예산팀장,2022.10.17.09:11:15,네이버파이낸셜,재난안전 특별교부세 수요조사 업무추진,11,"108,100",신용카드,시책
55,기획예산과장,2022.10.17.11:59:26,의정부부대찌게,2023 미래성북과제 보고회 개최 관련 업무추진,7,"88,000",신용카드,시책
56,기획예산과장,2022.10.17.12:03:14,달달커피,2023 미래성북과제 보고회 개최 관련 업무추진,7,"26,500",신용카드,시책
57,미래성북팀장,2022.10.17.12:03:36,신신식당,가용부지 활용 유관부서 협의 관련 업무추진,4,"36,000",신용카드,시책
58,미래성북팀장,2022.10.17.12:06:06,구월,가용부지 활용 유관부서 협의 관련 업무추진,4,"18,000",신용카드,시책
59,세입담당 주무관,2022.10.17.12:30:43,운치,일반조정교부금 관련 업무추진,4,"60,000",신용카드,시책
60,중기지방재정계획 담당 주무관,2022.10.17.12:36:52,구월,2023~2027 중기지방재정계획 수립 관련 업무추진,3,"9,300",제로페이,시책
61,대외재정 담당 주무관,2022.10.17.19:07:16,비에스유통,대외재정확보 관련 업무추진,15,"334,100",신용카드,시책
62,기획재정국장,2022.10.18.12:09:54,손국수집,2023 신규사업 발굴 관련 업무추진,5,"65,000",신용카드,시책
63,예산팀장,2022.10.18.12:11:17,이태리총각,특별교부세 확보 관련 업무추진,7,"124,000",신용카드,시책
64,기획재정국장,2022.10.18.12:14:45,오보록,2023 신규사업 발굴 관련 업무추진,5,"22,300",신용카드,시책
65,공약 담당 주무관,2022.10.18.13:00:28,안식당,공약사업 이행 방안 발굴 관련 업무추진,3,"60,000",신용카드,시책
66,재단 담당 주무관,2022.10.18.13:16:10,웰컴카페,재단 예산조정 등 업무추진,2,"8,000",제로페이,시책
67,재단 담당 주무관,2022.10.18.14:56:41,카페엘리,재단 예산 및 조직개편 관련 업무추진,8,"79,800",제로페이,시책
68,중기지방재정계획 담당 주무관,2022.10.18.19:23:22,달리는커피,2023~2027 중기지방재정계획 수립 관련 업무추진,4,"28,900",신용카드,시책
69,기획팀장,2022.10.19.11:11:21,야미가,2023 과제관리 체계 구축 관련 업무추진,5,"34,800",신용카드,시책
70,기획예산과장,2022.10.19.12:17:58,동우정,동북4구 협의회 안건 논의 관련 업무추진,5,"62,000",신용카드,시책
71,기획예산과장,2022.10.19.12:19:09,와플앨리,동북4구 협의회 안건 논의 관련 업무추진,5,"21,600",신용카드,시책
72,세입담당 주무관,2022.10.19.12:20:28,동궁찜닭,일반조정교부금 관련 업무추진,3,"34,000",신용카드,시책
73,통계담당 주무관,2022.10.19.14:04:10,파도의 숲,공공데이터 플랫폼 운영 관련 업무추진,6,"56,800",제로페이,시책
74,예산팀장,2022.10.19.19:32:12,호우양꼬치,특별교부세 대상 사업 발굴 관련 업무추진,8,"139,000",신용카드,시책
75,예산팀장,2022.10.20.12:00:36,행복한 밥상,일반조정교부금 관련 업무추진,8,"130,000",신용카드,시책
76,재단 담당 주무관,2022.10.20.12:12:44,옛날불고기,재단 예산조정 등 업무추진,4,"44,000",제로페이,시책
77,기획재정국장,2022.10.20.12:24:56,강원축산,특별교부세 대상 사업 발굴 관련 업무추진,8,"190,000",신용카드,시책
78,기획재정국장,2022.10.20.12:40:41,포스트빈컴퍼니,특별교부세 대상 사업 발굴 관련 업무추진,8,"22,100",신용카드,시책
79,예산팀장,2022.10.20.19:36:51,굽네치킨,2023~2027 중기지방재정계획 수립 관련 업무추진,6,"65,900",신용카드,시책
80,세입담당 주무관,2022.10.20.20:01:59,광명수산,2023년 본예산 세입 관련 업무추진,6,"103,000",제로페이,시책
81,대외재정 담당 주무관,2022.10.21.12:15:07,조비스그릴,특별조정교부금 관련 업무추진,7,"116,000",신용카드,시책
82,기획예산과장,2022.10.21.12:19:23,장어세상,서울시비 확보방안 논의 관련 업무추진,14,"333,000",신용카드,시책
83,기획팀장,2022.10.21.12:24:01,이태리총각,동북4구 협의회 개최 관련 업무추진,5,"88,000",신용카드,시책
84,예산팀장,2022.10.21.12:24:21,수연산방,2023~2027 중기지방재정계획 수립 관련 업무추진,7,"94,500",신용카드,시책
85,기획재정국장,2022.10.21.20:52:14,오븐마루,특별조정교부금 대상 사업 발굴 관련 업무추진,10,"158,000",신용카드,시책
86,기획팀장,2022.10.24.11:47:15,서브웨이,2023 과제관리 체계 구축 관련 업무추진,5,"49,100",신용카드,시책
87,예산팀장,2022.10.24.12:01:09,만복에프앤비,명시이월 사업 관련 업무추진,4,"34,000",제로페이,시책
88,중기 담당 주무관,2022.10.24.12:05:04,제순식당,2023~2027 중기지방재정계획 수립 관련 업무추진,4,"38,000",신용카드,시책
89,재단 담당 주무관,2022.10.24.12:14:35,언앨리셰프,재단 혁신계획 등 업무추진,5,"47,300",제로페이,시책
90,기획예산과장,2022.10.24.12:17:49,삼홍,동북4구 협의회 개최 관련 업무추진,4,"61,000",신용카드,시책
91,기획재정국장,2022.10.24.12:19:52,마늘과 올리브,서을시비 확보방안 논의 관련 업무추진,4,"65,000",신용카드,시책
92,미래성북 담당 주무관,2022.10.24.12:23:42,스타벅스,공공시설 조성방향 협의 관련 업무추진,4,"18,000",신용카드,시책
93,기획예산과장,2022.10.24.12:25:40,라브리사커피,동북4구 협의회 개최 관련 업무추진,4,"12,000",신용카드,시책
94,기금 담당 주무관,2022.10.24.19:20:32,할매숯불닭갈비,2023년 기금운영계획 관련 업무추진,4,"65,000",제로페이,시책
95,세입 담당 주무관,2022.10.24.19:33:30,비에스유통,일반조정교부금 관련 업무추진,18,"180,590",신용카드,시책
96,기획예산과장,2022.10.24.20:15:53,삼홍,특별조정교부금 대상 사업 발굴 관련 업무추진,12,"258,000",신용카드,시책
97,예산팀장,2022.10.25.12:19:00,동선식당,대외재정 확보 관련 업무추진,9,"190,000",제로페이,시책
98,재단 담당 주무관,2022.10.25.12:27:53,담장샤브,총 인건비 관련 업무추진,4,"57,600",신용카드,시책
99,보조금 담당 주무관,2022.10.25.18:59:39,달리는커피,보조금 관리위원회 개최 관련 업무추진,5,"34,300",신용카드,시책
100,기획재정국장,2022.10.26.,경조사비,경조사비,1,"50,000",현금,기관
101,기획팀장,2022.10.26.11:25:43,요리왕,주요업무계획 추진사항 확인 및 개선 관련 업무추진,4,"30,000",신용카드,시책
102,기획재정국장,2022.10.26.12:12:05,마늘과 올리브,국시비 보조율 제도개선 관련 업무추진,5,"98,000",신용카드,시책
103,기회재정국장,2022.10.26.12:17:40,까쉬,국시비 보조율 제도개선 관련 업무추진,5,"26,720",신용카드,시책
104,미래성북 담당 주무관,2022.10.26.12:21:20,처키커피,우수 공공시설 발굴 관련 업무추진,3,"9,000",신용카드,시책
105,법제통계팀장,2022.10.26.16:28:08,크림탑커피,마을기록화 사업 관련 업무추진,6,"54,000",제로페이,시책
106,마을기록 담당 주무관,2022.10.26.16:33:29,제주고깃집,주민기록단 운영 관련 업무추진,7,"78,000",제로페이,시책
107,대외재정 담당 주무관,2022.10.26.19:44:05,미우,특별조정교부금 관련 업무추진,8,"164,000",신용카드,시책
108,재단 담당 주무관,2022.10.26.20:44:19,대파곱창,지방공공기관 혁신계획 등 업무추진,11,"279,000",신용카드,시책
109,기획예산과장,2022.10.27.11:19:47,하동관,특별교부세 확보 관련 업무추진,10,"270,000",신용카드,시책
110,기획예산과장,2022.10.27.11:51:12,폴바셋,특별교부세 확보 관련 업무추진,10,"89,200",신용카드,시책
111,세입 담당 주무관,2022.10.27.12:05:34,키작은 아저씨,일반조정교부금 관련 업무추진,8,"130,000",신용카드,시책
112,기획 담당 주무관,2022.10.27.12:39:43,손국수집,구정 주요시책사업 점검 관련 업무추진,3,"55,000",신용카드,시책
113,기획 담당 주무관,2022.10.27.12:40:42,소마,구정 주요시책사업 점검 관련 업무추진,3,"16,000",신용카드,시책
114,미래성북 담당 주무관,2022.10.27.18:38:32,추억의 옛날 떡볶이,신규정책 검토 관련 업무추진,4,"12,900",신용카드,시책
115,예산팀장,2022.10.27.18:40:40,신전떡복이,2023 본예산 편성 관련 업무추진,6,"51,200",신용카드,시책
116,기획재정국장,2022.10.27.20:13:00,삼미대포,국시비 등 대외재정 확보 관련 업무추진,8,"161,300",신용카드,시책
117,기획재정국장,2022.10.27.22:15:48,브롱스,국시비 등 대외재정 확보 관련 업무추진,8,"85,800",신용카드,시책
118,재단 담당 주무관,2022.10.28.11:33:50,공푸,재단 복리후생점검 등 업무추진,5,"73,000",제로페이,시책
119,예산팀장,2022.10.28.12:06:03,행복한 밥상,대외재정 확보 관련 업무추진,6,"90,000",신용카드,시책
120,기획예산과장,2022.10.28.12:19:32,레터투,미래성북데이 운영 관련 업무추진,3,"10,500",신용카드,시책
121,미래성북 담당 주무관,2022.10.28.12:23:18,마늘과 올리브,신규정책 검토 관련 업무추진,4,"37,500",신용카드,시책
122,기획예산과장,2022.10.28.13:29:10,성북동면옥,특별조정교부금 대상 사업 발굴 관련 업무추진,4,"78,000",신용카드,시책
123,법제통계팀장,2022.10.28.15:21:16,도쿄커틀릿,공공데이터 플랫폼 운영 관련 업무추진,7,"74,000",제로페이,시책
124,통계담당 주무관,2022.10.28.15:26:29,크림탑커피,공공데이터 플랫폼 운영 관련 업무추진,6,"34,000",제로페이,시책
125,재단 담당 주무관,2022.10.31.11:55:12,성신초밥,재단 복리후생점검 등 업무추진,4,"44,000",신용카드,시책
126,재단 담당 주무관,2022.10.31.11:59:34,어테이블,재단 복리후생점검 등 업무추진,4,"15,200",신용카드,시책
127,미래성북 담당 주무관,2022.10.31.12:03:40,오봉집,공공시설 조성방향 협의 관련 업무추진,4,"44,000",신용카드,시책
128,예산팀장,2022.10.31.12:06:06,카페희다,2023~2027 중기지방재정계획 수립 관련 업무추진,6,"33,400",신용카드,시책
129,미래성북 담당 주무관,2022.10.31.12:10:29,구월,공공시설 조성방향 협의 관련 업무추진,4,"13,500",신용카드,시책
130,법제통계팀장,2022.10.31.16:45:45,낙지사랑,구정인식조사 관련 업무추진,8,"85,000",제로페이,시책
131,통계담당 주무관,2022.10.31.16:49:19,크림탑커피,구정인식조사 관련 업무추진,7,"44,000",제로페이,시책
132,중기 담당 주무관,2022.10.31.18:53:01,페리카나,2023~2027 중기지방재정계획 수립 관련 업무추진,3,"27,000",신용카드,시책
133,중기 담당 주무관,2022.10.31.19:01:22,푸라닭,2023~2027 중기지방재정계획 수립 관련 업무추진,5,"45,800",신용카드,시책
계,,,,,,"9,908,930",,
