"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  11월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상인원수,금액,결제방법,비목
49,공공시설 담당 주무관,2022.11.09.13:04:17,오블롱,시스템 기획용역 자료수집 관계좌 회의 관련 업무추진,3,"7,500",신용카드,시책
50,기획재정국장,2022.11.09.13:23:59,돌담,특별교부세 확보 관련 업무추진,5,"114,000",신용카드,시책
51,통계 담당 주무관,2022.11.09.14:51:58,듀오,통계연보 제작 관련 업무추진,5,"38,000",제로페이,시책
52,대외재정 담당 주무관,2022.11.09.17:09:08,네이버파이낸셜,대외재정 확보 관련 업무추진,30,"495,000",신용카드,시책
53,법제통계팀장,2022.11.10.12:07:44,밥상의 힘,통계연보 제작 관련 업무추진,6,"51,500",제로페이,시책
54,예산팀장,2022.11.10.12:11:54,만복식당,특별조정교부금 관련 업무추진,4,"55,000",신용카드,시책
55,미래성북 담당 주무관,2022.11.10.12:32:06,마늘과 올리브,가용부지 활용 유관부서 협의 관련 업무추진,6,"75,000",신용카드,시책
56,미래성북팀장,2022.11.10.12:39:55,루틴,도시공간 조정 관련 업무추진,10,"55,000",신용카드,시책
57,기획재정국장,2022.11.10.13:25:38,삼홍,특별교부세 확보 관련 업무추진,15,"354,000",신용카드,시책
58,기획 담당 주무관,2022.11.10.14:01:22,달달커피,2023 고유과제 수립 관련 업무추진,7,"32,800",신용카드,시책
59,기획재정국장,2022.11.10.19:17:58,그집밥,국시비 보조율 제도개선 관련 업무추진,7,"108,000",신용카드,시책
60,기획팀장,2022.11.10.19:41:15,영석이네,동북4구 협의회 안건 발굴 관련 업무추진,7,"123,000",신용카드,시책
61,평가 담당 주무관,2022.11.10.20:08:29,카르페디엠,2023 지자체합동평가 관련 업무추진,5,"16,200",신용카드,시책
62,기획 담당 주무관,2022.11.11.11:39:42,72420 성신여대,2023 고유과제 수립 관련 업무추진,5,"52,500",신용카드,시책
63,세입 담당 주무관,2022.11.11.12:17:21,테리,일반조정교부금 관련 업무추진,5,"69,000",신용카드,시책
64,공공시설 담당 주무관,2022.11.11.13:04:57,오블롱,공공시설 관리체계 구축 관련 업무추진,3,"7,500",신용카드,시책
65,기획예산과장,2022.11.11.20:59:12,홍도야빈대떡,특별교부금 확보 관련 업무추진,3,"45,000",신용카드,시책
66,기획재정국장,2022.11.14.,경조사비,직원 경조사비,1,"50,000",현금,기관
67,예산팀장,2022.11.14.12:24:09,모짜,특별조정교부금 관련 업무추진,6,"130,000",신용카드,시책
68,기획예산과장,2022.11.14.12:24:24,현참치,미래성북과제 기본체계 수립 관련 업무추진,5,"56,000",제로페이,시책
69,예산팀장,2022.11.14.12:29:46,몰리고 몰리다,2023~2027 중기지방재정계획 수립 관련 업무추진,5,"34,500",신용카드,시책
70,기획예산과장,2022.11.14.12:29:55,커피로드,미래성북과제 기본체계 수립 관련 업무추진,5,"18,900",제로페이,시책
71,법제통계팀장,2022.11.14.15:46:50,돈시락,마을기록화 사업 관련 업무추진,6,"62,000",제로페이,시책
72,마을기록 담당 주무관,2022.11.14.15:47:35,웰컴카페,마을기록화 사업 관련 업무추진,6,"35,000",제로페이,시책
73,기획예산과장,2022.11.14.16:43:50,이상,대외재정 확보 관련 업무추진,12,"253,000",신용카드,시책
74,기획 담당 주무관,2022.11.14.19:18:59,왕쓰브,현안정책회의 체계 개선 관련 업무추진,4,"45,500",신용카드,시책
