"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  2월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상 인원수,금액,결제방법,비목
1,편성 총괄 주무관,2022-02-03 12:12:14,달．달커피（ＤＡＬ．,대외재정 확보 관련 업무추진,4,"17,200",신용카드,시책
2,공공시설 담당 주무관,2022-02-03 12:20:13,훗스테이크   성신여대,공공시설 전산시스템 추진 관련 회의,3,"42,400",신용카드,시책
3,의회 담당 주무관,2022-02-03 19:32:13,고려한방삼계탕,2022. 2. 임시회 관련 업무 추진,4,"49,000",신용카드,시책
4,동북4구 담당 주무관,2022-02-03 11:40:04,전통만두국,동북4구 발전을 위한 공동의제 설정 관련 업무,6,"82,000",신용카드,시책
5,예비비 담당 주무관,2022-02-04 12:12:37,카페온더플랜,예비비 사용 관련 간담회,5,"25,500",신용카드,시책
6,기획팀장,2022-02-04 12:12:36,정가네   정육식당,스마트행정 분야 신규과제 발굴,6,"49,000",신용카드,시책
7,기획재정국장,2022-02-04 20:44:02,끄트머리집   안암점,공공시설 관리 시스템 구축 관련 업무 협의,3,"49,000",신용카드,시책
8,대외재정 담당 주무관,2022-02-04 12:07:54,７２４２０   성신여대,국시비 주요사업 추진 관련 간담회,4,"59,500",신용카드,시책
9,기획예산과장,2022-02-04 20:00:14,보문골,창의행정 업무추진,4,"77,000",신용카드,시책
10,특교 담당 주무관,2022-02-07 11:46:03,메가엠지씨커피   성북,코로나19 특별조정 교부금 관련 간담회,4,"13,200",신용카드,시책
11,미래성북팀장,2022-02-07 12:19:56,투썸플레이스   성신여,공공시설 관리체계 구축 관련 업무관계자 간담회,3,"13,500",신용카드,시책
12,기획팀장,2022-02-07 19:33:09,황해옥,부구청장 영상회의 결과 업무협조,4,"56,000",신용카드,시책
13,미래성북팀장,2022-02-07 12:16:57,마늘과올리브,공공시설 관리체계 구축 관련 업무관계자 간담회,3,"56,000",신용카드,시책
14,기획팀장,2022-02-08 11:58:00,메가엠지씨커피   성북,오미크론 관련 영상회의 업무,3,"9,200",신용카드,시책
15,기획재정국장,2022-02-08 12:47:29,꽁상뜨레,카카오채널 등 비대면 업무 지원책 활성화 관련 협의,6,"27,500",신용카드,시책
16,편성 총괄 주무관,2022-02-08 12:06:14,카페온더플랜,대외재정 확보 관련 업무추진,6,"37,500",신용카드,시책
17,기획예산과장,2022-02-08 11:59:40,서도바지락칼국수,추경 예산 편성 관련 업무추진,6,"56,000",신용카드,시책
18,기획예산과장,2022-02-08 20:16:35,유황오리   해물아구찜,2030 중장기 발전계획 연구용역 관련 협의,5,"128,000",신용카드,시책
19,예산팀장,2022-02-08 19:17:55,더하녹（Ｔｈｅ   Ｈａ,국시비 주요사업 추진 관련 간담회,6,"180,000",신용카드,시책
20,동북4구 담당 주무관,2022-02-09 12:20:07,신의주찹쌀순대,동북4구 발전방향 모색을 위한 새로운 안건 발굴 업무협의,2,"17,000",신용카드,시책
21,신속집행 담당 주무관,2022-02-09 12:31:47,스타벅스   코리아,신속집행 추진 관련 간담회,6,"36,900",신용카드,시책
22,기획예산과장,2022-02-09 12:22:43,코다리양반,재난안전특별교부세 관련 간담회,5,"75,000",신용카드,시책
23,과제체계 담당 주무관,2022-02-09 19:53:50,통돼지두루치기,2022 미래성북과제 체계 운영 성과관리 관련 업무,6,"104,000",신용카드,시책
24,대외재정 담당 주무관,2022-02-10 12:20:36,다라온,국시비 주요사언 추진 관련 간담회,5,"20,000",신용카드,시책
25,기획예산과장,2022-02-10 20:06:03,원조복집,2022 미래성북과제 체계 운영 성과관리 관련 업무,4,"94,000",신용카드,시책
26,자치분권 담당 주무관,2022-02-10 19:33:41,마포왕소금구이,자치분권 2.0시대 홍보 관련 업무,5,"138,000",신용카드,시책
27,기획팀장,2022-02-11 12:06:01,만리동커피,전부개정 지방자치법 의거 새로운 형태의 협력제도 시도 관련 협의,5,"18,000",신용카드,시책
28,혁신경영지원팀장,2022-02-11 20:09:28,미우,소통행정 업무추진,4,"109,000",신용카드,시책
29,기획팀장,2022-02-11 12:04:27,녕화식당,전부개정 지방자치법 의거 새로운 형태의 협력제도 시도 관련 협의,4,"110,000",신용카드,시책
30,한예종 이전 담당 주무관,2022-02-14 12:02:34,구월,한예종 이전 대응 관련 관계자 협의,4,"5,000",신용카드,시책
31,한예종 이전 담당 주무관,2022-02-14 12:02:17,구월,한예종 이전 대응 관련 관계자 협의,4,"12,000",신용카드,시책
32,기획예산과장,2022-02-14 12:23:04,보문골,2030 중장기 발전계획 연구용역 관련 협의,3,"35,000",신용카드,시책
33,기획예산과장,2022-02-14 19:44:36,할머니순대국,2022 상반기 성과평가 관련 업무,4,"41,000",신용카드,시책
34,한예종 이전 담당 주무관,2022-02-14 11:58:05,전통평양만두,한예종 이전 대응 관련 관계자 협의,4,"47,000",신용카드,시책
35,기획팀징,2022-02-15 12:00:28,카페   위로．한모금,2022 상반기 성과평가 관련 업무,5,"12,200",신용카드,시책
36,기획팀장,2022-02-15 11:59:07,히스토리,2030 중장기발전계획 연구용역 연계 과제체계 수립 방안 논의,4,"97,000",신용카드,시책
37,보조금 담당 주무관,2022-02-16 13:50:45,돈카와치   성신여대역,보조금관리위원회 개최 관련 업무추진,4,"46,000",신용카드,시책
38,자치분권 담당 주무관,2022-02-16 20:49:27,카르페디엠,전부개정 지방자치법 특례제도 관련 업무협의,4,"60,600",신용카드,시책
39,기획재정국장,2022-02-16 20:10:30,최진사댁두부마을,2022 국 주요업무계획 체계 점검 등,6,"150,000",신용카드,시책
40,동북4구 담당 주무관,2022-02-17 11:50:11,카페   위로．한모금,신규 안건 발굴 관련 업무협의,4,"12,900",신용카드,시책
