"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  5월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상 인원수,금액,결제방법,비목
1,미래성북팀장,2022-05-02 12:03:51,모마에스프레소,공공시설 관리체계 구축 관련 관계자 회의,4,"14,000",신용카드,시책
2,기획팀장,2022-05-02 12:10:05,만리동커피,지시사항 이행 관련 업무,5,"18,000",신용카드,시책
3,예산팀장,2022-05-02 12:28:27,어테이블   성신여대점,상반기 구 자체 투자심사 관련 업무추진,5,"30,300",신용카드,시책
4,미래성북팀장,2022-05-02 12:01:09,현참치,공공시설 관리체계 구축 관련 관계자 회의,4,"59,000",신용카드,시책
5,과제체계 담당 주무관,2022-05-02 19:32:28,제주고깃집,과제체계,5,"96,000",신용카드,시책
6,기획재정국장,2022-05-02 19:21:13,힘찬풍천장어,대규모 투자사업 추진 점검 간담회,8,"180,000",신용카드,시책
7,보조금 담당 주무관,2022-05-03 21:33:11,식스센스다이닝,지방보조금관리위원회 개최 관련 간담회,6,"15,000",신용카드,시책
8,투심 담당 주무관,2022-05-03 12:24:04,달．달커피（ＤＡＬ．,상반기 구 자체 투자심사 관련 업무추진,4,"21,500",신용카드,시책
9,보조금 담당 주무관,2022-05-03 21:33:08,쏠래다이닝,지방보조금관리위원회 개최 관련 간담회,6,"94,000",신용카드,시책
10,자치분권 담당 주무관,2022-05-04 12:46:06,그집밥,전부개정 지방자치법 이행 관련 업무,6,"157,000",신용카드,시책
11,기획예산과장,2022-05-04 20:15:34,원조마포소금구이,2030 중장기발전계획 관련 적용 가능 과제 현장확인 등 관련 업무,6,"158,000",신용카드,시책
12,기획팀장,2022-05-06 12:02:56,커피몽땅,지시사항 이행 관련 업무,4,"12,500",신용카드,시책
13,기획예산과장,2022-05-06 12:01:22,그집밥,2030 중장기발전계획 관련 적용 가능 과제 현장확인 등 관련 업무,5,"39,000",신용카드,시책
14,기획예산과장,2022-05-06 20:21:06,본초밥상,신규 과제 발굴 관련 업무 협의,4,"70,000",신용카드,시책
15,편성 총괄 주무관,2022-05-06 10:09:55,네이버파이낸셜（주）,특교 사업 회의 관련 음료 구입,20,"93,000",신용카드,시책
16,기획팀장,2022-05-09 12:07:31,메가엠지씨커피   성북,2022.5월 미래성북데이 관련 업무,6,"13,900",신용카드,시책
17,업무조정 담당 주무관,2022-05-09 12:00:19,구월,신규 정책 검토 관련 회의,4,"16,000",신용카드,시책
18,업무조정 담당 주무관,2022-05-09 11:24:03,돈시락,신규 정책 검토 관련 회의,4,"43,400",신용카드,시책
19,신속집행 담당 주무관,2022-05-09 12:42:18,이웃집   샤브,상반기 신속집행 추진 간담회,5,"64,500",신용카드,시책
20,특교 담당 주무관,2022-05-09 19:17:46,샌드위치하우스,특교 사업 추진 관련 담당자 간담회,8,"70,000",신용카드,시책
21,기획예산과장,2022-05-09 19:56:50,귀한족발／주식회사,재단 경영실적 평가 업무 협의,4,"81,000",신용카드,시책
22,마을기록화 담당 주무관,2022-05-10 12:58:39,소일,마을기록화사업 관련 시책업무추진,2,"4,000",신용카드,시책
23,마을기록화 담당 주무관,2022-05-10 12:15:45,소일,마을기록화사업 관련 시책업무추진,7,"26,000",신용카드,시책
24,대외재정 담당 주무관,2022-05-10 12:03:31,이세돈가스전문점,대외재정 확보 관련 간담회,3,"30,000",신용카드,시책
25,기획예산과장,2022-05-10 20:50:57,광명수산,"신규사업 발굴 및 하반기 과제체계 개선, 성과관리 관련 업무협의",8,"185,000",신용카드,시책
26,마을기록화 담당 주무관,2022-05-10 12:13:24,안식당,마을기록화사업 관련 시책업무추진,11,"220,000",신용카드,시책
27,특교 담당 주무관,2022-05-11 14:22:17,모블러（Ｍｏｂｌｅｒ,특교 사업 회의 관련 다과 구입,10,"32,000",신용카드,시책
28,기획팀장,2022-05-11 12:18:53,스시진１호점,현안정책회의 운영 관련 업무 협의,3,"40,000",신용카드,시책
29,자치분권 담당 주무관,2022-05-11 22:52:37,온달왕돈까스   치킨,시민청 부지 활용 관련 업무 협의,4,"44,400",신용카드,시책
30,기획팀장,2022-05-11 19:16:44,김통,2022 미래성북과제 추진 현황 확인 및 개선사항 협의,5,"104,000",신용카드,시책
31,기획예산과장,2022-05-11 21:44:34,영석이네,서울시 신규 사업 대응 및 원활한 추진 계획 수립을 위한 업무협의,8,"179,000",신용카드,시책
32,기획재정국장,2022-05-12 12:30:46,소일,성북구 마을만들기 공모사업 추진 관련 업무 협의,6,"4,000",신용카드,시책
33,기획재정국장,2022-05-12 12:25:24,소일,성북구 마을만들기 공모사업 추진 관련 업무 협의,6,"20,500",신용카드,시책
34,예산팀장,2022-05-12 12:21:34,언앨리셰프,상반기 구 자체 투자심사 관련 업무추진,3,"35,000",신용카드,시책
35,기획예산과장,2022-05-12 20:13:44,추랑,미래성북데이 관련 업무 협의,4,"79,000",신용카드,시책
36,기획재정국장,2022-05-12 12:23:32,이웃집   샤브,성북구 마을만들기 공모사업 추진 관련 업무 협의,6,"84,400",신용카드,시책
37,지시사항 담당 주무관,2022-05-13 11:54:06,메가엠지씨커피   성북,지시사항 관련 업무협의,4,"9,400",신용카드,시책
38,투심 담당 주무관,2022-05-13 12:05:24,커피내림,상반기 구 자체 투자심사 관련 업무추진,5,"24,000",신용카드,시책
39,예산팀장,2022-05-13 12:00:26,밥상의힘   밥심   성북,특교 신청 사업 발굴 간담회,7,"70,000",신용카드,시책
40,자치분권 담당 주무관,2022-05-16 19:39:49,장수한방족발보쌈,자치분권협의회 활성화 관련 업무,5,"102,000",신용카드,시책
41,기획예산과장,2022-05-16 20:09:40,만선참치,대외재정 확보 관련 간담회,8,"155,000",신용카드,시책
42,동북4구 담당 주무관,2022-05-17 11:53:56,스노우문（ｓｎｏｗｍ,동북4구 하반기 주요 행사 추진 관련 업무,4,"11,500",신용카드,시책
43,예산팀장,2022-05-17 11:52:13,밥상의힘   밥심   성북,특교 사업 추진 관련 간담회,6,"63,500",신용카드,시책
44,기획재정국장,2022-05-18 11:47:19,커피에반하다（용두Ｋ,민선8기 대비 주요 사업 추진현황 확인,4,"12,500",신용카드,시책
45,예산팀장,2022-05-18 12:20:59,안식당,2분기 소비투자 집행 관련 간담회,5,"82,000",신용카드,시책
46,기획재정국장,2022-05-18 11:46:50,어머니   대성집,민선8기 대비 주요 사업 추진현황 확인,4,"83,000",신용카드,시책
47,예산팀장,2022-05-19 11:57:33,성북순두부,상반기 구 자체 투자심사 관련 업무추진,4,"36,000",신용카드,시책
48,편성 총괄 주무관,2022-05-19 19:18:14,이차돌   성신여대점,대외재정 확보 업무협의,4,"63,100",신용카드,시책
49,기획재정국장,2022-05-19 12:18:14,녕화식당,"제4회 미래성북데이 관련 역사, 문화 콘텐츠 홍보 강화를 위한 업무 협의",7,"119,000",신용카드,시책
50,기획팀장,2022-05-20 11:51:50,명동칼국수,성과관리 개선 관련 업무 협의,5,"54,000",신용카드,시책
51,미래성북데이 담당 주무관,2022-05-20 21:42:47,광화문연탄집,제5회 미래성북데이 운영 관련 업무,5,"61,000",신용카드,시책
52,기획예산과장,2022-05-20 20:02:30,황해옥,미래성북 과제체계 개선 관련 업무,5,"88,000",신용카드,시책
53,동북4구 담당 주무관,2022-05-23 12:01:06,메가엠지씨커피   성북,동북4구 하반기 주요 행사 추진 관련 업무,5,"16,400",신용카드,시책
54,미래성북팀장,2022-05-23 12:18:09,버클리쿠키（Ｂｅｒｋ,한예종 이전 대응 관련 관계자 협의,4,"18,000",신용카드,시책
55,보조금 담당 주무관,2022-05-23 12:18:33,달．달커피（ＤＡＬ．,지방보조사업 성과평가 관련 업무협의,5,"21,900",신용카드,시책
56,미래성북팀장,2022-05-23 12:07:35,달려라메기,한예종 이전 대응 관련 관계자 협의,4,"65,000",신용카드,시책
57,기획예산과장,2022-05-23 20:35:01,이흥선참치미아직영점,국시비 주요사업 추진 관련 간담회,7,"140,000",신용카드,시책
58,예산팀장,2022-05-23 16:32:49,대왕유통직영셀프민물,대외재정 확보 관련 간담회,20,"330,000",신용카드,시책
59,공공시설 담당 주무관,2022-05-24 16:07:08,몽트리베이커리,공공시설 전산시스템 기획용역 착수회의 관련 관계자 협의,2,"14,000",신용카드,시책
60,업무조정 담당 주무관,2022-05-24 10:50:04,매머드익스프레스   광,공공시설 제도 마련을 위한 간담회,4,"16,900",신용카드,시책
61,공공시설 담당 주무관,2022-05-24 14:13:50,마미식당,공공시설 전산시스템 기획용역 착수회의 관련 관계자 협의,3,"18,000",신용카드,시책
62,편성 총괄 주무관,2022-05-24 12:19:04,어테이블   성신여대점,차세대 이호조 구축 관련 업무회의,4,"18,500",신용카드,시책
63,공공시설 담당 주무관,2022-05-24 15:56:24,몽트리베이커리,공공시설 전산시스템 기획용역 착수회의 관련 관계자 협의,3,"21,600",신용카드,시책
64,예산팀장,2022-05-24 12:14:25,키작은아저씨,특교 사업 추진상황 점검 간담회,6,"90,000",신용카드,시책
65,기획재정국장,2022-05-24 12:20:07,광주식당,민선8기 대비 주요 사업 추진현황 확인,6,"164,000",신용카드,시책
66,혁신경영지원팀장,2022-05-24 19:43:07,영석이네,공단 경영평가 관련 간담회 및 공재단 이사회 업무 조정 회의,12,"305,000",신용카드,시책
67,동북4구 담당 주무관,2022-05-25 12:26:45,크림탑커피（ｃｒｅａ,동북4구 하반기 주요 추진사업 발굴 관련 업무,4,"13,000",신용카드,시책
68,예산팀장,2022-05-25 12:10:48,커피나무성신여대점,상반기 신속집행 추진 관련 업무회의,6,"26,000",신용카드,시책
69,업무조정 담당 주무관,2022-05-26 18:08:55,（주）코리아세븐성북,우수 공공시설 발굴 관련 간담회,4,"9,100",신용카드,시책
70,대외재정 담당 주무관,2022-05-26 12:19:34,밥상의힘   밥심   성북,국시비 주요사업 추진 관련 간담회,8,"80,000",신용카드,시책
71,기획예산과장,2022-05-26 19:13:51,마포왕소금구이,성과평가 체계 개선 관련 업무,5,"130,000",신용카드,시책
72,예산팀장,2022-05-27 11:50:11,크림탑커피（ｃｒｅａ,투자심사 사업 추진 현황 점검 업무회의,2,"4,600",신용카드,시책
73,동북4구 담당 주무관,2022-05-27 12:08:08,만리동커피,동북4구 하반기 주요 추진사업 발굴 관련 업무,4,"13,500",신용카드,시책
74,보조금 담당 주무관,2022-05-27 11:47:48,브라운돈까스,보조금관리위원회 개최 관련 업무추진,2,"17,000",신용카드,시책
75,기획재정국장,2022-05-27 20:50:32,홍도야빈대떡,민선8기 대비 주요 사업 추진현황 확인,3,"54,000",신용카드,시책
76,기획예산과장,2022-05-27 20:10:54,그집밥,협업카페 운영 개선 관련 업무,4,"103,000",신용카드,기관
77,공공시설 담당 주무관,2022-05-30 12:29:21,알렉스   더   커피   （,시스템 기획용역 자료수집 관련 관계자 회의,4,"18,500",신용카드,기관
78,동북4구 담당 주무관,2022-05-30 12:05:26,웰컴카페,동북4구 하반기 주요 추진사업 발굴 관련 업무,6,"19,000",신용카드,기관
79,기획재정국장,2022-05-30 12:55:54,알렉스   더   커피   （,공공시설 관리시스템 구축 관련 업무협의,5,"20,800",신용카드,시책
80,기획예산과장,2022-05-30 19:33:58,할머니순대국,2030 중장기 발전계획 활용 관련 업무,3,"30,000",신용카드,시책
81,예산팀장,2022-05-30 12:24:34,문화식당,2분기 소비투자 집행 관련 간담회,4,"54,000",신용카드,시책
82,기획재정국장,2022-05-30 12:24:00,돌담,공공시설 관리시스템 구축 관련 업무협의,5,"90,000",신용카드,시책
83,편성 총괄 주무관,2022-05-30 16:55:01,파리바게뜨   성북구청,특교 사업 회의 관련 다과 구입,20,"90,000",신용카드,시책
84,업무조정 담당 주무관,2022-05-31 12:14:47,달．달커피（ＤＡＬ．,가용부지 활용 관련 유관부서 협의,3,"11,900",신용카드,시책
85,기획팀장,2022-05-31 12:01:57,만리동커피,신규 과제 발굴 관련 업무,4,"13,500",신용카드,시책
86,업무조정 담당 주무관,2022-05-31 12:11:33,삼홍생고기전문점,가용부지 활용 관련 유관부서 협의,3,"36,000",신용카드,시책
87,외부평가 담당 주무관,2022-05-31 21:22:26,광화문연탄집,외부평가 응모률 및 수상률 제고 관련 간담회,3,"45,000",신용카드,시책
88,기획재정국장,2022-05-31 12:15:39,소한마리정육식장정릉,민선8기 대비 주요 구정 현안 확인,3,"61,650",신용카드,시책
89,기획팀장,2022-05-31 11:57:17,성신초밥,신규 과제 발굴 관련 업무,4,"71,000",신용카드,시책
90,기획예산과장,2022-05-31 20:26:01,아라맛짱네   족발보쌈,민선8기 준비 관련 업무협의,4,"73,000",신용카드,시책
91,동북4구 담당 주무관,2022-05-31 12:37:45,（주）   이태리총각,동북4구 하반기 주요 추진사업 발굴 관련 업무,5,"93,000",신용카드,시책
92,법제통계팀장,2022-05-02 11:51:29,카페마노아 CAFE MANOA,공공데이터플랫폼 운영 관련 업무추진,4,"28,000",제로페이,시책
93,법제통계팀장,2022-05-02 11:45:23,본 죽&비빔밥 성신여대점,공공데이터플랫폼 운영 관련 업무추진,4,"52,000",제로페이,시책
94,혁신경영지원팀장,2022-05-02 12:09:20,(주)제순 제순식당본점,회계감사인 선정 절차 관련 업무 협의,6,"63,500",제로페이,시책
95,예산팀장,2022-05-02 12:24:00,강금옥쭈꾸미 성신여대점,특교 사업 추진 관련 담당자 간담회,8,"89,000",제로페이,시책
96,법제통계팀장,2022-05-03 12:20:39,서도바지락칼국수,공공데이터플랫폼 운영 관련 업무추진,5,"46,000",제로페이,시책
97,통계 담당 주무관,2022-05-03 12:27:12,"카페 위로, 한모금",공공데이터플랫폼 운영 관련 업무추진,5,"55,000",제로페이,시책
98,기획예산과장,2022-05-03 12:19:33,그집밥,상반기 신속집행 관련 간담회,7,"170,000",제로페이,시책
99,기획재정국장,2022-05-03 19:55:45,힘찬풍천장어,대외재정 확보 관련 간담회,12,"195,700",제로페이,시책
100,법제통계팀장,2022-05-04 12:08:28,낙지사랑,공공데이터플랫폼 운영 관련 업무추진,5,"70,000",제로페이,시책
101,통계 담당 주무관,2022-05-09 14:28:45,크림탑커피,마을기록화 사업 업무관련 협의,5,"58,000",제로페이,시책
102,법제통계팀장,2022-05-11 16:45:34,샌드위치하우스,자치법규 정비 관련 업무 추진,4,"40,000",제로페이,시책
103,통계 담당 주무관,2022-05-11 12:37:09,"카페 위로, 한모금",마을기록화 사업 업무관련 협의,5,"55,000",제로페이,시책
104,법제통계팀장,2022-05-11 12:32:16,이웃집 샤브,주민기록단 운영 관련 업무추진,5,"59,600",제로페이,시책
105,보조금 담당 주무관,2022-05-12 12:11:19,커피나무 성신여대점,지방보조사업 유지필요성 평가 관련 업무추진,3,"14,300",제로페이,시책
106,대외재정 담당 주무관,2022-05-12 12:09:52,Saute(소테),대외재정 확보 관련 간담회,3,"29,200",제로페이,시책
107,혁신경영지원팀장,2022-05-12 12:22:09,"카페 위로, 한모금",공단 채용관련 업무 협의,4,"30,000",제로페이,시책
108,혁신경영지원팀장,2022-05-12 12:09:34,고려한방삼계탕,공단 채용관련 업무 협의,4,"42,000",제로페이,시책
