2022년 4월 재무과 업무추진비 집행내역,,,,,,,,,
,,,,,,,,,(단위:명/원)
연번,비목,사용자,집행일자,집 행 목 적,인원,장소, 집행금액 ,집행방법,비고
1,시책,과장,04.01.(금) 12:29,"구유재산의 관리 관련
관계자 간담회",5,어향,"94,000 ",신용카드,
2,시책,과장,04.06.(수) 12:16,"계약 및 물품관리 관련
관계자 간담회",2,청어진동태찜,"21,000 ",신용카드,
3,시책,과장,04.07.(목) 12:17,"지출회계관리 관련
관계자 간담회",4,륜경,"36,000 ",신용카드,
4,시책,과장,04.08.(금) 12:20,"구유재산의 관리 관련
관계자 간담회",4,가마봉생고기,"42,000 ",신용카드,
5,시책,과장,04.11.(월) 12:17,"구유재산의 관리 관련
관계자 간담회",4,최가네양평해장국,"34,000 ",신용카드,
6,시책,과장,04.12.(화) 20:45,"결산검사 운영을 위한
다과 구매",6,쿠팡,"178,090 ",신용카드,
7,시책,과장,04.12.(화) 11:00,"지출회계관리 관련
관계자 간담회",2,얌샘김밥,"18,000 ",신용카드,
8,시책,과장,04.13.(수) 12:52,"재무회계결산 관련
관계자 간담회",4,수향숯불갈비,"30,000 ",신용카드,
9,시책,과장,04.15.(금) 12:31,"세입세출 결산 관련
관계자 간담회",7,히비끼도봉,"130,000 ",신용카드,
10,시책,과장,04.19.(화) 12:39,"재무회계결산 관련
관계자 간담회",3,박대박,"25,000 ",신용카드,
11,시책,과장,04.20.(수) 12:19,"지출회계관리 관련
관계자 간담회",3,신의주찹쌀순대,"26,000 ",신용카드,
12,시책,과장,04.22.(금) 12:39,"계약 및 물품관리 관련
관계자 간담회",4,남원추어탕,"36,000 ",신용카드,
13,시책,과장,04.25.(월) 11:56,"구유재산의 관리 관련
관계자 간담회",8,최가네양평해장국,"74,000 ",신용카드,
14,시책,과장,04.26.(화) 12:17,"구유재산의 관리 관련
관계자 간담회",6,남도생선구이,"62,000 ",신용카드,
15,시책,과장,04.26.(화) 17:59,"결산검사 운영을 위한
다과 구매",6,쿠팡,"180,460 ",신용카드,
16,시책,과장,04.27.(수) 17:59,"재무회계결산 관련
관계자 간담회",4,낙지방,"32,000 ",신용카드,
