2022년 7월 재무과 업무추진비 집행내역,,,,,,,,,
,,,,,,,,,(단위:명/원)
연번,비목,사용자,집행일자,집 행 목 적,인원,장소, 집행금액 ,집행방법,비고
1,시책,과장,07.01.(금) 11:58,"재무회계결산 관련
관계자 간담회",5,청어진동태찜,"40,000 ",신용카드,
2,시책,과장,07.05.(화) 12:24,"구유재산의 관리 관련
관계자 간담회",3,한모듬순대국,"22,000 ",신용카드,
3,시책,과장,07.07.(목) 12:18,"세입세출 결산 관련
관계자 간담회",5,도쿄감자탕,"60,000 ",신용카드,
4,시책,과장,07.12.(화) 12:14,"계약 및 물품관리 관련
관계자 간담회",4,장수봉평메밀촌,"43,000 ",신용카드,
5,시책,과장,07.13.(수) 12:18,"구유재산의 관리 관련
관계자 간담회",4,청어진동태찜,"30,000 ",신용카드,
6,시책,과장,07.13.(수) 12:16,"지출회계 관리 관련
관계자 간담회",3,명가통닭,"21,000 ",신용카드,
7,시책,과장,07.14.(목) 12:43,"재무회계결산 관련
관계자 간담회",4,바꿈카페,"18,500 ",신용카드,
8,시책,과장,07.18.(월) 12:25,"구유재산의 관리 관련
관계자 간담회",4,가마봉생고기,"42,000 ",신용카드,
9,시책,과장,07.19.(화) 12:17,"세입세출 결산 관련
관계자 간담회",3,봉평산골메밀촌,"28,000 ",신용카드,
10,시책,과장,07.20.(수) 12:26,"계약 및 물품관리 관련
관계자 간담회",3,북경,"24,000 ",신용카드,
11,시책,과장,07.21.(목) 22:03,"구유재산의 관리 관련
관계자 간담회",6,수락생고기마을,"88,000 ",신용카드,
12,시책,과장,07.26.(화) 12:22,"지출회계 관리 관련
관계자 간담회",4,장수봉평메밀촌,"36,000 ",신용카드,
13,시책,과장,07.28.(목) 12:28,"구유재산의 관리 관련
관계자 간담회",5,등푸른생선구이,"64,000 ",신용카드,
14,시책,과장,07.29.(금) 12:23,"세입세출 결산 관련
관계자 간담회",4,장수봉평메밀촌,"50,000 ",신용카드,
