2022년 1월 재무과 업무추진비 집행내역,,,,,,,,,
,,,,,,,,,(단위:명/원)
연번,비목,사용자,집행일자,집 행 목 적,인원,장소, 집행금액 ,집행방법,비고
1,시책,과장,01.03.(월) 12:14,"구유재산의 관리 관련
관계자 간담회",5,시골짚,"50,000 ",신용카드,
2,시책,과장,01.04.(화) 12:18,"계약 및 물품관리 관련
관계자 간담회",4,메이콴,"45,000 ",신용카드,
3,시책,과장,01.06.(목) 12:41,"구유재산의 관리 관련
관계자 간담회",4,륜경,"40,000 ",신용카드,
4,시책,과장,01.10.(월) 12:35,"구유재산의 관리 관련
관계자 간담회",4,등푸른,"52,000 ",신용카드,
5,시책,과장,01.13.(목) 12:23,"구유재산의 관리 관련
관계자 간담회",4,최가네양평해장국,"42,000 ",신용카드,
6,시책,과장,01.14.(금) 20:03,"계약 및 물품관리 관련
관계자 간담회",4,수락솥뚜껑김치삼겹살,"39,000 ",신용카드,
7,시책,지출팀장,01.17.(월) 12:28,"세입세출결산 관련
관계자 간담회",4,도쿄감자탕,"54,000 ",신용카드,
8,시책,과장,01.17.(월) 12:34,"세입세출결산 관련
관계자 간담회",4,의정부동오부대찌개,"46,000 ",신용카드,
9,시책,과장,01.18.(화) 12:57,"구유재산의 관리 관련
관계자 간담회",4,륜경,"53,000 ",신용카드,
10,시책,과장,01.19.(수) 12:20,"구유재산의 관리 관련
관계자 간담회",4,도쿄감자탕,"36,000 ",신용카드,
11,시책,과장,01.21.(금) 20:50,"구유재산의 관리 관련
관계자 간담회",4,상계해물탕,"74,000 ",신용카드,
12,시책,과장,01.25.(화) 20:53,"구유재산의 관리 관련
관계자 간담회",4,빛나는 바다,"88,000 ",신용카드,
13,시책,과장,01.25.(화) 12:32,"계약 및 물품관리 관련
관계자 간담회",4,순두부마을,"32,000 ",신용카드,
14,시책,과장,01.26.(수) 12:02,"구유재산의 관리 관련
관계자 간담회",3,수락골두부이야기,"22,000 ",신용카드,
15,시책,과장,01.27.(목) 13:04,"지출회계관리 관련
관계자 간담회",2,신고집찜칼국수,"16,000 ",신용카드,
16,시책,과장,01.28.(금) 12:37,"구유재산의 관리 관련
관계자 간담회",3,조선제일짬뽕화원,"22,500 ",신용카드,
