2022년 9월 재무과 업무추진비 집행내역,,,,,,,,,
,,,,,,,,,(단위:명/원)
연번,비목,사용자,집행일자,집 행 목 적,인원,장소, 집행금액 ,집행방법,비고
1,시책,과장,09.01.(목) 12:28,"지출회계 관리 관련
관계자 간담회",3,육대장,"26,000 ",신용카드,
2,시책,과장,09.02.(금) 12:19,"세입세출 결산 관련
관계자 간담회",4,생선지존진땡이,"46,000 ",신용카드,
3,시책,과장,09.06.(화) 12:19,"구유재산의 관리 관련
관계자 간담회",3,커피에반하다,"9,500 ",신용카드,
4,시책,과장,09.07.(수) 12:40,"지출회계 관리 관련
관계자 간담회",4,팔선당,"32,000 ",신용카드,
5,시책,과장,09.08.(목) 20:18,"구유재산의 관리 관련
관계자 간담회",4,명가통닭,"41,500 ",신용카드,
6,시책,과장,09.13.(화) 12:18,"세입세출 결산 관련
관계자 간담회",5,도쿄감자탕,"60,000 ",신용카드,
7,시책,과장,09.14.(수) 12:23,"구유재산의 관리 관련
관계자 간담회",4,광릉불고기,"50,000 ",신용카드,
8,시책,과장,09.16.(금) 12:06,"계약 및 물품관리 관련
관계자 간담회",3,도쿄감자탕,"30,000 ",신용카드,
9,시책,과장,09.16.(금) 19:42,"지출회계 관리 관련
관계자 간담회",3,명가통닭,"20,500 ",신용카드,
10,시책,과장,09.19.(월) 12:19,"세입세출 결산 관련
관계자 간담회",7,오늘,"36,900 ",신용카드,
11,시책,과장,09.20.(화) 12:19,"구유재산의 관리 관련
관계자 간담회",5,신의주찹쌀순대,"66,000 ",신용카드,
12,시책,과장,09.20.(화) 19:41,"재무회계결산 관련
관계자 간담회",4,옛날통닭1번지,"46,000 ",신용카드,
13,시책,과장,09.21.(수) 13:11,"계약 및 물품관리 관련
관계자 간담회",3,해주곰탕찹쌀순대,"24,000 ",신용카드,
14,시책,과장,09.22.(목) 12:33,"구유재산의 관리 관련
관계자 간담회",4,황제해물짬뽕,"34,000 ",신용카드,
15,시책,과장,09.23.(금) 12:20,"세입세출 결산 관련
관계자 간담회",3,제주왕돌판구이,"33,000 ",신용카드,
16,시책,과장,09.26.(월) 12:11,"계약 및 물품관리 관련
관계자 간담회",3,청어진동태찜,"40,000 ",신용카드,
17,시책,과장,09.27.(화) 12:08,"세입세출 결산 관련
관계자 간담회",4,가마봉생고기,"32,000 ",신용카드,
18,시책,과장,09.27.(화) 19:50,"구유재산의 관리 관련
관계자 간담회",4,명가통닭,"39,500 ",신용카드,
19,시책,과장,09.28.(수) 12:04,"구유재산의 관리 관련
관계자 간담회",4,황제해물짬뽕,"36,500 ",신용카드,
