연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법,
1,3. 2.,SNS 활성화 관련 간담회,본도시락 한양대후문점,담당자 등 총 4명,"37,600",카드,
2,3. 3.,경력보유여성 등 권익위원회 관련 취재 지원,채선당,소통담당관 직원 및 관계자 총 4명,"45,000",제로 페이,
3,3. 3.,중랑천 음악방송 관계자 간담회,한상드림,"직원 2, 관계자 2","71,900",카드,
4,3. 7.,언론사 기자 인터뷰 지원,왕십리통골뱅이,소통담당관 직원 및 관계자 총 4명,"72,000",카드,
5,3. 7.,생활 안전뷰 서비스 관련 홍보 간담회,싱싱오징어바다,소통담당관 직원 및 관계자 총 4명,"75,000",제로 페이,
6,3. 11.,언론사 기자 간담회,효창에프씨,소통담당관 직원 및 관계자 총 6명,"240,000",제로 페이,
7,3. 11.,용비쉼터 조성 관련 취재 지원,이디야커피 성동구청점,소통담당관 직원 및 관계자 총 4명,"19,300",제로 페이,
8,3. 11.,언론사 기자 간담회,골드소일 주식회사,소통담당관 직원 및 관계자 총 6명,"236,000",카드,
9,3. 17.,소월아트홀 리모델링 관련 취재 지원,유유커피,소통담당관 직원 및 관계자 총 3명,"9,840",제로 페이,
10,3. 17.,인터넷방송국 홍보영상 제작 관계자 간담회,리앤리푸드,"직원 1, 관계자 2","55,800",카드,
11,3. 21.,성동포커스 제작 관계자 간담회,이땔리면옥&곱떡,"직원 2, 관계자 3","71,900",제로 페이,
12,3. 21.,"주택재건축정비사업
주민설명회 관련 취재 지원",에머이 왕십리점,"소통담당관 직원
및 관계자 총 4명","29,400","제로
페이",
13,3. 21.,취업장려금 지원 관련 홍보 간담회,㈜하이존에프앤씨,소통담당관 직원 및 관계자 총 4명,"32,400",카드,
14,3. 22.,폐페트병 업사이클링 관련 홍보 간담회,봉평골메밀막국수,소통담당관 직원 및 관계자 총 4명,"39,000",제로 페이,
15,3. 22.,성동뮤직박스 관계자 간담회,쭈블링주꾸미볶음,"직원 2, 관계자 3","88,000",카드,
16,3. 23.,소식지 관련 회의,카이테이블,담당자 등 총 5명,"68,800",제로 페이,
17,3. 24.,언론사 기자 간담회,매드포갈릭 왕십리비트플렉스점,소통담당관 직원 및 관계자 총 6명,"178,000",카드,
18,3. 24.,SNS 활성화 관련 간담회,일품백송칼국수,담당자 등 총 5명,"58,000",제로 페이,
19,3. 25.,취약계층 반려동물 의료 지원 관련 홍보 간담회,추선생,소통담당관 직원 및 관계자 총 4명,"24,000",제로 페이,
20,3. 25.,항공촬영 관계자 간담회,파스타입니다,"직원 2, 관계자 2","64,000",카드,
21,3. 28.,"삼표레미콘 공장 해체
착공식 관련 기자 간담회",목포홍탁,"소통담당관 직원
및 관계자 총 6명","95,000","제로
페이",
22,3. 29.,언론사 기자 간담회,궁중한우,소통담당관 직원 및 관계자 총 7명,"223,000",제로 페이,
23,3. 29.,뚝섬유수지 공영주차장 준공 관련 홍보 간담회,이월로스터스,소통담당관 직원 및 관계자 총 4명,"22,000",카드,
24,3. 30.,소식지 관련 회의,우리바다생태찌개,담당자 등 총 5명,"80,000",제로 페이,
25,3. 31.,금호역·신금호역 일대 도로 정비 관련 홍보 간담회,에머이 왕십리점,소통담당관 직원 및 관계자 총 4명,"29,400",제로 페이,
26,3. 31.,소식지 관련 회의,다현목포낙지,담당자 등 총 5명,"35,000",제로 페이,
