연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법,
1,4. 4.,인터넷방송국 시설소개 프로그램 관계자 간담회,래래,"직원 3, 관계자 3","120,000",제로 페이,
2,4. 5.,언론사 기자 간담회,더테이블한정식,소통담당관 직원 및 관계자 총 6명,"139,000",제로 페이,
3,4. 5.,미디어보드 관계자 간담회,리틀베트남퍼,"직원 3, 관계자 3","60,000",제로 페이,
4,4. 6.,재택치료자 회복기원 꾸러미 관련 홍보 간담회,와시리,소통담당관 직원 및 관계자 총 6명,"106,500",카드,
5,4. 7.,소식지 관련 회의,끄트머리집,담당자 등 총 4명,"58,600",제로 페이,
6,4. 7.,어린이보호구역 교통안전강화 관련 홍보 간담회,더팔당 왕십리점,소통담당관 직원 및 관계자 총 4명,"40,000",제로 페이,
7,4. 8.,인터넷방송국 유지보수 관계자 간담회,카페서울숲 성동구청점,"직원 3, 관계자 4","50,000",제로 페이,
8,4. 11.,소셜벤처 투자역량 강화 프로그램 관련 홍보 간담회,"스타벅스커피
(㈜에스케이씨컴퍼니)",소통담당관 직원 및 관계자 총 6명,"22,900",카드,
9,4. 11.,SNS 활성화 관련 간담회,쭈피랑,담당자 등 총 5명,"65,000",제로 페이,
10,4. 12.,창의예술놀터 관련 홍보 간담회,돈구어,소통담당관 직원 및 관계자 총 4명,"57,000",제로 페이,
11,4. 12.,유튜브 제작 관계자 간담회,왕십리정부네곱창,"직원 2, 관계자 1","76,000",제로 페이,
12,4. 12.,느타리버섯 심리방역키트 관련 홍보 간담회,나라구한닭 정통닭갈비,소통담당관 직원 및 관계자 총 4명,"33,000",제로 페이,
13,4. 12.,경력보유여성 인정서 발급프로그램 관련 홍보 간담회,수현횟집,소통담당관 직원 및 관계자 총 6명,"85,000",제로 페이,
14,4. 13.,언론사 기자 간담회,광화문양갈비,소통담당관 직원 및 관계자 총 9명,"252,000",제로 페이,
15,4. 13.,항공촬영 관계자 간담회,웰빙칼국수,"직원 2, 관계자 4","61,000",제로 페이,
16,4. 14.,온실가스 감축 관련 홍보 간담회,차이나플레인 서울숲점,소통담당관 직원 및 관계자 총 6명,"110,000",제로 페이,
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법,
17,4. 14.,언론사 기자 취재 지원,둡,소통담당관 직원 및 관계자 총 6명,"144,000",제로 페이,
18,4. 14.,소상공인 세무 상담 서비스 관련 홍보 간담회,우리바다생태찌개,소통담당관 직원 및 관계자 총 4명,"33,000",제로 페이,
19,4. 15.,소식지 관련 회의,이돈집,담당자 등 총 4명,"22,500",제로 페이,
20,4. 18.,미디어보드 관계자 간담회,카페서울숲 성동구청점,"직원 4, 관계자 4","50,000",제로 페이,
21,4. 18.,성동포커스 관계자 간담회,푸른바다,"직원 3, 관계자 4","57,000",제로 페이,
22,4. 19.,찾아가는 자전거수리센터 운영 관련 홍보 간담회,나라구한닭 정통닭갈비,소통담당관 직원 및 관계자 총 6명,"66,000",제로 페이,
23,4. 20.,SNS 전자소통 활성화 간담회,화적단,담당자 등 총 4명,"31,600",제로 페이,
24,4. 21.,언론사 기자 간담회,고흥만,소통담당관 직원 및 관계자 총 7명,"156,000",제로 페이,
25,4. 21.,소식지 관련 회의,일품양평해장국,담당자 등 총 4명,"27,000",제로 페이,
26,4. 22.,SNS 전자소통 활성화 간담회,칸지고고 왕십리점,담당자 등 총 4명,"48,000",제로 페이,
27,4. 25.,언론사 기자 간담회,㈜바닷가작은부엌 덕수궁점,소통담당관 직원 및 관계자 총 7명,"168,000",제로 페이,
28,4. 27.,언론사 기자 취재 협의,"뚜리삼(산채향,흑돈)",소통담당관 직원 및 관계자 총 6명,"156,000",제로 페이,
29,4. 28.,성수수제화 공동판매장 입점업체 모집 관련 홍보 간담회,할아버지공장(주),소통담당관 직원 및 관계자 총 4명,"24,000",카드,
30,4. 29.,언론사 기자 간담회,양가,소통담당관 직원 및 관계자 총 8명,"190,000",제로 페이,
31,4. 29.,유튜브 제작 관계자 간담회,웰빙칼국수,"직원 2, 관계자 2","42,000",제로 페이,
32,4. 29.,성동50플러스센터 관련 홍보간담회,홍수계찜닭 왕십리민자역사점,소통담당관 직원 및 관계자 총 5명,"60,600",제로 페이,
