연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법,
1,1. 3.,코로나19 희망꾸러미 나눔 행사 관련 홍보 간담회,굴마을낙지촌 (왕십리점),직원 및 관계자 총 4명,"47,000",카드,
2,1. 5.,언론사 홍보 간담회,주)스타벅스커피 코리아,직원 및 관계자 총 4명,"18,500",카드,
3,1. 5.,성동구 안전보건경영 선포식 관련 홍보 간담회,홍수계찜닭 왕십리 민자역사점,직원 및 관계자 총 4명,"50,800",카드,
4,1. 6.,언론사 기자 현장행정 지원,바다잔치,직원 및 관계자 총 4명,"104,000",제로 페이,
5,1. 6.,성동구립합창단 유튜브 콘서트 관련 홍보 간담회,매드포갈릭 왕십리 비트플렉스점,직원 및 관계자 총 4명,"144,000",카드,
6,1. 7.,공공디자인 가이드라인 관련 홍보 간담회,차이나플레인 서울숲점,직원 및 관계자 총 4명,"80,000",제로 페이,
7,1. 10.,언론사 간담회,마르셀 광화문점,직원 및 관계자 총 4명,"140,000",카드,
8,1. 11.,언론사 기자 현장행정 지원,양가,직원 및 관계자 총 4명,"100,000",제로 페이,
9,1. 12.,위기가구 신고 포상금 지금 관련 홍보 간담회,포르시따,직원 및 관계자 총 4명,"56,600",제로 페이,
10,1. 13.,확진자 가족 안심숙소 운영 관련 홍보 간담회,매드포갈릭 왕십리 비트플렉스점,직원 및 관계자 총 4명,"90,600",카드,
11,1. 13.,인터넷방송국 유지보수 관계자 간담회,추선생,"직원 2, 관계자 2","48,000",카드,
12,1. 14.,소식지 표지 디자인 편집 회의,쭈피랑,담당자 등 3명,"36,000",제로 페이,
13,1. 17.,언론사 기자 현장행정 지원,연교,직원 및 관계자 총 6명,"89,000",제로 페이,
14,1. 17.,마장축산물시장 아케이드 공사 관련 홍보 간담회,왕십리통골뱅이,직원 및 관계자 총 4명,"47,000",제로 페이,
15,1. 17.,SNS 활성화 관련 간담회,칸지고고 왕십리점,담당자 등 총 4명,"46,000",카드,
16,1. 18.,카카오톡 지방세 환급서비스 홍보 간담회,굴마을낙지촌 (왕십리점),직원 및 관계자 총 5명,"42,000",제로 페이,
17,1. 20.,성동구 아트테리어 사업 관련 홍보 간담회,회동영덕막회,직원 및 관계자 총 5명,"100,000",제로 페이,
18,1. 20.,언론사 기자 취재 지원,탐앤탐스 무학여고점,직원 및 관계자 총 5명,"18,400",카드,
19,1. 21.,성동형 보육정책 관련 홍보 간담회,고깃집,직원 및 관계자 총 4명,"24,000",카드,
20,1. 21.,소식지 관련 회의,나라구한닭정통닭 갈비(왕십리점),담당자 등 총 5명,"68,000",제로 페이,
21,1. 24.,달라지는 복지제도 발간 관련 홍보 간담회,스타벅스 엔터식스점,직원 및 관계자 총 4명,"26,500",카드,
22,1. 24.,성동포커스 제작 관계자 간담회,에머이 왕십리점,"직원 2, 관계자 3","59,600",카드,
23,1. 25.,성동구 중대재해 디지털 안전보건 시스템 구축 홍보 간담회,프롬하츠 커피 앤 베이커리 (성동구청점),직원 및 관계자 총 5명,"31,000",제로 페이,
24,1. 26.,성동구 소형 스마트쉼터 관련 홍보 간담회,제주삼다돈,직원 및 관계자 총 5명,"90,000",제로 페이,
25,1.26,관내 혁신기업 활성화 방안 논의,한우와바다,정책개발전문관 등 6인,"222,000",제로 페이,
26,1. 26.,소식지 관련 회의 다과준비,㈜ 이코플러스,담당자 등 총 6명,"52,000",제로 페이,
27,1. 26.,SNS 활성화 관련 간담회,본도시락 왕십리점,담당자 등 총 5명,"47,000",카드,
28,1. 27.,언론사 기자 간담회,효창에프씨,직원 및 관계자 총 6명,"240,000",제로 페이,
29,1. 27.,중랑천 음악방송 제작 관계자 간담회,봉평골 메밀막국수,"직원 2, 관계자 2","41,000",카드,
30,1. 27.,언론사 기자 현장 취재 지원,이땔리면옥&곱떡,직원 및 관계자 총 4명,"32,300",제로 페이,
31,1.27,참좋은지방정부협의회 실무 간담회,차이나플레인여의도점,정책개발전문관 등 6인,"204,000",제로 페이,
32,1.28,성수동 구정 연구과제 발굴 시찰,텅플래니트,정책개발전문관 등 4인,"22,000",카드,
