연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,"집행
방법",
13,11.  10.,성동구     단풍길     홍보    간담회,오븐에     빠진   닭,"소통담당관 직원
및  관계자     총4명","56,500","제로
페이",
14,11.  10.,"용답역     디자인월 점등식
취재    지원",미도인  왕십리역사,"소통담당관직원
및  관계자     총   4명","59,900",카드,
15,11.  11.,"청소년     의제   발굴    토론회
관련간담회",한양짱분식,"소통담당관직원
및 관계자총  3명","20,000",카드,
16,11.  11.,"방송국     유지보수 관계자와
간담회",자금성,"소통담당관직원
및  관계자     총   6명","83,000","제로
페이",
17,11.  14.,용답역     철길    옹벽    새단장 홍보간담회,"꼬치있어
좋은날","소통담당관직원
및 관계자총 4명","89,000","제로
페이",
18,11.  14.,봉제업체 언론사  취재 지원,이디야커피,"소통담당관직원
및 관계자총  4명","14,500",제로 페이,
19,11. 14.,,하이포크생삼겹,,"22,000",,
20,11.  14.,전출입기자간담회,대원참숯구O],"소통담당관직원
및  관계자     총   7명","151,000",카드,
21,11.  15.,생명안전배움터 취재 지원,다현목포낙지,"소통담당관 직원
및  관계자     총   3명","25,000","제로
페이",
22,11.  15.,소식지     관련   회의,"포메인레드
왕십리점","소통담당관 직원
및 관계자 총  6명","60,000",카드,
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,"집행
방법",
23,11.  16.,"미디어보드 운영 관계자와
간담회","카페서울숲성동구-
청점","소통담당관직원
및  관계자    총   9명","50,000",제로 페이,
24,11.  16.,직원    대상   심폐소생술 교육 취재   지원,자금성,"홍보정책 전문관
등4인","47,000",제로 페이,
25,11.  17.,"안심거울 설치사업 관련
간담회",어메이 왕십리점,"소통담당관직원
및  관계자    총   6명","71,700","제로
페이",
26,11.  18.,서울시     출입기자 간담회,한우고집,"소통담당관직원
및  관계자     총  10명","275,100","제로
페이",
27,11.  18.,소식지     편집   회의,자금성,"소통담당관직원
및  관계자    총   5명","47,000",제로 페이,
28,11.  18.,회의    참석자용생수구매,턴이코플러스,"소통담당관직원
및  관계자     총   20명","28,800","제로
페이",
29,11.  21.,"음악방송제작관계자와
간담회","미도인
왕십리역사점곱창","소통담당관직원
및 관계자 총  6명","70,500",카드,
30,11.  23.,"주민참여형 도시계획 홍보
간담회","프롬하츠 커피앤
베이커리","소통담당관직원
및 관계자 총  4명","17,200","제로
페이",
31,11.  24.,"꿈의    오케스트라 정기연주회
홍보간담회",줄라이멧톰,"소통담당관직원
및 관계자총 3명","40,400","제로
페이",
32,11.  24.,아웃백     왕십리역사점,"아웃백
왕십리역사점","소통담당관 직원
및 관계자 총  5명","134,100",카드,
33,11.  25.,서울시     출입기자 간담회,최전방부대찌개,"소통담당관직원
및  관계자총4명","67,000",카드,
34,11.  28.,소식지     관련   회의,연교삼겹살,"소통담당관직원
및  관계자     총   5명","47,500","제로
페이",
35,11.  29.,중장년     돌봄인력 취재 지원,바리스터코난&라나,"소통담당관직원
및  관계자     총   3명","23,600","제로
페이",
36,11.  30.,"한파종합대책  추진  관련
간담회",곤스  Gon'  s,"소통담당관직원
및  관계자     총   5명","40,000","제로
페이",
37,11.  30.,"성동포커스 제작관계자와
간담회",카페서울숲,"소통담당관직원
및  관계자    총   9명","50,000",제로 페이,
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,,
"1
2",12.  1.,"야쿠르트배달원
복지위기가구 발굴 취재지원",홍수계찜닭,"소통담당관직원
및 관계자총  6명","80,600","제로
페이",
,12.  1.,,아리가또,6,"19,000",,
3,12.  1.,"국민정책디자인단 행안부
장관상     수상    관련    간담회",마포숯불갈Hl,"소통담당관직원
및   관계자     총   3명","47,000","제로
페이",
4,12.  2.,서울시     출입기자 간담회,수현회집,소통담당관직원 및  관계자    총   7명,"185,000","제로
페이",
5,12.  5.,"유튜브제작관계자와
간담회",담쟁이,소통담당관직원 및   관계자    총   5명,"58,000",제로 페이,
6,12.  6.,"시설소개영상 제작 관계자와
간담회",래래,소통담당관직원 및  관계자     총   7명,"100,000","제로
페이",
7,12.  6.,스마트흡연부스 취재지원,금녕곰탕,"소통담당관직원
및   관계자     총   7명","93,000","제로
페이",
8,12.  7.,SNS  전자소통 활성화간담회,하얀물고71,"소통담당관 직원
및  관계자     총   4명","36,000","제로
페이",
9,12.  9.,중랑천     음악방송제작 관계자와간담회,연교,"소통담당관직원
및 관계자 총  6명","67,500","제로
페이",
10,12.  9.,"취약계중 난방비 지원 홍보
간담회",하01포크생삼겹,소통담당관직원 및  관계자     총   3명,"22,000",제로 페이,
11,12.  13.,"대입   정시    설명회     관련
간담회",봉평골메밀막국수,"소통담당관직원
및  관계자     총   3명","34,000","제로
페이",
12,12.  13.,"성동포커스 제작관계자와
간담회",카페서울숲,"소통담당관 직원
및  관계자    총  10명","50,000","제로
페이",
13,12.  13.,SNS  채널    활성화     간담회,칸지고고,"소통담당관직원
및  관계자     총   4명","44,000","제로
페이",
14,12.  14.,"유튜브      영상    제작관계자와
간담회",고향산천,소통담당관직원 및   관계자    총   6명,"63,000","제로
페이",
15,12.  14.,"올해의     자치구상 수상 관련
간담회",호아빈,소통담당관직원 및  관계자    총   2명,"18,000",제로 페이,
16,12. 14.,"1인가구   성과공유회 관련
간담회",채선당,"소통담당관직원
및  관계자     총   5명","80,000","제로
페이",
17,12.  15.,"야쿠르트 배달차위기발굴
지원사업 현장 취재 지원",마포숯불갈비,"소통담당관직원
및 관계자총4명","55,000","제로
페이",
18,12.  15.,서울시     출입기자 간담회,회동영덕막회,"소통담당관직원
및  관계자     총   4명","70,000","제로
페이",
19,12.  15.,"필수노동자 방역물품 지원
관련간담회",일품백송칼국수,"소통담당관 직원
및 관계자총  4명","44,000",제로 페이,
20,12.  15.,"제설대책 영상  제작
관계자와 간담회",하동진,소통담당관직원 및 관계자 총  6명,"54,000",카드,
21,12.  16.,지식대상 대통령상 수상 관련간담회,써브웨이,소통담당관 직원 및 관계자총  4명,"39,200",카드,
22,12.  19.,전출입기자 간담회,"종로계림닭도리탕
왕십리점","소통담당관직원
및 관계자 총  6명","119,000","제로
페이",
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,,
23,12.  19.,서울시     출입기자 간담회,팔각도,"소통담당관 직원
및  관계자    총   8명","180,000",제로 페이,
24,12.  19.,ESG  성과보고회 현장취재 지원,남도집,"소통담당관직원
및  관계자     총  5명","59,000",제로 페이,
25,12.  20.,스마트      제설시스템 취재 지원,치킨팩토리,"소통담당관직원
및  관계자     총   4명","61,000",제로 페이,
26,12.  20.,전출입기자간담회,고기를품다,"소통담당관 직원
및  관계자     총   10명","276,000",제로 페이,
27,12.  21.,중랑천음악방송제작 참여자와간담회,다현목포낙지,"소통담당관직원
및 관계자총  3명","25,000",제로 페이,
28,12.  21.,"유튜브      영상    제작    관계자와
간담회",KFC왕십리역사,"소통담당관직원
및  관계자    총  4명","43,400",7}드,
29,12.  22.,착착성동 현장 취재 지원,나라구한닭 정통닭갈비,"소통담당관 직원
및 관계자총  3명","34,500",제로 페이,
30,12.  23.,결식우려 아동 지원 업무협약관련 간담회,스시도쿠,"소통담당관직원
및 관계자총 3명","59,700",제로 페이,
31,12.  23.,시각   · 청각장애인용 민원 단말기     설치    관련    간담회,하얀물고71,"소통담당관 직원
및  관계자     총   3명","40,000","제로
페이",
32,12.  23.,스마트스쿨존 현장    취재   지원,서울왕돈가스,"소통담당관 직원
및  관계자    총   5명","57,000",카드,
33,12.  23.,"성동포커스 제작관계자와
간담회",카페서울숲,"소통담당관직원
및  관계자     총   4명","9,000",제로 페이,
34,12.  23.,"성동포커스 제작참여자와
간담회",신기옻닭,"소통담당관 직원
및  관계자     총   6명","82,000","제로
페이",
35,12.  26.,"응봉초      안전통학로
현장    취재   지원",심재 응봉,"소통담당관직원
및  관계자     총  3명","30,500",카드,
36,12.  26.,소식지     관련    회의,카페서울숲 성동구청점,"소통담당관직원
및 관계자총 3명","5,300","제로
페이",
37,12.  28.,출산가정 산후조리비 지원 관련간담회,하01포크생삼겹,"소통담당관직원
및 관계자총  4명","30,000",카드,
38,12.  28.,응봉산      해맞이     축제    관련 간담회,시골동태찌개,"소통담당관직원
및  관계자     총   3명","29,000",카드,
39,12.  29.,서울시      출입기자간담회,한우와l:l}다,"소통담당관직원
및  관계자     총   10명","300,000",카드,
40,12.  29.,SNS  전자소통 활성화간담회,곤스  Gan'  s,"소통담당관직원
및  관계자    총  5명","44,000",7}드,
41,12.  29.,SNS  전자소통 활성화간담회,카페서울숲 성동구청점,"소통담당관직원
및 관계자총 5명","15,600",7}드,
42,12.  30.,인터넷방송국 기자단 간담회,카페서울숲,"소통담당관 직원
및  관계자  총  11명","100,000",카드,
43,12.  30.,인터넷방송국 기자단 간담회,연교삼겹살,"소통담당관 직원
및  관계자     총   11명","200,000",카드,
44,12.  30.,인터넷방송국 기자단 간담회,카페서울숲,"소통담당관 직원
및  관계자     총   11명","100,000",카드,
"45
겁
l
47",12.  30.,공중화장실 비상벨설치 관련간담회,행복떡볶이,"소통담당관직원
및  관계자   총  4명","18,500",7}드,
,12.  30.,,카페서울숲,2,"7,760",,
,12.  30.,,7}0}로강정,2,"2,500",,
48,12.  30.,전출입기자간담회,담쟁이,"소통담당관직원
및  관계자     총   14명","200,000",카드,
