연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,"집행
방법",
1,9.  1.,"iptv  유지보수 관계자와
간담회",더진국   한양대점,소통담당관 직원 및 관계자총  7명,"46,500",제로 페이,
2,9.  1.,,아리가또,7,"18,500",,
3,9.  1.,투명페트병  분리배출 취재    지원,통통식당,소통담당관 직원 및  관계자    총   5명,"78,000",제로 페이,
4,9.  2.,서울시     출입기자 간담회,키라키라윤,소통담당관 직원 및  관계자    총   6명,"148,000",카드,
5,9.  5.,인터뷰      관련    취재    지원,카페서울숲 성동구청점,소통담당관 직원 및 관계자총  2명,"5,000",제로 페이,
6,9.  5.,서울시      출입기자 간담회,남도집,소통담당관 직원 및  관계자    총   5명,"119,000",제로 페이,
7,9.  6.,지식산업센터 네트워크 간담회     취재    지원,커피엔진,소통담당관 직원 및  관계자    총   5명,"24,500",제로 페이,
8,9.  7.,추석맞이 나눔행사 취재    지원,나라구한닭 정통닭갈비,소통담당관 직원 및 관계자총  4명,"47,500",제로 페이,
9,9.  7.,로고라이트설치  현장 취재    지원,구룡포계절횟집,소통담당관직원 및  관계자    총   3명,"81,000",카드,
10,9.  7.,삼표레미콘  공장  폐업 관련    기자    간담회,백만원식당,소통담당관 직원 및  관계자    총   4명,"94,000",제로 페이,
11,9.  7.,홍보정책 연구조사 실무 간담회,충무집,홍보정책 전문관 외  5인,"137,000",카드,
12,9.  8.,SNS  활성화      관련    간담회,스마일(SMILE),소통담당관 직원 및  관계자    총   4명,"27,700",제로 페이,
13,9.  13.,소식지     표지    디자인 편집    회의,오븐에     빠진    닭,소통담당관 직원 및  관계자    총   8명,"158,500",제로 페이,
14,9. 14.,찾아가는 자전거 수리 취재   지원,목포홍탁,소통담당관 직원 및  관계자    총   4명,"98,000",카드,
15,9.  14.,"참좋은지방정부협의회
홍보    실무    간담회",스케줄성수점,"홍보정책 전문관
외  3인","82,000",카드,
16,9.  15.,초등학교 안전점검 취재   지원,포메인,소통담당관 직원 및  관계자    총   3명,"41,500",제로 페이,
17,9.  19.,SNS  전자소통  활성화 간담회      다과    준비,쯤)이코플러스,소통담당관 직원 및  관계자    총   5명,"28,800",제로 페이,
18,9.  19.,생활밀착의  날  행사 홍보간담회,달셰프,소통담당관 직원 및 관계자총 5명,"80,000",제로 페이,
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,"집행
방법",
19,9.  19.,"주간보호센터 개소
홍보간담회",우리바다생태찌개,소통담당관직원 및 관계자총 5명,"80,000",제로 페이,
20,9.  20.,"SNS  전자소통  활성화
간담회",까페 아띠,소통담당관직원 및   관계자     총   4명,"20,500",제로 페이,
21,9.  22.,"성동지식대학  개강
홍보     간담회",한양짱분식,"소통담당관직원
및   관계자    총   3명","23,500","제로
페이",
22,9.  22.,"산사태     취약    점검
홍보간담회",먹거리장터2,"소통담당관 직원
및 관계자총 4명","78,000",제로 페이,
23,9.  22.,"성동포커스 기자단과
간담회",삼원해천탕,소통담당관직원 및  관계자    총   7명,"148,000",카드,
24,9.  23.,성동구민기자단 간담회,장이네해물칼국수,소통담당관직원 및 관계자총  20명,"274,000",카드,
25,9.  23.,"여행이      보이는      라디오
홍보간담회",두꺼비식당,"소통담당관직원
및 관계자총 5명","73,000",제로 페이,
26,9.  24.,"성동공유센터  리페어카페
취재    지원",이디야커피,소통담당관직원 및  관계자    총   3명,"21,400","제로
페이",
27,9.  26.,중랑천     음악방송 진행 관계자와 간담회,카페서울숲,소통담당관직원 및 관계자 총  10명,"50,000",제로 페이,
28,9.  26.,"원플러스원 사업
홍보간담회",육쌈냉면,소통담당관직원 및 관계자총 3명,"26,000",제로 페이,
29,9.  26.,성동시네마위크 홍보간담회,스무날,소통담당관직원 및 관계자총 4명,"70,000",제로 페이,
30,9.  26.,서울시      출입기자 간담회,른L소,소통담당관직원 및  관계자    총   6명,"158,000",카드,
31,9.  27.,북토크      현장    취재    지원,반가온,소통담당관직원 및  관계자    총   6명,"75,000","제로
페이",
32,9.  28.,주차공유협 약 홍보  간담회,플레이그라운드,소통담당관직원 및 관계자총 4명,"11,600",카드,
33,9.  28.,,전풍호텔라운지,4,"32,000",제로 페이,
34,9.  28.,민 · 관·  경   업무협약 취재    지원,나라구한닭 정통닭갈비,소통담당관직원 및 관계자총  3명,"34,500",제로 페이,
35,9.  28.,"성수동구정 연구과제
발굴논의",본죽경복궁점,"홍보정책 전문관
등2인","19,000",카드,
36,9.  28.,구정   주요정책 홍보  관련 논의,내자상회,"용보성잭 전문관
둥3인","12,000",카드,
37,9.  30.,서울시      출입기자 간담회,바닷가작은부엌,소통담당관 직원 및  관계자    총   8명,"197,000","제로
페이",
