연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법,
1,6. 2.,스마트쉼터 실종아동홍보 등 성동 생활밀착 아이디어 관련 홍보 간담회,명가통닭,소통담당관 직원 및 관계자 총 6명,"75,000",제로 페이,
2,6. 2.,언론사 기자 간담회,심가네 (효창에프씨),소통담당관 직원 및 관계자 총 9명,"225,000",제로 페이,
3,6. 2.,음식물류 폐기물 수거용기 세척서비스 관련 홍보 간담회,끄트머리집,소통담당관 직원 및 관계자 총 5명,"50,300",제로 페이,
4,6. 3.,생계형 서민체납자 경제적 회생 지원 관련 홍보 간담회,일품양평해장국,소통담당관 직원 및 관계자 총 6명,"79,000",제로 페이,
5,6. 3.,언론사 기자 취재 지원 및 홍보 간담회,왕십리육감식당,소통담당관 직원 및 관계자 총 8명,"182,000",제로 페이,
6,6. 7.,언론사 현장 취재 지원 및 기자 간담회,수현회집,소통담당관 직원 및 관계자 총 7명,"116,000",제로 페이,
7,6. 7.,성동50플러스센터 프로그램 진행 관련 홍보 간담회,화적단,소통담당관 직원 및 관계자 총 4명,"36,600",제로 페이,
8,6. 7.,소식지 관련 회의,한양대 철남,담당자 등 총 4명,"34,000",제로 페이,
9,6. 7.,임산부케어존 조성 관련 홍보 간담회,카페서울숲 성동구청점,소통담당관 직원 및 관계자 총 7명,"50,000",제로 페이,
10,6. 7.,인터넷방송국 유지보수 관계자 간담회,래래,"직우너 2, 관계자 2","100,000",제로 페이,
11,6. 8.,우리동네 아트테리어 사업 관련 홍보 간담회,돈구어,소통담당관 직원 및 관계자 총 7명,"116,000",제로 페이,
12,6. 8.,성동형 공공배달앱 도입 관련 홍보 간담회,포르시따,소통담당관 직원 및 관계자 총 6명,"93,800",제로 페이,
13,6. 9.,두모포 페스티벌 개최 관련 홍보 간담회,추선생,소통담당관 직원 및 관계자 총 5명,"42,000",제로 페이,
14,6. 9.,미디어보드 관계자 간담회,연교,"직원 1, 관계자 1","19,000",제로 페이,
15,6. 9.,SNS 전자소통 활성화 관련 간담회,금녕곰탕,담당자 등 총 4명,"52,000",제로 페이,
16,6. 9.,드림스타트 사회성향상 프로그램 관련 홍보 간담회,회동영덕막회,소통담당관 직원 및 관계자 총 6명,"71,000",제로 페이,
17,6. 10.,언론사 기자 간담회,구이구이,소통담당관 직원 및 관계자 총 7명,"102,000",제로 페이,
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법,
18,6. 10.,언론사 기자 취재 협의,옥이네,소통담당관 직원 및 관계자 총 6명,"119,000",제로 페이,
19,6. 13.,소식지 관련 회의,쭈피랑,담당자 등 총 5명,"59,000",제로 페이,
20,6. 14.,언론사 기자 현장 취재 지원,나마스떼 왕십리점,소통담당관 직원 및 관계자 총 6명,"104,000",제로 페이,
21,6. 14.,중랑천음악방송 관계자 간담회,포메인 왕십리점,"직원 3, 관계자 3","82,500",제로 페이,
22,6. 15.,살곶이 물놀이장 개장 관련 홍보 간담회,두꺼비식당,소통담당관 직원 및 관계자 총 5명,"57,000",제로 페이,
23,6. 15.,SNS 전자소통 활성화 관련 간담회,동막골,담당자 등 총 5명,"35,000",제로 페이,
24,6. 16.,언론사 취재 지원 및 기자단 간담회,한우와바다,소통담당관 직원 및 관계자 총 12명,"340,000",제로 페이,
25,6. 17.,항공촬영 관계자 간담회,카페서울숲 성동구청점,"직원 3, 관계자 5","50,000",제로 페이,
26,6. 17.,IPTV 운영 관계자 간담회,더팔당 왕십리점,"직원 2, 관계자 3","56,000",제로 페이,
27,6. 20.,구민기자단 월례회의 다과 준비,㈜이코플러스 마트,구민기자단 총 26명,"21,500",제로 페이,
28,6. 20.,저소득층 긴급 생활지원금 지급 관련 홍보 간담회,우리바다생태찌개,소통담당관 직원 및 관계자 총 6명,"64,000",제로 페이,
29,6. 20.,정오의 문화공연 관련 홍보 간담회,쭈피랑,소통담당관 직원 및 관계자 총 5명,"56,000",제로 페이,
30,6. 21.,청소년 전문심리치료 상담,베네토피자,소통담당관 직원 및 관계자 총 3명,"11,200",제로 페이,
31,6. 21.,SNS 전자소통 활성화 관련 간담회,연교,담당자 등 총 5명,"48,500",제로 페이,
32,6. 22.,언론사 기자 간담회,수현회집,소통담당관 직원 및 관계자 총 8명,"162,000",제로 페이,
33,6. 23.,특수폐기물 수거함 제작·전달 관련 홍보 간담회,추선생,소통담당관 직원 및 관계자 총 4명,"32,000",제로 페이,
34,6. 24.,마장축산물시장 아케이드 공사 준공 관련 홍보 간담회,먹어봐 뒷고기,소통담당관 직원 및 관계자 총 6명,"92,000",제로 페이,
35,6. 24.,SNS 전자소통 활성화 관련 간담회,바리스터 코난&라나,담당자 등 총 4명,"18,800",제로 페이,
36,6. 27.,언론사 기자 취재 지원,도담치킨,소통담당관 직원 및 관계자 총 5명,"72,800",제로 페이,
37,6. 28.,적극행정 사전컨설팅 관련 홍보 간담회,추선생,소통담당관 직원 및 관계자 총 4명,"32,000",제로 페이,
연번,집행일,집행목적,집행장소,집행대상(인원),집행금액,집행 방법,
38,6. 28.,소식지 관련 회의,전주콩나물 처가국밥,담당자 등 총 4명,"28,000",카드,
39,6. 29.,성동열린음악회 관련 홍보 간담회,삼청동샤브 왕십리역점,소통담당관 직원 및 관계자 총 4명,"55,600",제로 페이,
40,6. 30.,SNS 전자소통 활성화 관련 간담회,칸지고고 왕십리점,담당자 등 총 3명,"33,000",제로 페이,
