사용일자,가맹점,집행액,대상인원
2022-06-10,김영모(강남구청점),"28,500",4
2022-06-10,피자알볼로,"239,000",20
2022-06-14,화평,"63,000",3
2022-06-14,포메인 강남구청역점,"65,500",5
2022-06-14,대범천,"114,500",10
2022-06-16,화평,"40,000",4
2022-06-17,성북동청국장,"65,000",5
2022-06-17,이곧,"96,000",4
2022-06-21,깐부치킨 청담본점,"41,000",4
2022-06-22,이디야커피,"22,400",4
2022-06-23,어닝서프라이즈 청담테라스,"24,000",3
2022-06-24,삼성국수,"99,000",8
2022-06-28,토말,"115,000",10
2022-06-28,뚜레주르,"29,600",5
2022-06-29,INEXHALE,"11,600",4
2022-06-30,시민제과,"26,000",5
2022-07-29,스타벅스,"46,900",9
2022-07-28,성인 문구,"775,600",28
2022-07-27,으뜸청담맛집,"48,000",5
2022-07-26,하남돼지집,"117,000",5
2022-07-26,카페싸이공,"58,000",3
2022-07-26,,"575,000",250
2022-07-25,노브랜드,249370,28
2022-07-25,오시리,249370,28
2022-07-25,스시백,"56,000",4
2022-07-22,파스쿠찌,"24,700",4
2022-07-21,아이수마,"138,000",6
2022-07-21,강정이넘치는집,"56,500",7
2022-07-20,커스텀커피,"27,500",5
2022-07-19,봉평본가메밀촌,"52,000",4
2022-07-19,기기커피,"11,500",3
2022-07-19,이디야 강남구청역,"13,800",4
2022-07-18,흑돈가,"239,000",10
2022-07-15,이심전심,"82,000",6
2022-07-15,GS25 서초타운점,"18,000",4
2022-07-14,공이집,"100,000",6
2022-07-14,씨엘드 프랑스,"18,800",6
2022-07-11,당크디자인하우스,"135,000",4
2022-07-11,청담반점,"59,000",6
2022-07-08,산낙지 갯마을,"130,000",8
2022-07-07,완산골명가,"37,000",4
2022-07-06,서울점심,"51,200",5
2022-07-05,학산 테라로사,"51,800",8
2022-07-04,고수청담점,"125,000",4
2022-07-04,학산 테라로사,"29,600",5
2022-07-04,영풍문고,"18,000",28
2022-08-26,주식회사 벽제갈비,"117,000",6
2022-08-26,커스텀커피,"47,500",9
2022-08-24,노브랜드,"19,960",27
2022-08-24,성인사,"889,000",27
2022-08-24,오시리 주식회사,"292,740",27
2022-08-22,스몰글라스 오브제,"21,500",4
2022-08-22,요거트맨,"27,000",8
2022-08-22,주식회사 벽제갈비,"134,000",7
2022-08-17,노브랜드,"29,940",27
2022-08-12,전광수 커피하우스,"47,000",8
2022-08-12,모우정,"110,000",10
2022-08-10,자담치킨,"27,000",4
2022-08-10,긴자,"266,000",12
2022-08-09,신청생태전문점,"179,000",8
2022-08-09,씨엘드 프랑스,"41,400",8
2022-08-08,아워홈 강남구청점,"13,620",7
2022-08-05,카페싸이공,"55,000",6
2022-08-02,디오니스,"77,000",5
2022-08-02,으뜸청담맛집,"60,000",5
2022-08-02,37.5 청담,"81,100",6
2022-08-01,돈블랑,"175,000",8
2022-08-01,팁스스퀘어유캔스타트,"43,500",15
2022-09-30,전광수 커피하우스,"19,100",4
2022-09-30,모우정,"57,000",6
2022-09-30,한무쇼핑(주)무역센터현대백화점,"87,300",6
2022-09-28,주식회사  벽제갈비,"129,000",8
2022-09-27,바르다 김선생 강남구청점,"28,400",6
2022-09-27,청담웰텀센터,"11,500",4
2022-09-26,메가라운지,"25,000",6
2022-09-26,낭풍,"67,500",8
2022-09-26,오시리 주식회사,"312,810",21
2022-09-26,성인사,"898,000",21
2022-09-23,산들섬 팔도비빔밥,"38,000",3
2022-09-20,스타벅스,"24,900",5
2022-09-15,필스너하우스청담점,"149,800",8
2022-09-15,이선옥청담떡방,"16,700",4
2022-09-15,주식회사  벽제갈비,"229,000",8
2022-09-14,노브랜드,"35,960",21
2022-09-08,스몰글라스 오브제,"30,000",5
2022-09-05,국대오리,"51,000",4
