2022-08-01,생태찌게전문,6,"101,000"
2022-08-01,세인트바츠,5,"18,600"
2022-08-01,하모니마트(구의점),포장,"93,000"
2022-08-02,풍성식당,6,"80,000"
2022-08-03,스타벅스코리아,1,"20,000"
2022-08-03,제이제이카페,5,"18,500"
2022-08-03,지에스25광진시티점,5,"8,700"
2022-08-03,투썸플레이스 구의역,2,"9,600"
2022-08-04,지에스25 광진타워점,5,"7,750"
2022-08-04,원할머니보쌈,6,"66,000"
2022-08-04,투썸플레이스 구의역,6,"27,000"
2022-08-08,의정부정통부대찌개,6,"61,000"
2022-08-08,제이제이카페,6,"25,700"
2022-08-08,양촌리생삼겹살,3,"58,000"
2022-08-09,비커피(BCOFFEE),5,"15,750"
2022-08-09,내고향식당,8,"120,000"
2022-08-09,카페프렌즈,4,"31,700"
2022-08-09,내고향식당,5,"83,000"
2022-08-09,파리바게뜨（광진구,5,"54,200"
2022-08-11,보승회관,8,"78,000"
2022-08-11,커피베이구의점,4,"14,200"
2022-08-11,은행나무집,6,"148,000"
2022-08-11,서북면옥,4,"60,000"
2022-08-12,삼백집건대점,5,"49,500"
2022-08-18,육광숙성삼겹살 묵은,5,"68,000"
2022-08-18,파리바게뜨（광진구,3,"16,500"
2022-08-18,(주)대도캐터링,5,"115,000"
2022-08-19,삼백집건대점,3,"27,500"
2022-08-19,하동우렁추어탕,3,"41,000"
2022-08-22,고공 구의점,2,"13,000"
2022-08-23,광나루남원추어탕,5,"73,000"
2022-08-24,송쉐프 구의점,5,"82,000"
2022-08-25,여의도생고기자양점,4,"37,000"
2022-08-26,던킨도너츠,2,"5,200"
2022-08-26,웃는돌참치,3,"30,000"
2022-08-26,마루샤브구의점,7,"138,600"
2022-08-30,풍성식당,6,"80,000"
2022-08-30,참토우,6,"150,000"
2022-08-31,고향집,3,"68,000"
2022-08-01,컴포즈커피(자양하늘채점),1,"30,000"
2022-08-23,신선설농탕 자양점,4,"50,000"
