2022년 12월 행정관리국 및 총무과 업무추진비 사용내역,,,,,,,
1. 2022년 업무추진비 사용현황,,,,,,,
가. 총괄,,,,,,,
(단위:원),,,,,,,
예산액(A),집행금액(B),잔액(A-B),집행률,비고,,,
"81,530,000","57,163,280","24,366,720",70.11%,,,,
나.월별 사용현황,,,,,,,
(단위:원),,,,,,,
구분,건수(건),집행금액,비고,,,,
계,423,"57,163,280",,,,,
1월,24,"2,101,200",,,,,
2월,27,"2,631,000",,,,,
3월,31,"3,698,240",,,,,
4월,40,"5,421,800",,,,,
5월,44,"6,657,060",,,,,
6월,43,"5,730,190",,,,,
7월,44,"7,315,640",,,,,
8월,45,"4,013,980",,,,,
9월,32,"4,816,200",,,,,
10월,25,"3,112,740",,,,,
11월,34,"5,005,200",,,,,
12월,34,"6,660,030",,,,,
2. 유형별 사용현황,,,,,,,
,(단위:원),,,,,,
구분,주요정책 추진관련,"위문, 격려 및 직원사기 등",유관기관 업무협의 및 간담회비 등,기타운영비,계,,
집행액,"367,500",0,"5,639,600","652,930","6,660,030",,
3. 업무추진비 사용내역,,,,,,,
,"(단위: 명, 원)",,,,,,
사용자,일시,장소,집행목적,대상인원수,금액,결제방법,비목
총무과,"2022-12-02
(08:55:38)",ＳＳＧ．ＣＯＭ,민원응대 및 회의용 음료 및 다과 구매,-,"95,030",카드,"시책추진업무
추진비"
총무과,"2022-12-02
(19:56:19)","본토박이한우백
화점",구청사 보안관련 점검 업무협의,7,"134,000",카드,"시책추진업무
추진비"
총무과,"2022-12-05
(12:43:28)","커피１０１스트
릿（옥",석면철거 공사 관련 회의(포장),-,"21,000",카드,"시책추진업무
추진비"
총무과,"2022-12-06
(12:40:55)","참조은순대국전
문점",정례회 추진관련 업무협의,4,"54,000",카드,"시책추진업무
추진비"
총무과,"2022-12-06
(19:36:03)",종로김밥,조직개편 관련 의견수렴 및 업무협의(포장),-,"247,500",카드,"시책추진업무
추진비"
총무과,"2022-12-07
(20:23:31)","서울안심축산정
육식당",공용주차장 운영 방안 업무협의,14,"237,000",카드,"시책추진업무
추진비"
총무과,"2022-12-08
(12:42:53)",정육식당,청사 은행사무실 운영방안 협의,7,"119,000",카드,"시책추진업무
추진비"
총무과,"2022-12-08
(15:18:42)",한국야쿠르트,회의개최용 음료 구매,-,"42,300",카드,"시책추진업무
추진비"
총무과,"2022-12-08
(20:25:06)","서울안심축산정
육식당",구청사 환경정비 관련 부서협의,11,"170,000",카드,"시책추진업무
추진비"
총무과,"2022-12-09
(12:28:53)",만복영양솥밥,전기차 충전시설 설치 관련 업무협의,12,"120,000",카드,"시책추진업무
추진비"
행정관리국,"2022-12-09
(13:07)",깊은바다,구로자원순환센터 중대재해 관련 협의,8,"80,000",카드,"시책추진업무
추진비"
총무과,"2022-12-09
(18:58:39)",경북상회,구청사 환경정비 관련 부서협의,15,"205,000",카드,"시책추진업무
추진비"
총무과,"2022-12-12
(12:40:15)",팥이야기,숙직  및 보안 업무 관련 부서협의,9,"97,000",카드,"시책추진업무
추진비"
총무과,"2022-12-13
(11:11:13)",갈비명가,행정지원실 운영관련 협의,12,"200,000",카드,"시책추진업무
추진비"
총무과,"2022-12-15
(19:12:47)",종로김밥,청사 재배치 공사 관련 회의(포장),-,"200,500",카드,"시책추진업무
추진비"
