2022년 9월 행정관리국 및 총무과 업무추진비 사용내역,,,,,,,
1. 2022년 업무추진비 사용현황,,,,,,,
가. 총괄,,,,,,,
(단위:원),,,,,,,
예산액(A),집행금액(B),잔액(A-B),집행률,비고,,,
"81,530,000","42,385,310","39,144,690",51.99%,,,,
나.월별 사용현황,,,,,,,
(단위:원),,,,,,,
구분,건수(건),집행금액,비고,,,,
계,330,"42,385,310",,,,,
1월,24,"2,101,200",,,,,
2월,27,"2,631,000",,,,,
3월,31,"3,698,240",,,,,
4월,40,"5,421,800",,,,,
5월,44,"6,657,060",,,,,
6월,43,"5,730,190",,,,,
7월,44,"7,315,640",,,,,
8월,45,"4,013,980",,,,,
9월,32,"4,816,200",,,,,
2. 유형별 사용현황,,,,,,,
,(단위:원),,,,,,
구분,주요정책 추진관련,"위문, 격려 및 직원사기 등",유관기관 업무협의 및 간담회비 등,기타운영비,계,,
집행액,"538,300",0,"3,352,200","925,700","4,816,200",,
3. 업무추진비 사용내역,,,,,,,
,"(단위: 명, 원)",,,,,,
사용자,일시,장소,집행목적,대상인원수,금액,결제방법,비목
행정관리국,"2022-09-01
(12:35)",아구랑낙지랑,직원친절교육 운영 등 업무협의,12,"338,000",카드,"시책추진업무
추진비"
총무과,"2022-09-05
(15:49)",한국야쿠르트,내방민원 응대용 다과 구매,-,"30,000",카드,"시책추진업무
추진비"
총무과,"2022-09-05
(19:38)","본도시락?구로
역점",추석비상근무 관련 협의(포장),-,"94,600",카드,"시책추진업무
추진비"
총무과,"2022-09-06
(12:46)",컴포,숙직 및 보안 업무개선 관련 부서협의,6,"69,000",카드,"시책추진업무
추진비"
총무과,"2022-09-06
(21:57)",오류골,구로G페스티벌 추진관련 업무협의,4,"109,000",카드,"시책추진업무
추진비"
총무과,"2022-09-07
(12:44)",등촌칼국수,구청사 환경정비 관련 부서협의,6,"87,000",카드,"시책추진업무
추진비"
총무과,"2022-09-07
(19:03)","본도시락?구로
역점",수해모금액 전달식 등 업무협의(포장),-,"138,100",카드,"시책추진업무
추진비"
총무과,"2022-09-07
(20:57)","조선갈비실록
구로점",동순방 관련 의견청취,11,"275,000",카드,"시책추진업무
추진비"
총무과,"2022-09-08
(18:40)","서울안심축산정
육식당",직원 민원응대교육 추진관련 업무협의,9,"195,000",카드,"시책추진업무
추진비"
총무과,"2022-09-14
(20:39)",굴다리집,연중휴양소 운영 방안 협의,18,"263,000",카드,"시책추진업무
추진비"
총무과,"2022-09-15
(12:35)","인창해물섞어탕
찜",구청사 석면공사 업체 현장 협의,6,"73,000",카드,"시책추진업무
추진비"
행정관리국,"2022-09-15
(13:04)",동해해물탕,동순방 관련 업무 협의 및 의견청취,3,"48,000",카드,"시책추진업무
추진비"
총무과,"2022-09-15
(20:10)",궁전기와집,청사 출입문 공사 관련 업무협의,7,"82,000",카드,"시책추진업무
추진비"
총무과,"2022-09-15
(20:53)",한우식당,조직개편관련 부서 협의,11,"246,000",카드,"시책추진업무
추진비"
총무과,"2022-09-16
(12:02)",하루,구청사 환경정비 관련 부서협의,5,"55,000",카드,"시책추진업무
추진비"
총무과,"2022-09-16
(16:50)",중앙ｅ마트,민원응대 및 회의용 음료 및 다과 구매,-,"700,700",카드,"시책추진업무
추진비"
총무과,"2022-09-19
(12:50)","늘푸른채샤브샤
브",G페스티벌 의전관련 부서협의,7,"108,000",카드,"시책추진업무
추진비"
행정관리국,"2022-09-20
(12:34)",아구랑낙지랑,신규자 직원교육 운영 등 업무협의,11,"240,000",카드,"시책추진업무
추진비"
총무과,"2022-09-20
(12:36)","서울국수?구로
점",구청사 시설보수 현안 협의,7,"65,000",카드,"시책추진업무
추진비"
총무과,"2022-09-20
(12:46)","카페?마루?공
방",구로G페스티벌 추진상황 관련 의견수렴,4,"20,000",카드,"시책추진업무
추진비"
총무과,"2022-09-20
(19:07)",종로김밥,추경예산 관련 업무 협의(포장),-,"209,500",카드,"시책추진업무
추진비"
행정관리국,"2022-09-21
(19:39)",신마포갈비,청사 지하실 공사 관련 업무협의,6,"98,000",카드,"시책추진업무
추진비"
행정관리국,"2022-09-22
(16:30)","본도시락?구로
역점",G페스티벌 의전관련 부서협의(포장),-,"46,300",카드,"시책추진업무
추진비"
총무과,"2022-09-26
(12:31)",갈비명가,연중휴양소 운영 방안 협의,12,"229,000",카드,"시책추진업무
추진비"
총무과,"2022-09-26
(21:01)",이실이네,구로G페스티벌 추진보고회 관련 업무협의,10,"246,000",카드,"시책추진업무
추진비"
총무과,"2022-09-27
(19:18)",깊은바다,구청사 시설보수공사 관련 현안 협의,6,"63,000",카드,"시책추진업무
추진비"
총무과,"2022-09-28
(20:23)",선운산민물장어,조직개편관련 부서 협의,8,"193,000",카드,"시책추진업무
추진비"
총무과,"2022-09-29
(12:28)","인창해물섞어탕
찜",행정사무감사 관련 업무협의,8,"86,000",카드,"시책추진업무
추진비"
행정관리국,"2022-09-29
(12:28)",굴다리집,청사 정밀안전진단 관련 부서협의,4,"40,000",카드,"시책추진업무
추진비"
총무과,"2022-09-29
(20:45)",장군주먹고기,조직개편관련 청사 운영방안 협의,13,"230,000",카드,"시책추진업무
추진비"
총무과,"2022-09-30
(12:18)",생선전문점명가,생활체육교실 운영관련 업무협의,3,"22,000",카드,"시책추진업무
추진비"
총무과,"2022-09-30
(21:52)",오사카로,청사 정밀안전진단 용역 관련 업무협의,6,"117,000",카드,"시책추진업무
추진비"
