사용일자,인원,금액,장소
2022-03-10,굴다리집,4,"108,000"
2022-03-11,"주식회사현대백화
점디",-,"125,000"
2022-03-14,"라크라센타커피앤
컴퍼",5,"102,240"
2022-03-14,굴다리집,5,"120,000"
2022-03-14,써니주분,5,"23,000"
2022-03-14,"투썸플레이스 구
로구",-,"31,000"
2022-03-15,황소곱창,5,"131,000"
2022-03-16,진미명가,4,"80,000"
2022-03-16,"풍천참숯불즉석장
어구",6,"160,000"
2022-03-17,카페 사월,-,"32,100"
2022-03-17,"복먹고복받고（구
로점",5,"99,000"
2022-03-18,"본도시락 구로역
점",-,"102,400"
2022-03-18,"풍천참숯불즉석장
어구",6,"125,000"
2022-03-21,스시히라,-,"114,000"
2022-03-22,실크로드 송림가,8,"192,000"
2022-03-22,한우식당,8,196000
2022-03-24,중앙ｅ마트,-,"267,000"
2022-03-25,굴다리집,4,"84,000"
2022-03-28,바다목장,6,"134,000"
2022-03-29,특미순대국,6,"80,000"
2022-03-29,천왕산책쉼터,4,"17,000"
2022-03-30,공간장어,4,"82,000"
2022-03-31,소우주,3,"54,000"
2022-03-14,김밥나라,-,"60,500"
2022-03-16,갈비명가,6,"152,000"
2022-03-23,제주도,5,"106,000"
2022-03-25,동궁찜닭(구로점),6,"121,000"
2022-03-24,굴다리집,8,"212,000"
2022-04-01,아구랑낙지랑,7,"132,000"
2022-04-01,맛닭꼬,-,"31,900"
2022-04-04,한국야쿠르트,-,"44,000"
2022-04-04,"조선갈비실록?구
로점",8,"190,000"
2022-04-05,팥이야기,-,"20,000"
2022-04-07,"라크라센타커피앤
컴퍼",9,"204,000"
2022-04-07,"서울안심축산정육
식당",7,"235,000"
2022-04-08,갑자기,-,"62,200"
2022-04-08,궁원복집,8,"182,000"
2022-04-11,"냉정과?열정?사
이",4,"20,000"
2022-04-11,본만두,10,"226,000"
2022-04-12,"참조은순대국전문
점",10,"289,000"
2022-04-12,골뱅이창,10,"288,000"
2022-04-14,콩뿌리（계림원）,-,"21,000"
2022-04-14,본만두,9,"108,000"
2022-04-14,"라크라센타커피앤
컴퍼",5,"139,500"
2022-04-15,올댓파스타,8,"93,500"
2022-04-15,"서울안심축산정육
식당",8,"192,000"
2022-04-15,굴다리집,6,"159,000"
2022-04-18,황태뚝배기칼국수,4,"31,000"
2022-04-18,굴다리집,7,"168,000"
2022-04-18,오사카로,6,"147,000"
2022-04-19,청해식당,8,"233,000"
2022-04-20,내고향식당,4,"78,000"
2022-04-20,갈비명가,10,"228,000"
2022-04-21,골뱅이창,8,"224,000"
2022-04-22,가마솥밥상,6,"86,000"
2022-04-22,황태뚝배기칼국수,12,"230,000"
2022-04-25,이조손칼국수,3,"24,000"
2022-04-26,만나본가,6,"172,000"
2022-04-26,제주도,10,"195,000"
2022-04-26,훔친장어,8,"200,000"
2022-04-26,두우리수산,6,"151,000"
2022-04-28,본만두,4,"60,000"
2022-04-28,카페?피카,3,"18,000"
2022-04-28,오비스트로,8,"107,500"
2022-04-28,신마포갈비,7,"240,000"
2022-04-29,"더알리오（ｔｈｅ
Ａ",7,"96,400"
2022-04-29,본만두,6,"72,000"
2022-04-29,"이디야커피 구로
역광",5,"23,800"
2022-05-03,한국야쿠르트,-,"94,000"
2022-05-03,（주）에치와이,-,"94,000"
2022-05-03,한국야쿠르트,-,"30,000"
2022-05-03,아리스타,9,"127,000"
2022-05-04,"라크라센타커피앤
컴퍼",10,"209,000"
2022-05-06,한국야쿠르트,-,"52,500"
2022-05-06,"서울안심축산정육
식당",11,"241,000"
2022-05-06,청수횟집,7,"157,000"
2022-05-09,피자헛?신구로점,-,"297,300"
2022-05-10,생선전문점명가,4,"66,000"
2022-05-10,궁원복집,12,"242,000"
2022-05-10,갈비명가,10,"195,000"
2022-05-10,진사향,9,"89,500"
2022-05-11,갈비명가,9,"204,000"
2022-05-11,갑자기,6,"18,500"
2022-05-12,아구랑낙지랑,8,"100,000"
2022-05-12,궁원복집,4,"81,000"
2022-05-12,청수횟집,6,"111,000"
2022-05-16,황태뚝배기칼국수,15,"270,000"
2022-05-17,갈비명가,12,"212,000"
2022-05-18,설악추어탕한모둠,9,"244,000"
2022-05-19,향촌숯불돈갈비,12,"232,000"
2022-05-19,"（주）이마트신도
림점",-,"494,960"
2022-05-20,"보배반점（구로
점）",6,"82,000"
2022-05-20,다채 개봉역점,8,"242,000"
2022-05-20,약산골돼지갈비,8,"184,000"
2022-05-20,"프레퍼스?다이어
트",3,"16,800"
2022-05-20,갈비명가,5,"143,000"
2022-05-23,명가한식부페,8,"180,000"
2022-05-23,"서울안심축산정육
식당",6,"370,000"
2022-05-23,"카페인중독 구로
점",6,"25,500"
2022-05-23,아리스타,-,"88,000"
2022-05-25,"짬뽕의신화（구
로본",7,"147,000"
2022-05-26,"서울안심축산정육
식당",10,"250,000"
2022-05-26,두우리수산,6,"138,000"
2022-05-27,"복먹고복받고（구
로점",6,"105,000"
2022-05-27,"커피베이 구로동
점",3,"11,200"
2022-05-30,중앙ｅ마트,-,"391,900"
2022-05-30,생선전문점명가,6,"66,000"
2022-05-30,아인스커피,5,"22,900"
2022-05-30,천상계 닭한마리,10,"100,000"
2022-05-30,"서울안심축산정육
식당",6,"80,000"
2022-05-30,한우식당,3,"27,000"
2022-05-31,어다리횟집,5,"125,000"
